,https://roic.ai/company/FUV,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,60211,12244,- -,127016,94996,987850,2176293,4386222
2,COGS,- -,- -,- -,78439,127531,2911467,8250956,17148948
3,Gross Profit,- -,- -,- -,48577,-32535,-1923617,-6074663,-12762726
4,Gross Profit Ratio,- -,- -,- -,0.3824,-0.3425,-1.9473,-2.7913,-2.9097
5,Research and Development Exp.,491334,845419,974806,1451394,3814844,6032243,3011024,12106489
6,General and Administrative Exp.,211615,364538,459990,1063635,5604505,5494199,6091306,12948147
7,Selling and Marketing Exp.,30710,165190,472108,827941,1569888,1005132,2238890,6999999
8,"Selling, General and Administrative Exp.",242325,529728,932098,1891576,7174393,6499331,8330196,19948146
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,6824209
10,Operating Expenses,733659,1375147,1906904,3342970,10989237,12531574,11341220,38878844
11,COGS and Expenses,733659,1375147,1906904,3421409,11116768,15443041,19592176,56027792
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),7885,3331,12816,34143,100946,891553,-721466,216473
14,Depreciation and Amortization,27575,5756,7951,20107,454494,710401,930401,2348
15,EBITDA,-645473,-1340205,-1898712,-3261077,-10495575,-13739735,-17911554,-44410875
16,EBITDA ratio,-10.7202,-109.4581,-Infinity,-25.6745,-110.4844,-13.9087,-8.2303,-10.1251
17,Operating Income,-673448,-1362903,-1906904,-3294393,-11021772,-14455191,-17415883,-51641570
18,Operating Income ratio,-11.1848,-111.3119,-Infinity,-25.9368,-116.0235,-14.6330,-8.0025,-11.7736
19,Total Other Income Expenses (Gains),-7485,13611,-12575,-20934,-29243,-886498,-704606,1143764
20,Income Before Tax,-680933,-1349292,-1919479,-3315327,-11051015,-15341689,-18120489,-50497806
21,Income Before Tax Ratio,-11.3091,-110.2003,-Infinity,-26.1016,-116.3314,-15.5304,-8.3263,-11.5128
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,2934055
23,Net Income,-680933,-1349292,-1919479,-3315327,-11051015,-15341689,-18120489,-47563751
24,Net Income ratio,-11.3091,-110.2003,-Infinity,-26.1016,-116.3314,-15.5304,-8.3263,-10.8439
25,EPS,-0.06,-0.11,-0.11,-0.24,-0.70,-0.85,-0.63,-1.67
26,EPS Diluted,-0.06,-0.11,-0.11,-0.24,-0.70,-0.85,-0.63,-1.67
27,Weighted Average Shares Outstanding,12369017,12369017,17427666,13554282,15754718,18130227,28574729,28574729
28,Weighted Average Shares Outstanding Diluted,12369017,12369017,17427666,13554282,15754718,18130227,28574729,28574729
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1558583/000121390018003749/0001213900-18-003749-index.html,https://www.sec.gov/Archives/edgar/data/1558583/000121390019005232/0001213900-19-005232-index.html,https://www.sec.gov/Archives/edgar/data/1558583/000121390020009173/f10k2019_arcimotoinc.htm,https://www.sec.gov/Archives/edgar/data/1558583/000121390021019153/0001213900-21-019153-index.htm,https://www.sec.gov/Archives/edgar/data/1558583/000121390022016925/0001213900-22-016925-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,25609,1000665,414405,7824109,4903019,5832489,39451401,16971320
32,Short-Term Investments,- -,- -,- -,6246850,- -,- -,- -,- -
33,Cash and Short-Term Investments,25609,1000665,414405,14070959,4903019,5832489,39451401,16971320
34,Net Receivables,14728,8172,583,500,- -,244450,17117,127860
35,Inventory,- -,- -,26825,194525,1703573,3734488,5104068,7856105
36,Other Current Assets,- -,26612,28207,401160,1626644,1859774,1930444,5078010
37,Total Current Assets,40337,1035449,470020,14667144,8233236,11671201,46503030,30033295
38,PP&E,2019,16755,8805,2434026,5809774,4732544,6645230,24338907
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,9885680
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,9885680
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,40000,- -,41988,41988,- -,141468
45,Total Non-Current Assets,2019,16755,48805,2434026,5851762,4774532,6645230,34366055
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,42356,1052204,518825,17101170,14084998,16445733,53148260,64399350
48,Accounts Payable,- -,- -,81045,663773,717151,339835,205133,- -
49,Short-Term Debt,138203,- -,250000,- -,3060876,5454869,1383597,2039367
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,186124,204628,386035,399967,454624,824698,127219,817137
52,Other Current Liabilities,71751,70448,102776,255758,246418,906013,1198305,5757972
53,Total Current Liabilities,396078,275076,819856,1319498,4479069,7525415,2914254,8614476
54,Long-Term Debt,25000,- -,325000,- -,- -,- -,- -,712511
55,Deferred Revenue,- -,- -,- -,- -,- -,85500,- -,9000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,1538795,1224700,-262590,1515075
58,Total Non-Current Liabilities,25000,- -,325000,- -,1538795,1310200,-262590,2236586
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1897395,1613667,781148,- -
61,Total Liabilities,421078,275076,1144856,1319498,6017864,8835615,2651664,2236586
62,Preferred Stock,917023,3364988,- -,- -,- -,- -,- -,- -
63,Common Stock,3804561,3804561,7637494,27177790,30102738,43573529,100236178,150502566
64,Retained Earnings,-5331360,-6680652,-8600131,-11915458,-22966473,-38308162,- -,-103992402
65,Other Comprehensive Income/Loss,- -,- -,- -,-96198,-475539,-1130306,- -,- -
66,Other Total Stockholders Equity,231054,288231,336606,615538,1406408,3475057,-52552148,7038124
67,Total Stockholders Equity,-378722,777128,-626031,15781672,8067134,7610118,47684030,53548288
68,Total Liabilities And Stockholders Equity,42356,1052204,518825,17101170,14084998,16445733,50335694,55784874
69,Minority Interest,- -,- -,- -,- -,- -,- -,2812566,8614476
70,Total Liabilities & Equity,42356,1052204,518825,17101170,14084998,16445733,53148260,64399350
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1558583/000121390018003749/0001213900-18-003749-index.html,https://www.sec.gov/Archives/edgar/data/1558583/000121390019005232/0001213900-19-005232-index.html,https://www.sec.gov/Archives/edgar/data/1558583/000121390020009173/f10k2019_arcimotoinc.htm,https://www.sec.gov/Archives/edgar/data/1558583/000121390021019153/0001213900-21-019153-index.htm,https://www.sec.gov/Archives/edgar/data/1558583/000121390022016925/0001213900-22-016925-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-680933,-1349292,-1919479,-3315327,-11051015,-15341689,-18120489,-47563751
74,Depreciation and Amortization,27575,5756,7951,20107,454494,710401,930401,2347920
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-2938848
76,Stock Based Compensation,- -,57177,48375,203734,495605,635319,1916772,3628072
77,Change in Working Capital,-7799,1116114,-1110209,13697482,-9593479,391619,39442990,-22169957
78,Accounts Receivable,-13984,6555,7589,83,500,-244450,227333,-110743
79,Inventory,- -,- -,-26825,-167699,-1509048,-2178220,-1369171,-2409643
80,Accounts Payable,- -,- -,71816,97838,53378,-340534,46627,2032255
81,Other Working Capital,-355741,760373,-349836,13347646,3754167,4145786,43588776,21418819
82,Other Non-Cash Items,-400,-1131948,1344157,-13950433,7022362,-686563,-40463185,27405083
83,Cash Provided by Operating Activities,-661557,-1302193,-1629205,-3344437,-12672033,-14290913,-16293511,-39291481
84,CAPEX,-21091,-20491,- -,-1960438,-1717038,-254611,-2843087,-17355966
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-6246850,-5250000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,11496850,- -,- -,- -
88,Other Investing Activites,400,16000,- -,- -,-41738,- -,-59700,-1769863
89,Cash Used for Investing Activites,-20691,-4491,- -,-8207288,4488074,-254611,-2902787,-19125829
90,Debt Repayment,- -,-138203,- -,-400000,-255079,-372578,-226760,-385305
91,Common Stock Issued,- -,- -,- -,20372271,3014700,14836435,56750995,1706796
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,315011,2419943,1042945,-1010842,2503248,1011137,-3709025,34615738
95,Cash Used/Provided by Financing Activities,315011,2281740,1042945,18961429,5262869,15474994,52815210,35937229
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-367237,975056,-586260,7409704,-2921090,929470,33618912,-22480081
98,Cash at the End of Period,25609,1000665,414405,7824109,4903019,5832489,39451401,16971320
99,Cash at the Beginning of Period,392846,25609,1000665,414405,7824109,4903019,5832489,39451401
100,Free Cash Flow,-682648,-1322684,-1629205,-5304875,-14389071,-14545524,-19136598,-56647447
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1558583/000121390018003749/0001213900-18-003749-index.html,https://www.sec.gov/Archives/edgar/data/1558583/000121390019005232/0001213900-19-005232-index.html,https://www.sec.gov/Archives/edgar/data/1558583/000121390020009173/f10k2019_arcimotoinc.htm,https://www.sec.gov/Archives/edgar/data/1558583/000121390021019153/0001213900-21-019153-index.htm,https://www.sec.gov/Archives/edgar/data/1558583/000121390022016925/0001213900-22-016925-index.htm
102,false,,,,,,,,
