,https://roic.ai/company/CHEF,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,271072000,330118000,400632000,480292000,673545000,836625000,1058996000,1192866000,1301520000,1444609000,1591834000,1111631000,1745757000
2,COGS,199764000,244340000,294698000,355288000,501181000,630573000,789462000,891649000,972142000,1077562000,1185481000,863480000,1355272000
3,Gross Profit,71308000,85778000,105934000,125004000,172364000,206052000,269534000,301217000,329378000,367047000,406353000,248151000,390485000
4,Gross Profit Ratio,0.2631,0.2598,0.2644,0.2603,0.2559,0.2463,0.2545,0.2525,0.2531,0.2541,0.2553,0.2232,0.2237
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336394000,379252000
9,Other Expenses,57977000,64206000,78138000,96237000,135783000,173042000,229134000,253978000,288251000,318289000,355585000,14417000,422000
10,Operating Expenses,57977000,64206000,78138000,96237000,135783000,173042000,229134000,253978000,288251000,318289000,355585000,350811000,379674000
11,COGS and Expenses,257741000,308546000,372836000,451525000,636964000,803615000,1018596000,1145627000,1260393000,1395851000,1541066000,1214291000,1734946000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2815000,4041000,14570000,3674000,7775000,8167000,12984000,41632000,22709000,20745000,18264000,20946000,17587000
14,Depreciation and Amortization,1520000,1388000,1722000,3932000,7317000,8243000,15413000,18515000,20549000,22206000,25991000,33276000,34965000
15,EBITDA,15509000,23870000,29593000,32681000,43890000,41258000,56108000,65823000,61666000,70795000,76658000,-69384000,45776000
16,EBITDA ratio,0.0572,0.0723,0.0739,0.0680,0.0652,0.0493,0.0530,0.0552,0.0474,0.0490,0.0482,-0.0624,0.0262
17,Operating Income,13331000,21572000,27796000,28767000,36581000,33010000,40400000,47239000,41127000,48758000,50768000,-102660000,10811000
18,Operating Income ratio,0.0492,0.0653,0.0694,0.0599,0.0543,0.0395,0.0381,0.0396,0.0316,0.0338,0.0319,-0.0924,0.0062
19,Total Other Income Expenses (Gains),-2157000,-3131000,-14495000,-3692000,-7783000,-8162000,-12689000,-41563000,-22719000,-20914000,-18365000,-20946000,-17587000
20,Income Before Tax,11174000,18441000,13301000,25075000,28798000,24848000,27711000,5676000,18408000,27844000,32403000,-123606000,-6776000
21,Income Before Tax Ratio,0.0412,0.0559,0.0332,0.0522,0.0428,0.0297,0.0262,0.0048,0.0141,0.0193,0.0204,-0.1112,-0.0039
22,Income Tax expense (Gain),2213000,2567000,5603000,10564000,11808000,10633000,11502000,2653000,4042000,7442000,8210000,-40703000,-1853000
23,Net Income,8961000,15874000,7698000,14511000,16990000,14215000,16209000,3023000,14366000,20402000,24193000,-82903000,-4923000
24,Net Income ratio,0.0331,0.0481,0.0192,0.0302,0.0252,0.0170,0.0153,0.0025,0.0110,0.0141,0.0152,-0.0746,-0.0028
25,EPS,0.12,-0.69,0.44,0.70,0.78,0.58,0.63,0.12,0.55,0.71,0.82,-2.46,-0.15
26,EPS Diluted,0.11,-0.69,0.43,0.69,0.77,0.57,0.63,0.12,0.54,0.70,0.81,-2.46,-0.15
27,Weighted Average Shares Outstanding,22900709,15472463,17591376,20612407,21766743,24638135,25532172,25919480,26118482,28703265,29532342,33716157,33716157
28,Weighted Average Shares Outstanding Diluted,24084979,16000000,18031651,20926365,21995042,24844565,26508994,26029609,27424526,29678919,30073338,33716157,33716157
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1517175/000119312512139054/0001193125-12-139054-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000119312513105358/0001193125-13-105358-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000138713114000844/0001387131-14-000844-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000138713115000830/0001387131-15-000830-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1517175/000162828017002472/0001628280-17-002472-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000162828018003044/0001628280-18-003044-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000151717519000003/0001517175-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000151717520000004/0001517175-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000151717521000003/0001517175-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000151717522000002/0001517175-22-000002-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1978000,2033000,118000,20014000,3328000,2454000,32862000,41504000,42410000,140233000,193281000,115155000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1978000,2033000,118000,20014000,3328000,2454000,32862000,41504000,42410000,140233000,193281000,115155000
34,Net Receivables,- -,36200000,42876000,56694000,76413000,96896000,124139000,128030000,142170000,161758000,175044000,96383000,172540000
35,Inventory,- -,16441000,23873000,40402000,64710000,75528000,92758000,87498000,102083000,112614000,124056000,82519000,144491000
36,Other Current Assets,- -,5259000,4812000,8291000,18958000,13255000,14420000,16101000,11083000,11953000,13823000,33479000,37774000
37,Total Current Assets,- -,59878000,73594000,105505000,180095000,189007000,233771000,264491000,296840000,328735000,453156000,405662000,469960000
38,PP&E,- -,4228000,5379000,9365000,27589000,47938000,54283000,62183000,68378000,72807000,220495000,230672000,264323000
39,Goodwill,- -,11479000,20590000,45359000,78026000,78508000,155816000,163784000,173202000,184280000,197743000,214864000,221775000
40,Intangible Assets,- -,1008000,5470000,36036000,59715000,55843000,136722000,137058000,146354000,142502000,138751000,111717000,104743000
41,Intangible Assets,- -,12487000,26060000,81395000,137741000,134351000,292538000,300842000,319556000,326782000,336494000,326581000,326518000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,2362000,1401000,- -,- -,- -,- -,- -,- -,- -,- -,7535000,9380000
44,Other Non-Current Assets,- -,3717000,1444000,13869000,9333000,4897000,5626000,6022000,2975000,4074000,3534000,3875000,3614000
45,Total Non-Current Assets,- -,22794000,34284000,104629000,174663000,187186000,352447000,369047000,390909000,403663000,560523000,568663000,603835000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,82672000,107878000,210134000,354758000,376193000,586218000,633538000,687749000,732398000,1013679000,974325000,1073795000
