,https://roic.ai/company/AMPH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,118356000,204323000,229681000,210461000,251519000,255165000,240175000,294666000,322357000,349846000,437768000
2,COGS,90252000,114020000,142725000,159205000,174172000,150976000,149380000,187681000,190434000,206506000,238029000
3,Gross Profit,28104000,90303000,86956000,51256000,77347000,104189000,90795000,106985000,131923000,143340000,199739000
4,Gross Profit Ratio,0.2375,0.4420,0.3786,0.2435,0.3075,0.4083,0.3780,0.3631,0.4092,0.4097,0.4563
5,Research and Development Exp.,31049000,31163000,33019000,28427000,37065000,41199000,43415000,57564000,68853000,57110000,60932000
6,General and Administrative Exp.,26433000,27223000,30972000,34809000,41504000,41832000,44458000,49888000,50279000,50377000,51434000
7,Selling and Marketing Exp.,4100000,4426000,5349000,5564000,5470000,5466000,6460000,8156000,12830000,14780000,17486000
8,"Selling, General and Administrative Exp.",30533000,31649000,36321000,40373000,46974000,47298000,50918000,58044000,63109000,65157000,68920000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,10119000,- -
10,Operating Expenses,61582000,62812000,69340000,68800000,84039000,88497000,94333000,115608000,131962000,132386000,129852000
11,COGS and Expenses,151834000,176832000,212065000,228005000,258211000,239473000,243713000,303289000,322396000,338892000,367881000
12,Interest Income ,401000,242000,187000,243000,315000,270000,425000,456000,997000,642000,601000
13,Interest Expense (Gain),584000,784000,958000,609000,987000,1024000,826000,243000,119000,374000,- -
14,Depreciation and Amortization,11150000,11497000,13078000,14448000,13252000,14564000,15436000,16516000,21121000,25180000,- -
15,EBITDA,-20153000,38159000,31263000,-3091000,3875000,30534000,17885000,7755000,83902000,30497000,84139000
16,EBITDA ratio,-0.1703,0.1868,0.1361,-0.0147,0.0154,0.1197,0.0745,0.0263,0.2603,0.0872,0.1922
17,Operating Income,-33545000,25397000,17490000,-17983000,-6898000,15692000,-895000,-8623000,-39000,10954000,69887000
18,Operating Income ratio,-0.2834,0.1243,0.0761,-0.0854,-0.0274,0.0615,-0.0037,-0.0293,-0.0001,0.0313,0.1596
19,Total Other Income Expenses (Gains),1658000,481000,-263000,-165000,-3466000,-746000,2518000,-1303000,60267000,-6317000,14252000
20,Income Before Tax,-31887000,25878000,17227000,-18148000,-10364000,14946000,1623000,-9926000,60228000,4637000,84139000
21,Income Before Tax Ratio,-0.2694,0.1267,0.0750,-0.0862,-0.0412,0.0586,0.0068,-0.0337,0.1868,0.0133,0.1922
22,Income Tax expense (Gain),-39639000,7784000,5365000,-7449000,-7577000,4414000,-2885000,-3266000,13723000,3540000,20838000
23,Net Income,7752000,18094000,11862000,-10699000,-2787000,10532000,4508000,-5738000,48939000,1403000,63301000
24,Net Income ratio,0.0655,0.0886,0.0516,-0.0508,-0.0111,0.0413,0.0188,-0.0195,0.1518,0.0040,0.1446
25,EPS,0.97,2.26,1.48,-0.25,-0.06,0.23,0.10,-0.12,1.04,0.03,1.35
26,EPS Diluted,0.97,2.26,1.48,-0.25,-0.06,0.22,0.09,-0.12,0.98,0.03,1.29
