,https://roic.ai/company/PETS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,14677146,10006285,32025931,54974916,93994233,108357747,137583155,162246407,188336469,219412247,238266000,231642000,238250000,227829000,233391000,229395000,234684000,249176000,273800000,283419000,284125000,309215000
2,COGS,9061762,6367604,18894493,31517639,55824406,64700002,83244366,97680238,114122433,134084680,146405000,147686000,158085000,150708000,155774000,153125000,158388000,169862000,175993000,188105000,202879000,219267000
3,Gross Profit,5615384,3638681,13131438,23457277,38169827,43657745,54338789,64566169,74214036,85327567,91861000,83956000,80165000,77121000,77617000,76270000,76296000,79314000,97807000,95314000,81246000,89948000
4,Gross Profit Ratio,0.3826,0.3636,0.4100,0.4267,0.4061,0.4029,0.3950,0.3980,0.3941,0.3889,0.3855,0.3624,0.3365,0.3385,0.3326,0.3325,0.3251,0.3183,0.3572,0.3363,0.2860,0.2909
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,7370916,4506509,6094493,7956786,10754427,11396320,14078343,17292675,20367392,21604654,22341000,22200000,22363000,21592000,21352000,21101000,21301000,22799000,24290000,24767000,25264000,28293000
7,Selling and Marketing Exp.,- -,1397418,5717242,11649811,17653614,19185982,21570667,25243029,25261042,28707386,27657000,27357000,30369000,27433000,27180000,25182000,21837000,17663000,19255000,22148000,22748000,21641000
8,"Selling, General and Administrative Exp.",7370916,5903927,11811735,19606597,28408041,30582302,35649010,42535704,45628434,50312040,49998000,49557000,52732000,49025000,48532000,46283000,43138000,40462000,43545000,46915000,48012000,49934000
9,Other Expenses,-169977,373852,571763,367673,550392,573817,544535,530440,589990,814542,1321000,1375000,1411000,1091000,867000,660000,770000,1369000,2126000,2225000,2257000,2427000
10,Operating Expenses,7200939,6277779,12383498,19974270,28958433,31156119,36193545,43066144,46218424,51126582,51319000,50932000,54143000,50116000,49399000,46943000,43908000,41831000,45671000,49140000,50269000,52361000
11,COGS and Expenses,16262701,12645383,31277991,51491909,84782839,95856121,119437911,140746382,160340857,185211262,197724000,198618000,212228000,200824000,205173000,200068000,202296000,211693000,221664000,237245000,253148000,271628000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306000,185000,184000,190000,141000,658000,1864000,1747000,314000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
