,https://roic.ai/company/TKLS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,238910,265500,429580,695860,1537960,1908710,1661278
2,COGS,- -,- -,- -,- -,- -,- -,440330,343000,490280,530590,1703610,1731320,1304946
3,Gross Profit,- -,- -,- -,- -,- -,- -,-201420,-77500,-60700,165270,-165650,177390,356332
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,-0.8431,-0.2919,-0.1413,0.2375,-0.1077,0.0929,0.2145
5,Research and Development Exp.,30000,270000,40000,60000,50000,300000,301800,318720,- -,165220,216070,417160,187584
6,General and Administrative Exp.,50000,70000,960000,530000,1080000,2860000,5133630,4135390,2828690,2404850,2512280,3104030,6785900
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",44489,70674,960314,528755,1081178,2859808,5133629,4135390,2828692,2404853,2512279,3104027,7059321
9,Other Expenses,475,-4037,-424,-470,-4450,1801,574977,- -,- -,-2,-1,-2,- -
10,Operating Expenses,74964,336637,999890,588285,1126728,3161609,6010406,4454110,2828692,2570071,2728348,3521185,7246905
11,COGS and Expenses,80000,340000,1000000,590000,1130000,3160000,7275740,4797110,3318970,3100660,4431960,5379320,8551851
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,598,65299,46482,44660,9290,39716,383641,467164,641619,1393189,1705165
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,21187,23582,27272,4379,5035,950,272
15,EBITDA,-80000,-340000,-402000,-678502,-1220000,-3250000,-7187463,-4230062,-2861917,-2400427,-2888966,-3499091,-8861652
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-30.0844,-15.9324,-6.6621,-3.4496,-1.8784,-1.8332,-5.3342
17,Operating Income,- -,- -,- -,- -,1126728,3161609,6211824,4531605,2889386,- -,- -,3343798,-6890573
18,Operating Income ratio,- -,- -,- -,- -,Infinity,Infinity,26.0007,17.0682,6.7261,- -,- -,1.7519,-4.1478
19,Total Other Income Expenses (Gains),- -,- -,- -,-60000,-2296728,-6371609,-13250754,-8824965,-6162216,-467170,-641620,-8237028,-3676516
20,Income Before Tax,-80000,-340000,-1000000,-650000,-1170000,-3210000,-7038930,-4293360,-3272830,-2871970,-3535620,-4893230,-10567089
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-29.4627,-16.1708,-7.6187,-4.1272,-2.2989,-2.5636,-6.3608
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-80000,-340000,-1000000,-650000,-1170000,-3210000,-7217940,-4293360,-3272830,-2871970,-3535620,-4893230,-10567089
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-30.2120,-16.1708,-7.6187,-4.1272,-2.2989,-2.5636,-6.3608
25,EPS,-2.80,-8.00,-23.36,-1.36,-1.36,-3.04,-4.08,-1.84,-1.20,-0.88,-0.88,-1.04,-1.44
26,EPS Diluted,-2.80,-8.00,-23.36,-1.36,-1.36,-3.04,-4.08,-1.84,-1.20,-0.88,-0.88,-1.04,-1.44
27,Weighted Average Shares Outstanding,26600,35383,42833,489640,848643,1050845,1778899,2304335,2642391,3135848,3843432,4948669,7521287
28,Weighted Average Shares Outstanding Diluted,26600,35383,42833,489640,848643,1050845,1778899,2304335,2642391,3135848,3843432,4948669,7521287
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1429393/000107704809000050/acbr_10-k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704810000038/form10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704811000100/annualreport.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704812000194/bolc10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704813000074/bolc10-k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704814000074/bolc10-k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704815000023/0001077048-15-000023-index.html,https://www.sec.gov/Archives/edgar/data/1429393/000107704816000091/bolc10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390517000214/bolc_10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390518000136/bolc_10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390519000116/tkls_10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390520000120/tkls_10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390521000310/0001393905-21-000310-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10000,- -,- -,- -,- -,- -,40450,3620,87130,78600,9670,4340,152
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10000,- -,- -,- -,- -,- -,40450,3620,87130,78600,9670,4340,152
34,Net Receivables,- -,- -,- -,- -,- -,- -,54480,72530,116330,129250,214260,270380,110
35,Inventory,- -,- -,- -,- -,- -,- -,174130,222540,62840,157490,403320,106960,25
36,Other Current Assets,- -,20000,- -,370000,1270000,1260000,560390,512100,220310,318200,227110,373070,585
37,Total Current Assets,10000,20000,- -,370000,1270000,1260000,829450,810790,486610,683540,854360,754750,872
