,https://roic.ai/company/LFVN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,1,1,- -,- -,- -,- -,2353795,7165819,5050988,3200174,4141304,11478460,38919223,126182848,208178000,213968000,190336000,206540000,199489000,203204000,225958000,232915000,220181000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,393551,1491332,1022792,695386,852804,1905992,5917394,18052151,36643000,33194000,28010000,33932000,33456000,34848000,37973000,37964000,38187000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,1960244,5674487,4028196,2504788,3288500,9572468,33001829,108130697,171535000,180774000,162326000,172608000,166033000,168356000,187985000,194951000,181994000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8328,0.7919,0.7975,0.7827,0.7941,0.8340,0.8480,0.8569,0.8240,0.8449,0.8528,0.8357,0.8323,0.8285,0.8319,0.8370,0.8266
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,37933,114163,245561,324106,224366,392691,508603,1359055,2948000,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,15204,24730,16350,9409,- -,- -,3255528,8164079,7347105,3763799,6588414,7765331,7516106,16396631,32471000,56801000,57353000,56074000,64922000,59840000,69551000,67914000,60838000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4107768,8481496,21060213,68397356,122389000,104525000,91074000,103120000,96662000,98193000,108620000,111571000,103541000
8,"Selling, General and Administrative Exp.",- -,- -,- -,15204,24730,16350,9409,12242,- -,3255528,8164079,7347105,3763799,10696182,16246827,28576319,84793987,154860000,161326000,148427000,159194000,161584000,158033000,178171000,179485000,164379000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,751596,265279,92433,219690,173030,254902,214703,521271,1659000,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,15204,24730,16350,9409,12242,- -,4045057,8543521,7685099,4307595,11093578,16894420,29299625,86674313,159467000,161326000,148427000,159194000,161584000,158033000,178171000,179485000,164379000
11,COGS and Expenses,19842,24037,78712,15204,24730,16350,9409,12242,- -,4438608,10034853,8707891,5002981,11946382,18800412,35217019,104726464,196110000,194520000,176437000,193126000,195040000,192881000,216144000,217449000,202566000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20474,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1330030,- -,- -,44234,3000,3019000,2832000,2220000,558000,445000,317000,113000,17000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,3726833,265279,92432,219690,179682,254902,214703,521271,1659000,2118000,2285000,1895000,1643000,1325000,1895000,5100000,5825000
15,EBITDA,-19842,-24037,-78712,-15204,-24730,-16350,-9409,-12242,- -,-2095564,-2469222,-3601146,-1834749,-7604922,-10793426,-50485047,15237130,12815000,21792000,15770000,12799000,5111000,11318000,11442000,19874000,23074000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-15204.0000,-24730.0000,-Infinity,-Infinity,-Infinity,- -,-0.8903,-0.3446,-0.7130,-0.5733,-1.8364,-0.9403,-1.2972,0.1208,0.0616,0.1018,0.0829,0.0620,0.0256,0.0557,0.0506,0.0853,0.1048
17,Operating Income,-19842,-24037,-78712,-15203,-24729,-16350,-9409,-12242,- -,-2084813,-2869034,-3656903,-1802807,-7805078,-7321952,3702204,21456384,12068000,19448000,13899000,13414000,4449000,10323000,9814000,15466000,17615000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-15203.0000,-24729.0000,-Infinity,-Infinity,-Infinity,- -,-0.8857,-0.4004,-0.7240,-0.5633,-1.8847,-0.6379,0.0951,0.1700,0.0580,0.0909,0.0730,0.0649,0.0223,0.0508,0.0434,0.0664,0.0800
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-685294,- -,68946,- -,- -,3101673,-54401954,-6784759,-915000,-2793000,-3246000,-4730000,-1539000,-775000,-584000,-805000,-383000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50699750,14671625,11153000,16655000,10653000,8684000,2910000,9548000,9230000,14661000,17232000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.3027,0.1163,0.0536,0.0778,0.0560,0.0420,0.0146,0.0470,0.0408,0.0629,0.0783
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92000,2202548,3545000,5272000,3666000,2665000,1302000,3787000,1801000,3112000,4338000
23,Net Income,-19842,-24037,-78712,-15204,-24730,-16350,-9430,-12242,- -,-5822397,-2734501,-3693578,-2054439,-9114634,-11048328,-50791750,12469077,7608000,11383000,6987000,6019000,1608000,5761000,7429000,11549000,12894000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-15204.0000,-24730.0000,-Infinity,-Infinity,-Infinity,- -,-2.4736,-0.3816,-0.7313,-0.6420,-2.2009,-0.9625,-1.3051,0.0988,0.0365,0.0532,0.0367,0.0291,0.0081,0.0284,0.0329,0.0496,0.0586
25,EPS,-0.17,-0.20,-0.48,-0.13,-0.18,-0.12,-0.07,-0.09,- -,-2.31,-0.84,-1.19,-0.63,-1.61,-1.33,-4.83,0.84,0.49,0.77,0.49,0.44,0.12,0.41,0.53,0.82,0.92
26,EPS Diluted,-0.17,-0.20,-0.48,-0.13,-0.18,-0.12,-0.07,-0.09,- -,-2.31,-0.84,-1.19,-0.63,-1.61,-1.33,-4.83,0.77,0.42,0.70,0.49,0.41,0.11,0.41,0.50,0.79,0.90
27,Weighted Average Shares Outstanding,119047,119047,165363,119047,128852,136941,140093,141406,9600000,2511934,3159709,3181144,3244296,5765793,8196203,10453346,14670830,16039412,15112984,13898986,13730000,13881000,13992000,14055000,14105000,14070000
28,Weighted Average Shares Outstanding Diluted,119047,119047,165363,119047,128852,136941,140093,141406,9600000,2511934,3564783,3181144,3244296,5765793,8196203,10453346,16904397,17555411,15942698,14150271,14531000,14118000,14136000,14980000,14599000,14268000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849146/000102189006000015/lifeline6300510kam1.htm,https://www.sec.gov/Archives/edgar/data/849146/000095013406022340/d41704a1e10ksbza.htm,https://www.sec.gov/Archives/edgar/data/849146/000103570407000701/d50106e10ksb.htm,https://www.sec.gov/Archives/edgar/data/849146/000103570408000332/d60449e10ksb.htm,https://www.sec.gov/Archives/edgar/data/849146/000095012309046600/0000950123-09-046600-index.html,https://www.sec.gov/Archives/edgar/data/849146/000095012310086417/0000950123-10-086417-index.html,https://www.sec.gov/Archives/edgar/data/849146/000119312511258536/0001193125-11-258536-index.html,https://www.sec.gov/Archives/edgar/data/849146/000119312512386589/0001193125-12-386589-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914613000013/0000849146-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914614000062/0000849146-14-000062-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914615000098/0000849146-15-000098-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914616000207/lfvn_06302016x10k.htm,https://www.sec.gov/Archives/edgar/data/849146/000084914617000094/0000849146-17-000094-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914618000074/0000849146-18-000074-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914619000063/lfvn0630201910k.htm,https://www.sec.gov/Archives/edgar/data/849146/000084914620000115/0000849146-20-000115-index.htm,https://www.sec.gov/Archives/edgar/data/849146/000084914621000078/0000849146-21-000078-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,911,1022,215,- -,8270,3749,754,2219,- -,3385205,228112,160760,196883,608795,1637676,6370974,24647585,26299000,20387000,13905000,7883000,11458000,16652000,18824000,22138000,23174000
32,Short-Term Investments,305410,305410,- -,- -,- -,- -,- -,- -,- -,- -,3008573,- -,1100000,520000,340000,350000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,306321,306432,215,- -,8270,3749,754,2219,- -,3385205,3236685,160760,1296883,1128795,1977676,6720974,24647585,26299000,20387000,13905000,7883000,11458000,16652000,18824000,22138000,23174000
34,Net Receivables,2200,2200,- -,- -,- -,- -,- -,- -,- -,1020131,107892,398463,98008,767866,401597,941802,333295,3939000,5998000,3210000,1552000,2247000,2518000,3302000,2610000,3963000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,219644,45001,27834,104415,740014,493858,2124663,11352789,10524000,8826000,9248000,25116000,16575000,13627000,13753000,13888000,16145000
36,Other Current Assets,- -,- -,- -,35743,35743,35743,35743,- -,- -,1407366,1024637,566773,474077,349157,153864,487812,2494298,5179000,4762000,4112000,7858000,5266000,6141000,7309000,5232000,4772000
37,Total Current Assets,308521,308632,215,35743,44013,39492,36497,2219,- -,6032346,4414215,1153830,1973383,2985832,3026995,10275251,38827967,45941000,39973000,30475000,42409000,35546000,38938000,43188000,43868000,48054000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,200944,245000,108915,63559,274741,196353,227811,1996849,5692000,6941000,5759000,3456000,3127000,6587000,7131000,8126000,24823000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5578830,5472042,2311110,2270163,2175281,2045471,1963277,1881642,1747000,2014000,1879000,1744000,1247000,1115000,983000,851000,719000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5578830,5472042,2311110,2270163,2175281,2045471,1963277,1881642,1747000,2014000,1879000,1744000,1247000,1115000,983000,851000,719000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,40000,- -,- -,- -,- -,130000,113613,- -,- -,- -,- -,- -,- -,- -,- -,- -,2205000,2205000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1479273,730000,1285000,235000,1130000,4087000,3255000,2693000,2164000,1208000
44,Other Non-Current Assets,- -,- -,182910,- -,- -,- -,- -,35743,- -,31192,316621,340440,241931,149818,844792,32173,342105,1374000,3786000,2531000,1520000,1242000,1247000,1278000,1663000,1723000
45,Total Non-Current Assets,- -,- -,182910,- -,- -,- -,- -,35743,40000,5810966,6033663,2760465,2575653,2729840,3200229,2223261,5699869,9543000,14026000,10404000,7850000,9703000,12204000,12085000,15009000,30678000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,308521,308632,183125,35743,44013,39492,36497,37962,40000,11843312,10447878,3914295,4549036,5715672,6227224,12498512,44527836,55484000,53999000,40879000,50259000,45249000,51142000,55273000,58877000,78732000
48,Accounts Payable,24225,40456,106772,2000,- -,1329,764,9971,10000,657527,613833,148699,139803,2029290,770941,799210,3615697,5171000,3764000,3633000,9729000,5651000,3813000,5180000,4611000,7591000
49,Short-Term Debt,- -,- -,- -,22000,- -,- -,- -,- -,10000,- -,- -,2301,167466,622934,1136346,433984,- -,- -,4700000,11141000,2000000,2000000,2000000,1454000,1184000,2151000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,545672,742000,1894000,809000,2616000,1732000,1923000,2325000,2825000,2789000
