,https://roic.ai/company/HST,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1354000000,1501000000,484000000,732000000,1147000000,3513000000,1376000000,1473000000,3754000000,3680000000,3448000000,3640000000,3881000000,4888000000,5426000000,5288000000,4158000000,4437000000,4998000000,5286000000,5166000000,5354000000,5387000000,5430000000,5387000000,5524000000,5469000000,1620000000,2890000000
2,COGS,1054000000,1141000000,248000000,337000000,462000000,1255000000,- -,- -,1384000000,1380000000,1331000000,1392000000,1443000000,1774000000,3273000000,3267000000,2735000000,2857000000,3155000000,2567000000,2365000000,2419000000,2408000000,2389000000,2364000000,2408000000,2358000000,1094000000,1300000000
3,Gross Profit,300000000,360000000,236000000,395000000,685000000,2258000000,1376000000,1473000000,2370000000,2300000000,2117000000,2248000000,2438000000,3114000000,2153000000,2021000000,1423000000,1580000000,1843000000,2719000000,2801000000,2935000000,2979000000,3041000000,3023000000,3116000000,3111000000,526000000,1590000000
4,Gross Profit Ratio,0.2216,0.2398,0.4876,0.5396,0.5972,0.6428,1.0000,1.0000,0.6313,0.6250,0.6140,0.6176,0.6282,0.6371,0.3968,0.3822,0.3422,0.3561,0.3687,0.5144,0.5422,0.5482,0.5530,0.5600,0.5612,0.5641,0.5688,0.3247,0.5502
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,37000000,32000000,177000000,161000000,199000000,- -,- -,- -,- -,- -,1385000000,- -,- -,314000000,343000000,331000000,324000000,343000000,336000000,347000000,346000000,128000000,196000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,387000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",28000000,37000000,36000000,43000000,47000000,50000000,37000000,32000000,177000000,161000000,199000000,212000000,170000000,322000000,683000000,691000000,1772000000,768000000,869000000,314000000,343000000,331000000,324000000,343000000,336000000,347000000,346000000,128000000,196000000
9,Other Expenses,178000000,169000000,122000000,162000000,236000000,1589000000,729000000,947000000,1662000000,1673000000,1602000000,1629000000,1749000000,2015000000,517000000,582000000,-447000000,589000000,650000000,2033000000,1946000000,1965000000,2011000000,2030000000,2024000000,2246000000,1971000000,1351000000,1652000000
10,Operating Expenses,206000000,206000000,158000000,205000000,283000000,1639000000,766000000,979000000,1839000000,1834000000,1801000000,1841000000,1919000000,2337000000,1200000000,1273000000,1325000000,1357000000,1519000000,2347000000,2289000000,2296000000,2335000000,2373000000,2360000000,2593000000,2317000000,1479000000,1848000000
11,COGS and Expenses,1260000000,1347000000,406000000,542000000,745000000,2894000000,766000000,979000000,3223000000,3214000000,3132000000,3233000000,3362000000,4111000000,4473000000,4540000000,4060000000,4214000000,4674000000,4914000000,4654000000,4715000000,4743000000,4762000000,4724000000,5001000000,4675000000,2573000000,3148000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,20000000,7000000,8000000,20000000,23000000,4000000,4000000,4000000,3000000,6000000,15000000,32000000,8000000,2000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,422000000,341000000,379000000,384000000,371000000,352000000,281000000,204000000,215000000,148000000,161000000,170000000,211000000,193000000,191000000
14,Depreciation and Amortization,-178000000,-169000000,-122000000,-162000000,-236000000,243000000,293000000,331000000,378000000,372000000,367000000,354000000,373000000,459000000,517000000,579000000,703000000,593000000,655000000,751000000,697000000,701000000,716000000,724000000,751000000,944000000,676000000,665000000,762000000
15,EBITDA,-248000000,-198000000,-278000000,-170000000,-150000000,270000000,488000000,389000000,437000000,362000000,369000000,770000000,563000000,1202000000,1669000000,1344000000,791000000,816000000,1010000000,1195000000,1316000000,1651000000,1498000000,1674000000,1556000000,2351000000,1837000000,-94000000,851000000
16,EBITDA ratio,-0.1832,-0.1319,-0.5744,-0.2322,-0.1308,0.0769,0.3547,0.2641,0.1164,0.0984,0.1070,0.2115,0.1451,0.2459,0.3076,0.2542,0.1902,0.1839,0.2021,0.2261,0.2547,0.3084,0.2781,0.3083,0.2888,0.4256,0.3359,-0.0580,0.2945
17,Operating Income,94000000,154000000,78000000,190000000,402000000,661000000,610000000,494000000,531000000,466000000,316000000,407000000,519000000,777000000,953000000,748000000,98000000,223000000,324000000,383000000,512000000,710000000,650000000,684000000,676000000,530000000,799000000,-953000000,-250000000
18,Operating Income ratio,0.0694,0.1026,0.1612,0.2596,0.3505,0.1882,0.4433,0.3354,0.1414,0.1266,0.0916,0.1118,0.1337,0.1590,0.1756,0.1415,0.0236,0.0503,0.0648,0.0725,0.0991,0.1326,0.1207,0.1260,0.1255,0.0959,0.1461,-0.5883,-0.0865
19,Total Other Income Expenses (Gains),-164000000,-177000000,-153000000,-198000000,-319000000,-487000000,-430000000,-433000000,-470000000,-489000000,-553000000,-481000000,-357000000,-463000000,-400000000,-349000000,-385000000,-382000000,-337000000,-339000000,-281000000,51000000,-70000000,127000000,-25000000,771000000,163000000,-8000000,148000000
20,Income Before Tax,-70000000,-23000000,-75000000,-8000000,83000000,174000000,180000000,61000000,61000000,-23000000,-237000000,-74000000,162000000,314000000,553000000,399000000,-287000000,-159000000,-13000000,44000000,231000000,761000000,580000000,811000000,651000000,1301000000,962000000,-961000000,-102000000
21,Income Before Tax Ratio,-0.0517,-0.0153,-0.1550,-0.0109,0.0724,0.0495,0.1308,0.0414,0.0162,-0.0063,-0.0687,-0.0203,0.0417,0.0642,0.1019,0.0755,-0.0690,-0.0358,-0.0026,0.0083,0.0447,0.1421,0.1077,0.1494,0.1208,0.2355,0.1759,-0.5932,-0.0353
22,Income Tax expense (Gain),-10000000,-4000000,-13000000,5000000,36000000,-20000000,-16000000,-98000000,8000000,6000000,-12000000,-10000000,24000000,5000000,3000000,-3000000,-39000000,-31000000,-1000000,31000000,21000000,14000000,9000000,40000000,80000000,150000000,30000000,-220000000,-91000000
23,Net Income,-60000000,-25000000,-143000000,-13000000,50000000,47000000,211000000,156000000,51000000,-16000000,14000000,- -,166000000,738000000,727000000,427000000,-252000000,-130000000,-15000000,61000000,317000000,732000000,558000000,762000000,564000000,1087000000,920000000,-732000000,-11000000
24,Net Income ratio,-0.0443,-0.0167,-0.2955,-0.0178,0.0436,0.0134,0.1533,0.1059,0.0136,-0.0043,0.0041,- -,0.0428,0.1510,0.1340,0.0807,-0.0606,-0.0293,-0.0030,0.0115,0.0614,0.1367,0.1036,0.1403,0.1047,0.1968,0.1682,-0.4519,-0.0038
25,EPS,0.38,-0.17,-0.88,-0.07,0.24,0.22,0.93,0.63,0.08,-0.19,-0.07,-0.12,0.37,1.46,1.35,0.78,-0.45,-0.21,-0.02,0.08,0.43,0.97,0.74,1.03,0.76,1.47,1.26,-1.04,-0.02
26,EPS Diluted,0.34,-0.25,-0.88,-0.07,0.23,0.22,0.90,0.62,0.08,-0.19,-0.07,-0.12,0.37,1.45,1.30,0.74,-0.45,-0.21,-0.02,0.08,0.42,0.96,0.74,1.02,0.76,1.47,1.26,-1.04,-0.02
27,Weighted Average Shares Outstanding,128254725,150286765,162376500,233588571,210067500,218325682,232359158,225148359,242713125,274312895,306585000,349166250,363061184,492456443,533560095,533968875,586300000,656100000,693000000,718200000,744400000,755400000,752400000,743000000,738600000,739800000,730300000,705900000,710300000
28,Weighted Average Shares Outstanding Diluted,128254725,150286765,162376500,233588571,210067500,218325682,239936087,228722143,242713125,274312895,306585000,349166250,363061184,495783851,566875665,562072500,587200000,656100000,693000000,719600000,747900000,786800000,752900000,743700000,739100000,740600000,731100000,705900000,710300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070750/000156459021008676/0001564590-21-008676-index.htm,https://www.sec.gov/Archives/edgar/data/1070750/000095017022001965/0000950170-22-001965-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,277000000,313000000,352000000,361000000,764000000,347000000,184000000,364000000,488000000,508000000,1642000000,1113000000,826000000,417000000,861000000,684000000,239000000,372000000,913000000,1542000000,1573000000,2335000000,807000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,277000000,313000000,352000000,361000000,764000000,347000000,184000000,364000000,488000000,508000000,1642000000,1113000000,826000000,417000000,861000000,684000000,239000000,372000000,913000000,1542000000,1573000000,2335000000,807000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,247000000,276000000,195000000,135000000,116000000,82000000,41000000,51000000,106000000,65000000,29000000,- -,37000000,80000000,52000000,70000000,56000000,55000000,79000000,71000000,63000000,22000000,113000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,789000000,627000000,718000000,586000000,809000000,263000000,244000000,53000000,86000000,36000000,36000000,32000000,- -,70000000,152000000,251000000,282000000,- -,- -,414000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1285000000,1507000000,1147000000,811000000,1224000000,857000000,817000000,1724000000,1199000000,899000000,533000000,945000000,754000000,365000000,579000000,1243000000,1895000000,1636000000,2357000000,1334000000
38,PP&E,- -,- -,- -,- -,- -,- -,7108000000,7110000000,6999000000,7031000000,7085000000,7425000000,7577000000,10684000000,10588000000,10739000000,10231000000,10514000000,11383000000,695000000,635000000,625000000,738000000,564000000,501000000,587000000,595000000,597000000,551000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,133000000,74000000,69000000,41000000,160000000,316000000,348000000,277000000,300000000,363000000,501000000,588000000,562000000,494000000,459000000,522000000,261000000,232000000,160000000,42000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-133000000,-74000000,-220000000,-184000000,-260000000,51000000,47000000,323000000,398000000,423000000,11265000000,10646000000,10266000000,10187000000,9806000000,9427000000,9347000000,9842000000,9776000000,10425000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7031000000,7085000000,7274000000,7434000000,10584000000,10955000000,11134000000,10831000000,11212000000,12169000000,12461000000,11869000000,11453000000,11419000000,10829000000,10450000000,10195000000,10669000000,10533000000,11018000000
