,https://roic.ai/company/SECO,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,1743128000,2593822000,3740455000,5387577000,6845580000,6019681000
2,COGS,1526047000,2193676000,3128441000,4427844000,5648633000,5138285000
3,Gross Profit,217081000,400146000,612014000,959733000,1196947000,881396000
4,Gross Profit Ratio,0.1245,0.1543,0.1636,0.1781,0.1748,0.1464
5,Research and Development Exp.,40904000,54262000,62081000,80398000,101477000,113542000
6,General and Administrative Exp.,144407000,156357000,209123000,249512000,398555000,453314000
7,Selling and Marketing Exp.,243558000,218759000,245989000,410548000,480442000,279207000
8,"Selling, General and Administrative Exp.",387965000,375116000,455112000,660060000,878997000,732521000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,428869000,429378000,517193000,740458000,980474000,846063000
11,COGS and Expenses,1954916000,2623054000,3645634000,5168302000,6629107000,5984348000
12,Interest Income ,- -,- -,- -,- -,9420000,4851000
13,Interest Expense (Gain),2790000,3923000,6562000,42533000,118867000,129276000
14,Depreciation and Amortization,11068000,13388000,13424000,18233000,53966000,84458000
15,EBITDA,-208145000,-27142000,122517000,253327000,359311000,147973000
16,EBITDA ratio,-0.1194,-0.0105,0.0328,0.0470,0.0525,0.0246
17,Operating Income,-211788000,-29232000,94821000,219275000,216473000,35333000
18,Operating Income ratio,-0.1215,-0.0113,0.0254,0.0407,0.0316,0.0059
19,Total Other Income Expenses (Gains),-10215000,-15341000,7063000,-23001000,-23376000,-116147000
20,Income Before Tax,-222003000,-44573000,101884000,196274000,193097000,-80814000
21,Income Before Tax Ratio,-0.1274,-0.0172,0.0272,0.0364,0.0282,-0.0134
22,Income Tax expense (Gain),- -,- -,-31525000,40728000,31426000,6603000
23,Net Income,-222003000,-44453000,134056000,151833000,155052000,-72364000
24,Net Income ratio,-0.1274,-0.0171,0.0358,0.0282,0.0226,-0.0120
25,EPS,-8.50,-12.49,-2.77,3.01,3.08,-1.18
26,EPS Diluted,-8.50,-12.49,-2.77,2.91,2.94,-1.18
27,Weighted Average Shares Outstanding,51279306,51279306,25001642,50470808,50244398,61259216
28,Weighted Average Shares Outstanding Diluted,51279306,51279306,26751984,52199002,52442208,61259216
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,284622000,55555000,453425000,1034385000,709823000,639932000
32,Short-Term Investments,- -,- -,292318000,94664000,2318000,- -
33,Cash and Short-Term Investments,284622000,55555000,745743000,1129049000,712141000,639932000
34,Net Receivables,7518000,20992000,54248000,198923000,430624000,508319000
35,Inventory,464488000,752103000,1189885000,1712740000,2680428000,3289804000
36,Other Current Assets,31033000,179787000,131173000,585933000,698306000,569848000
37,Total Current Assets,787661000,1008437000,2121049000,3626645000,4521499000,5007903000
38,PP&E,36011000,35196000,40793000,56698000,243137000,178965000
39,Goodwill,- -,- -,- -,20413000,23560000,807000
40,Intangible Assets,- -,- -,- -,12267000,10390000,- -
41,Intangible Assets,- -,- -,- -,32680000,33950000,807000
42,Investments,- -,- -,- -,2859000,71595000,57189000
43,Tax Assets,- -,- -,43981000,51214000,106637000,82896000
44,Other Non-Current Assets,159466000,2183000,131885000,21830000,20378000,14663000
45,Total Non-Current Assets,195477000,37379000,216659000,165281000,475697000,334520000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,983138000,1045816000,2337708000,3791926000,4997196000,5342423000
48,Accounts Payable,289061000,274629000,318414000,498579000,569045000,348154000
49,Short-Term Debt,175974000,200000000,177274000,134324000,198108000,231493000
50,Tax Payable,70039000,107090000,169524000,116454000,200609000,172683000
51,Deferred Revenue,47376000,57010000,93688000,146954000,196166000,368094000
52,Other Current Liabilities,153055000,207796000,333614000,336756000,965718000,769532000
53,Total Current Liabilities,665466000,739435000,922990000,1116613000,1929037000,1717273000
54,Long-Term Debt,- -,- -,124324000,1151560000,1329031000,1198431000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,5082000,5582000,21827000,86681000,119503000
58,Total Non-Current Liabilities,- -,5082000,129906000,1173387000,1415712000,1317934000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,152390000,110631000
61,Total Liabilities,665466000,744517000,1052896000,2290000000,3344749000,3035207000
62,Preferred Stock,1079939000,1749452000,- -,- -,- -,- -
63,Common Stock,47000,47000,167000,167000,167000,239000
64,Retained Earnings,-735295000,-1363165000,-1432586000,-1280753000,-1126330000,-1206436000
65,Other Comprehensive Income/Loss,-27019000,-87072000,-5304000,-6373000,-26500000,35923000
66,Other Total Stockholders Equity,- -,- -,2720781000,2768324000,2777127000,3488990000
67,Total Stockholders Equity,317672000,299262000,1283058000,1481365000,1624464000,2318716000
68,Total Liabilities And Stockholders Equity,983138000,1043779000,2335954000,3771365000,4969213000,5353923000
69,Minority Interest,- -,2037000,1754000,20561000,27983000,-11500000
70,Total Liabilities & Equity,983138000,1045816000,2337708000,3791926000,4997196000,5342423000
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-222003000,-44453000,134056000,151833000,155052000,-72364000
74,Depreciation and Amortization,11068000,13388000,13424000,18233000,53966000,84458000
75,Deferred Income Tax,- -,- -,-43981000,-7291000,-55771000,23443000
76,Stock Based Compensation,1378000,249000,46077000,23675000,8803000,8161000
77,Change in Working Capital,68161000,-235850000,-325662000,-855237000,-418837000,-1111661000
78,Accounts Receivable,2259000,-13474000,-33218000,-60155000,-11264000,19180000
79,Inventory,-180657000,-277139000,-439110000,-519493000,-969470000,-699171000
80,Accounts Payable,199663000,-15857000,43785000,175716000,58000000,-209108000
81,Other Working Capital,-16540000,6076000,33870000,46797000,59003000,202809000
82,Other Non-Cash Items,14637000,15998000,-933000,17325000,12465000,166075000
83,Cash Provided by Operating Activities,-126759000,-250668000,-177019000,-651462000,-244322000,-901888000
84,CAPEX,-15386000,-11666000,-19308000,-44750000,-35416000,-17194000
85,Acquisitions Net,- -,- -,- -,1600000,-48921000,14828000
86,Purchases of Investments,- -,- -,-292318000,-100025000,-2375000,- -
87,Sales/Maturities of Investments,- -,- -,- -,292318000,103277000,2029000
88,Other Investing Activites,- -,- -,45000,-3041000,- -,- -
89,Cash Used for Investing Activites,-15386000,-11666000,-311581000,146102000,16565000,-337000
90,Debt Repayment,-90000000,-30095000,-261811000,-414517000,-406031000,-144211000
91,Common Stock Issued,- -,- -,862161000,- -,- -,703774000
92,Common Stock Repurchased,- -,- -,-40677000,-30341000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,455179000,74364000,338670000,1440806000,460385000,145920000
95,Cash Used/Provided by Financing Activities,365179000,44269000,898343000,995948000,54354000,705483000
96,Effect of Forex Changes on Cash,-10195000,-11002000,-11873000,3380000,1132000,-27790000
97,Net Change In Cash,212839000,-229067000,397870000,493968000,-172271000,-224532000
98,Cash at the End of Period,284622000,55555000,453425000,1126407000,954136000,729604000
99,Cash at the Beginning of Period,71783000,284622000,55555000,632439000,1126407000,954136000
100,Free Cash Flow,-142145000,-262334000,-196327000,-696212000,-279738000,-919082000
101,SEC Link,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
