,https://roic.ai/company/YPF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5499999780,6598000000,8660121600,8162339500,19629794900,21263920050,20086196050,22890077430,25600833800,29118298590,34875000000,34320000000,44162000000,56697000000,67174000000,90113000000,141942000000,156136000000,210100000000,252813000000,435820000000,678595000000,- -,1243071000000
2,COGS,2680063880,3373000000,4985011200,4868377600,11075202300,11372428900,9283585950,11252697850,16407570400,19529836020,24013000000,23177000000,29899000000,41932000000,50267000000,68571000000,104492000000,119537000000,177304000000,211812000000,359570000000,575608000000,- -,1028180000000
3,Gross Profit,2819935900,3225000000,3675110400,3293961900,8554592600,9891491150,10802610100,11637379580,9193263400,9588462570,10862000000,11143000000,14263000000,14765000000,16907000000,21542000000,37450000000,36599000000,32796000000,41001000000,76250000000,102987000000,- -,214891000000
4,Gross Profit Ratio,0.5127,0.4888,0.4244,0.4036,0.4358,0.4652,0.5378,0.5084,0.3591,0.3293,0.3115,0.3247,0.3230,0.2604,0.2517,0.2391,0.2638,0.2344,0.1561,0.1622,0.1750,0.1518,- -,0.1729
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,574000000,582000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1807406000,- -,1053000000,1102000000,1429000000,1905000000,1836000000,2112000000,3371000000,4185000000,5157000000,6658000000,10096000000,17655000000,- -,32071000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,140916400,- -,2460000000,2490000000,3015000000,3723000000,5745000000,7727000000,10565000000,11494000000,15556000000,18499000000,28878000000,52449000000,- -,106271000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,1948322400,- -,3513000000,3592000000,4444000000,5628000000,7581000000,9839000000,13936000000,15679000000,20713000000,25157000000,38974000000,70104000000,- -,138342000000
9,Other Expenses,1673965140,1690000000,708864000,964867600,1208142700,1873899450,2265159300,2480742810,909829800,3516504840,684000000,552000000,344000000,- -,841000000,1430000000,2166000000,1691000000,3827000000,3769000000,8750000000,11010000000,- -,-18385000000
10,Operating Expenses,1673965140,1690000000,708864000,964867600,1208142700,1873899450,2265159300,2480742810,2858152200,3516504840,4197000000,4144000000,4788000000,6202000000,9004000000,11269000000,16102000000,17370000000,24540000000,28926000000,47724000000,81114000000,- -,119957000000
11,COGS and Expenses,4354029020,5063000000,5693875200,5833245200,12283345000,13246328350,11548745250,13733440660,19265722600,23046340860,28210000000,27321000000,34687000000,48134000000,59271000000,79840000000,120594000000,136907000000,201844000000,240738000000,407294000000,656722000000,- -,1148137000000
12,Interest Income ,41991600,- -,80870400,4003600,255762800,231671450,166468400,221116270,336974000,277287120,134000000,109000000,118000000,184000000,198000000,924000000,1326000000,1638000000,1472000000,1598000000,18214000000,12915000000,- -,27038000000
13,Interest Expense (Gain),246950600,- -,255590400,315283500,676425300,255131850,222948750,457377490,211374600,293042070,492000000,958000000,931000000,1095000000,1557000000,3833000000,7336000000,10605000000,21268000000,21554000000,36271000000,58978000000,- -,95656000000
14,Depreciation and Amortization,1074984960,1010000000,931507200,1003902700,2049467700,2325512150,2333530250,2704888070,3712840800,4140400860,4775000000,4832000000,5273000000,5466000000,8281000000,11433000000,20405000000,27008000000,45469000000,54350000000,89318000000,158777000000,- -,291719000000
15,EBITDA,2174964920,1873000000,3331660800,2843556900,6491663700,10536652150,10511290400,11903930700,11172219800,11280544200,11465000000,11684000000,15224000000,14807000000,18403000000,29660000000,49966000000,66829000000,37075000000,84275000000,215740000000,210053000000,- -,452041000000
16,EBITDA ratio,0.3954,0.2839,0.3847,0.3484,0.3307,0.4955,0.5233,0.5200,0.4364,0.3874,0.3287,0.3404,0.3447,0.2612,0.2740,0.3291,0.3520,0.4280,0.1765,0.3333,0.4950,0.3095,- -,0.3636
17,Operating Income,1145970760,1245000000,2771558400,2203981800,6831559000,8017591700,8537450800,9156636770,6874269600,6661192860,6665000000,6999000000,9475000000,8563000000,7903000000,11160000000,19742000000,16588000000,-24246000000,16073000000,43780000000,-21012000000,- -,58170000000
18,Operating Income ratio,0.2084,0.1887,0.3200,0.2700,0.3480,0.3771,0.4250,0.4000,0.2685,0.2288,0.1911,0.2039,0.2146,0.1510,0.1176,0.1238,0.1391,0.1062,-0.1154,0.0636,0.1005,-0.0310,- -,0.0468
19,Total Other Income Expenses (Gains),-292941400,-382000000,-626995200,-679611100,-3065788300,-61583550,-725326600,-411942640,373734800,185908410,-467000000,-1105000000,-455000000,-317000000,662000000,3188000000,2330000000,12475000000,-5558000000,-7370000000,46364000000,14002000000,- -,5431000000
