,https://roic.ai/company/PBPB,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,220573000,237966000,274914000,299712000,326979000,372849000,407131000,428111000,422638000,409707000,291281000,380052000
2,COGS,151753000,162038000,189342000,87380000,93688000,105614000,111026000,347534000,111083000,108326000,82154000,285955000
3,Gross Profit,68820000,75928000,85572000,212332000,233291000,267235000,296105000,80577000,311555000,301381000,209127000,94097000
4,Gross Profit Ratio,0.3120,0.3191,0.3113,0.7085,0.7135,0.7167,0.7273,0.1882,0.7372,0.7356,0.7180,0.2476
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,26563000,26911000,29624000,39656000,168608000,192872000,212479000,44618000,235085000,233818000,35009000,33287000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2999000
8,"Selling, General and Administrative Exp.",26563000,26911000,29624000,39656000,168608000,192872000,212479000,44618000,235085000,233818000,35009000,36286000
9,Other Expenses,38534000,40454000,46389000,258581000,57412000,64934000,70613000,27121000,87072000,76759000,14045000,75174000
10,Operating Expenses,65097000,67365000,76013000,298237000,226020000,257806000,283092000,71739000,322157000,310577000,49054000,111460000
11,COGS and Expenses,216850000,229403000,265355000,385617000,319708000,363420000,394118000,419273000,433240000,418903000,131208000,397415000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),519000,495000,541000,387000,179000,221000,134000,124000,142000,199000,-1076000,963000
14,Depreciation and Amortization,15647000,14838000,16219000,17875000,19615000,21476000,22734000,25680000,23142000,22103000,19830000,15909000
15,EBITDA,16409000,23035000,24812000,19316000,26900000,30791000,35523000,23491000,12211000,12500000,-53454000,-6740000
16,EBITDA ratio,0.0744,0.0968,0.0903,0.0644,0.0823,0.0826,0.0873,0.0549,0.0289,0.0305,-0.1835,-0.0177
17,Operating Income,771000,8198000,8565000,1475000,7271000,9429000,13013000,-1923000,-10602000,-9196000,-71132000,-22488000
18,Operating Income ratio,0.0035,0.0345,0.0312,0.0049,0.0222,0.0253,0.0320,-0.0045,-0.0251,-0.0224,-0.2442,-0.0592
19,Total Other Income Expenses (Gains),-528000,-496000,-547000,-389000,-179000,-221000,-134000,-124000,-142000,-199000,-1076000,-963000
20,Income Before Tax,243000,7702000,8018000,1086000,7092000,9208000,12879000,-2047000,-10744000,-9395000,-72208000,-23451000
21,Income Before Tax Ratio,0.0011,0.0324,0.0292,0.0036,0.0217,0.0247,0.0316,-0.0048,-0.0254,-0.0229,-0.2479,-0.0617
22,Income Tax expense (Gain),773000,537000,-15994000,-204000,2748000,3466000,4443000,4643000,-2195000,14190000,-6536000,172000
23,Net Income,-530000,7165000,24046000,1258000,4358000,5628000,8212000,-6956000,-8878000,-23992000,-65672000,-23784000
24,Net Income ratio,-0.0024,0.0301,0.0875,0.0042,0.0133,0.0151,0.0202,-0.0162,-0.0210,-0.0586,-0.2255,-0.0626
25,EPS,-2.07,-0.46,1.07,-6.29,0.15,0.20,0.32,-0.28,-0.35,-1.01,-2.74,-0.86
26,EPS Diluted,-2.07,-0.46,1.07,-6.29,0.14,0.20,0.31,-0.28,-0.35,-1.01,-2.74,-0.86
27,Weighted Average Shares Outstanding,22471686,22492131,22471686,10132805,29209298,28002005,25623809,25045427,25173171,23850000,23899000,27640000
28,Weighted Average Shares Outstanding Diluted,22508639,22778993,22508639,10132805,30275061,28634396,26231367,25045427,25173171,23850000,23899000,27640000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1195734/000119312514084597/0001193125-14-084597-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000119312515062851/0001193125-15-062851-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459016013212/0001564590-16-013212-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459017002022/0001564590-17-002022-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459018003783/0001564590-18-003783-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459019005583/0001564590-19-005583-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459020007450/0001564590-20-007450-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459021012800/0001564590-21-012800-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000119573422000010/0001195734-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,24146000,22595000,69600000,63005000,32006000,23379000,25530000,19775000,18806000,11126000,14353000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,24146000,22595000,69600000,63005000,32006000,23379000,25530000,19775000,18806000,11126000,14353000
34,Net Receivables,- -,2355000,3276000,3000000,4016000,4461000,3787000,5087000,4737000,4257000,4354000,6032000
35,Inventory,- -,2620000,1910000,2300000,2768000,3159000,3365000,3525000,3482000,3473000,2989000,3491000
36,Other Current Assets,- -,4825000,4683000,6900000,10429000,10155000,8020000,11061000,11426000,5687000,4839000,4178000
37,Total Current Assets,- -,33946000,32464000,81800000,80218000,49781000,38551000,45203000,39420000,32223000,23308000,28054000
38,PP&E,- -,59421000,69309000,79000000,85704000,97434000,107074000,103859000,87782000,291020000,61193000,215889000
39,Goodwill,- -,1428000,1428000,1400000,1428000,1428000,2222000,2222000,2222000,2222000,2222000,2222000
40,Intangible Assets,- -,3404000,3404000,3400000,3404000,3404000,3404000,3404000,3404000,3404000,3404000,3404000
41,Intangible Assets,- -,4832000,4832000,4800000,4832000,4832000,5626000,5626000,5626000,5626000,5626000,5626000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,16110000,- -,- -,- -,- -,11202000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,911000,3984000,20500000,21193000,22460000,24194000,4840000,20387000,4010000,- -,3668000
45,Total Non-Current Assets,- -,65164000,94235000,104300000,111729000,124726000,136894000,125527000,113795000,300656000,66819000,225183000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,99110000,126699000,186100000,191947000,174507000,175445000,170730000,153215000,332879000,90127000,253237000
48,Accounts Payable,- -,2559000,2586000,2100000,3301000,5762000,3111000,3903000,3835000,3886000,6206000,8140000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15953000,30881000
50,Tax Payable,- -,- -,- -,216000,226000,143000,1622000,- -,162000,171000,- -,2220000
51,Deferred Revenue,- -,1409000,1412000,200000,200000,500000,700000,2305000,2184000,1594000,- -,2785000
52,Other Current Liabilities,- -,13488000,13296000,16400000,17383000,18920000,24004000,21144000,23007000,48294000,43447000,28074000
53,Total Current Liabilities,- -,17456000,17294000,18700000,20884000,25182000,27815000,27352000,29026000,53774000,65606000,69880000
54,Long-Term Debt,- -,15173000,15095000,1000000,1008000,- -,- -,- -,- -,- -,333000,183808000
55,Deferred Revenue,- -,- -,- -,12288000,14012000,17820000,21076000,- -,22905000,2054000,- -,- -
56,Deferred Tax Liabilities,- -,760000,- -,17297000,17860000,18439000,19410000,- -,13385000,60038000,- -,- -
57,Other Non-Current Liabilities,- -,11175000,12695000,-16285000,-17876000,-16358000,-16341000,26140000,-7272000,148165000,7157000,1966000
58,Total Non-Current Liabilities,- -,27108000,27790000,14300000,15004000,19901000,24145000,26140000,29018000,210257000,7490000,185774000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219746000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,236045000,224471000,194839000
61,Total Liabilities,- -,44564000,45084000,33000000,35888000,45083000,51960000,53492000,58044000,264031000,277862000,255654000
62,Preferred Stock,- -,239848000,250343000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,40000,42000,300000,298000,303000,309000,318000,330000,331000,339000,380000
