,https://roic.ai/company/NMTR,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,3444000,11343000,8266000,4065000,1883000,- -,- -,- -,- -
2,COGS,2838000,11109000,7840000,3329000,1947000,- -,- -,- -,- -
3,Gross Profit,606000,234000,426000,736000,-64000,- -,- -,- -,- -
4,Gross Profit Ratio,0.1760,0.0206,0.0515,0.1811,-0.0340,- -,- -,- -,- -
5,Research and Development Exp.,709000,542000,333000,270000,190000,7559077,13715968,10933023,21995291
6,General and Administrative Exp.,1747000,2646000,3625000,3984000,4984000,10664991,10566813,10519955,9662875
7,Selling and Marketing Exp.,1515000,3722000,2928000,2425000,1428000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3262000,6368000,6553000,6409000,6412000,10664991,10566813,10519955,9662875
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,39424780,5103753
10,Operating Expenses,3971000,6910000,6886000,6679000,6602000,18224068,24282781,60877758,36761919
11,COGS and Expenses,6809000,18019000,14726000,10008000,8549000,18224068,24282781,60877758,- -
12,Interest Income ,- -,- -,- -,- -,- -,163832,185267,18992,22707
13,Interest Expense (Gain),66000,1661000,1381000,825000,93000,6152043,1825148,4046223,-47188
14,Depreciation and Amortization,- -,- -,54000,131000,131000,19555,21607,1519668,43983
15,EBITDA,-3365000,-9383000,-7304000,-5255000,-7701000,-18204513,-24261174,-59358090,-36717936
16,EBITDA ratio,-0.9771,-0.8272,-0.8836,-1.2927,-4.0898,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-3971000,-6910000,-6886000,-6679000,-8888000,-18224068,-25548561,-60877758,-36761919
18,Operating Income ratio,-1.1530,-0.6092,-0.8331,-1.6431,-4.7201,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),540000,-4134000,-1853000,468000,963000,-5938211,-1500247,-618731,-17481
20,Income Before Tax,-3431000,-11044000,-8739000,-6211000,-7925000,-24162279,-27048808,-61496489,-36779400
21,Income Before Tax Ratio,-0.9962,-0.9736,-1.0572,-1.5279,-4.2087,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),4000,13000,2000,2000,- -,- -,- -,- -,- -
23,Net Income,-3435000,-11057000,-8741000,-6213000,-7925000,-24162279,-27048808,-61496489,-36779400
