,https://roic.ai/company/SVBL,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,745988,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27105,- -,34694,49192
3,Gross Profit,- -,-745988,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27105,- -,-34694,-49192
4,Gross Profit Ratio,- -,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,- -,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,80000,40000,50000,80000,3370000,1670000,2080000,2650000,3020000,1210000,5570000,8100000,9150000,3770000,1270000,802030,488960,874060,- -,2508600,- -,- -
6,General and Administrative Exp.,- -,- -,- -,790000,2030000,- -,- -,- -,- -,- -,- -,- -,2995257,5327135,3142454,2962598,2639707,1767557,1471996,1191310,1233601,1723943,1586117,1472911,2500483
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,790000,2030000,- -,- -,- -,- -,- -,- -,- -,2995257,5327135,3142454,2962598,2639707,1767557,1471996,1191310,1233601,1723943,1586117,1472911,2500483
9,Other Expenses,- -,160048,1426245,20939,23806,619652,1099402,1856667,130508,7258608,1927187,2488122,247746,-59172,502926,1267163,1749438,1648395,888,1723,-69986,1250976,222132,695320,990856
10,Operating Expenses,- -,160048,1426245,890939,2093806,669652,1179402,5226667,1800508,9338608,4577187,5508122,4453003,10837963,11745380,13379761,8159145,4685952,2274914,1681993,2037675,2974919,4316849,2168231,3491339
11,COGS and Expenses,- -,906036,1426245,890000,2090000,670000,1180000,5230000,3470000,11420000,7410000,8740000,4450000,10840000,11750000,13380000,7230000,4710000,18780970,2320260,1946720,3002024,4360970,2202925,3540531
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1542,60954,36535,160424,33014,10423,1462,998,3933,4065,28443,7689,92
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528,2393,2502,2329,- -,- -,- -
14,Depreciation and Amortization,- -,1798,24839,25830,28498,35829,25008,63045,83557,89355,229474,242478,195455,311336,241150,2147084,1413948,1848259,61189,638264,38829,27105,44119,34694,49192
15,EBITDA,- -,-884238,-1398206,-860000,-2060000,-630000,-1150000,-5170000,-3390000,-11330000,-7180000,-8500000,-4250000,-10530000,-11510000,-11230000,-5820000,-2860000,-18719780,-1682000,-1907890,-2970629,-4316850,-2145860,-4588676
16,EBITDA ratio,- -,-Infinity,-1398206.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
