,https://roic.ai/company/SEAT,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,468925000,35077000,443038000
2,COGS,- -,106003000,24690000,90617000
3,Gross Profit,- -,362922000,10387000,352421000
4,Gross Profit Ratio,- -,0.7739,0.2961,0.7955
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,- -,90516000,59139000,92170000
7,Selling and Marketing Exp.,- -,178446000,38121000,181358000
8,"Selling, General and Administrative Exp.",- -,268962000,97260000,273528000
9,Other Expenses,- -,103897000,55307000,2322000
10,Operating Expenses,- -,372859000,152567000,275850000
11,COGS and Expenses,- -,478862000,177257000,366467000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),- -,41497000,57482000,58179000
14,Depreciation and Amortization,- -,93078000,48247000,2322000
15,EBITDA,- -,80727000,-668456000,44686000
16,EBITDA ratio,- -,0.1722,-19.0568,0.1009
17,Operating Income,- -,-9937000,-716018000,76571000
18,Operating Income ratio,- -,-0.0212,-20.4127,0.1728
19,Total Other Income Expenses (Gains),- -,-43911000,-58167000,-95396000
20,Income Before Tax,- -,-53848000,-774185000,-18825000
21,Income Before Tax Ratio,- -,-0.1148,-22.0710,-0.0425
22,Income Tax expense (Gain),- -,- -,- -,304000
23,Net Income,- -,-53848000,-774185000,-16119000
24,Net Income ratio,- -,-0.1148,-22.0710,-0.0364
25,EPS,- -,-0.89,-10.34,-0.25
26,EPS Diluted,- -,-0.89,-10.34,-0.25
27,Weighted Average Shares Outstanding,- -,76948433,76948433,76948433
28,Weighted Average Shares Outstanding Diluted,- -,76948433,76948433,76948433
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1856031/000095017022003749/0000950170-22-003749-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,81289000,285337000,489530000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,81289000,285337000,489530000
34,Net Receivables,- -,25000000,35250000,36124000
35,Inventory,- -,11556000,7462000,11773000
