,https://roic.ai/company/GGB,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2277577820,3310046157,5219297861,5388966819,11557250353,13072615830,18465185830,20768409776,25257820475,28157431228,41907845000,26540050000,31393209000,35406780000,37981668000,39863037000,42546339000,43581241000,37651667000,36917619000,46159478000,39644010000,43814661000,78345081000
2,COGS,1474487280,2031562530,3555509371,3812334126,8317288506,9941037886,12852442102,15327446433,18718716078,21157050354,31018946000,22107346000,25873476000,30298232000,33234102000,34728460000,37406328000,39290526000,34187941000,33312995000,40010100000,35440726000,37884102000,57527721000
3,Gross Profit,803090540,1278483627,1663788490,1576632693,3239961848,3131577944,5612743728,5440963343,6539104398,7000380874,10888899000,4432704000,5519733000,5108548000,4747566000,5134577000,5140011000,4290715000,3463726000,3604624000,6149378000,4203284000,5930559000,20817360000
4,Gross Profit Ratio,0.3526,0.3862,0.3188,0.2926,0.2803,0.2396,0.3040,0.2620,0.2589,0.2486,0.2598,0.1670,0.1758,0.1443,0.1250,0.1288,0.1208,0.0985,0.0920,0.0976,0.1332,0.1060,0.1354,0.2657
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1751842353,- -,2284857000,1714494000,1805914000,1797937000,1884306000,1953014000,2036926000,1797483000,1528262000,1129943000,1082449000,954117000,1017435000,1390121000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,546056480,- -,688640000,627816000,551547000,603747000,587369000,658862000,691021000,785002000,710766000,524965000,570431000,476339000,512950000,715830000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,2297898833,- -,2973497000,2342310000,2357461000,2401684000,2471675000,2611876000,2727947000,2582485000,2239028000,1654908000,1652880000,1430456000,1530385000,2105951000
9,Other Expenses,448967120,641201715,909136213,666288771,1184211383,1120144171,1288046598,1582011765,- -,2488756724,-89612000,101810000,-482280000,85533000,-63961000,-177721000,-87893000,-97000000,-127847000,-91731000,34992000,-449200000,-1117699000,-1308472000
10,Operating Expenses,448967120,641201715,909136213,666288771,1184211383,1120144171,1288046598,1582011765,2297898833,2488756724,2883885000,2444120000,1875181000,2487217000,2407714000,2434155000,2640054000,2485485000,2111181000,1563177000,1687872000,981256000,412686000,797479000
11,COGS and Expenses,1923454400,2672764245,4464645584,4478622897,9501499888,11061182057,14140488700,16909458197,21016614910,23645807078,33902831000,24551466000,27748657000,32785449000,35641816000,37162615000,40046382000,41776011000,36299122000,34876172000,41697972000,36421982000,38296788000,58325200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,978416590,- -,484046000,436236000,295563000,455802000,160973000,116817000,131526000,107660000,109080000,141462000,135279000,135972000,86035000,249024000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,932179725,- -,1620782000,1286368000,1097633000,970457000,811416000,901273000,1178034000,1471526000,1540797000,1323448000,1177686000,938120000,1022460000,1433087000
14,Depreciation and Amortization,114537360,198201003,274762900,315549479,632937515,526263664,715064401,704611252,1075052960,1225509725,1896076000,1745319000,1893074000,1771881000,1827499000,2029507000,2227396000,2607909000,2535955000,2092551000,1891814000,2074295000,2499104000,2658561000
15,EBITDA,411875380,588740394,731392040,831100079,1476777506,1899751727,4871867930,4400470784,6171384628,5047988408,8405579000,4180605000,5635054000,5001161000,4127770000,4273455000,4657914000,-1970425000,1490255000,3352030000,5204417000,4673984000,6994951000,24364216000
16,EBITDA ratio,0.1808,0.1779,0.1401,0.1542,0.1278,0.1453,0.2638,0.2119,0.2443,0.1793,0.2006,0.1575,0.1795,0.1412,0.1087,0.1072,0.1095,-0.0452,0.0396,0.0908,0.1127,0.1179,0.1596,0.3110
17,Operating Income,354123420,637281912,754652277,910343922,2055750465,2011433773,4324697130,3858951578,4470225403,4511624150,8005014000,955844000,3644552000,2816346000,2348205000,2754423000,2898986000,-3215512000,-1636360000,1100072000,4047226000,3183934000,5517873000,20019881000
18,Operating Income ratio,0.1555,0.1925,0.1446,0.1689,0.1779,0.1539,0.2342,0.1858,0.1770,0.1602,0.1910,0.0360,0.1161,0.0795,0.0618,0.0691,0.0681,-0.0738,-0.0435,0.0298,0.0877,0.0803,0.1259,0.2555
19,Total Other Income Expenses (Gains),-56785400,-246742521,-298023137,-394793322,-1211910474,-494774918,249176393,254658679,566157425,258694842,-2111900000,75616000,-685314000,-465674000,-788743000,-1301777000,-1561002000,-2878896000,-945255000,-1143348000,-1889795000,-1509214000,-2022195000,252687000
20,Income Before Tax,297338020,390539391,456629140,515550600,843839991,1516658855,4573873523,4113610258,5036382828,4770318991,5893114000,1031460000,2959238000,2350672000,1559462000,1452646000,1337984000,-6094408000,-2581615000,-43276000,2157431000,1674720000,3495678000,20272568000
21,Income Before Tax Ratio,0.1306,0.1180,0.0875,0.0957,0.0730,0.1160,0.2477,0.1981,0.1994,0.1694,0.1406,0.0389,0.0943,0.0664,0.0411,0.0364,0.0314,-0.1398,-0.0686,-0.0012,0.0467,0.0422,0.0798,0.2588
22,Income Tax expense (Gain),63188860,37785895,88961781,126906728,23214140,-98421804,1080158347,1086459172,935956383,944295373,948216000,26952000,501859000,253096000,63222000,-241056000,-150389000,-1498422000,304314000,295391000,-168951000,457833000,1107624000,4713630000
23,Net Income,234149160,352753497,367667359,388643872,820625851,1471909868,3076645182,2609400360,3228195560,2878183310,3940505000,1121966000,2142488000,2005727000,1425633000,1583731000,1402873000,-4551438000,-2890811000,-359360000,2303868000,1203736000,2365763000,15558938000
24,Net Income ratio,0.1028,0.1066,0.0704,0.0721,0.0710,0.1126,0.1666,0.1256,0.1278,0.1022,0.0940,0.0423,0.0682,0.0566,0.0375,0.0397,0.0330,-0.1044,-0.0768,-0.0097,0.0499,0.0304,0.0540,0.1986
25,EPS,0.33,0.00,0.00,0.00,0.62,1.10,2.32,1.96,2.43,2.17,2.83,0.79,1.50,1.22,0.84,0.93,0.82,-2.72,-1.69,-0.20,1.37,0.72,1.40,9.12
26,EPS Diluted,0.32,0.00,0.00,0.00,0.62,1.10,2.31,1.95,2.41,2.15,2.83,0.79,1.50,1.22,0.84,0.93,0.82,-2.72,-1.69,-0.20,1.37,0.72,1.40,9.12
27,Weighted Average Shares Outstanding,1327852964,66267042576930,1115032694899,1327852964552,1331970390,1335056724,1328343885,1327545958,1327691806,1325140718,1392404594,1420210127,1425323486,1642643404,1700464290,1704215347,1704543507,1686674483,1708948515,1709257129,1696163700,1698940772,1701161432,1701161432
28,Weighted Average Shares Outstanding Diluted,1327852964,66267042576930,1115032694899,1327852964552,1331970390,1336428315,1332740910,1334924120,1341696024,1336716606,1392404594,1420210127,1425323486,1644525156,1700464290,1704215347,1704543507,1686674483,1708948515,1709257129,1696163700,1698940772,1701161432,1701161432
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1073404/000110465907044392/0001104659-07-044392-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1073404/000110465909043268/0001104659-09-043268-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465910032711/0001104659-10-032711-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465911032881/0001104659-11-032881-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465912027435/0001104659-12-027435-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465913025466/0001104659-13-025466-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465914022270/0001104659-14-022270-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465915024632/0001104659-15-024632-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465916108976/0001104659-16-108976-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465917016620/0001104659-17-016620-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465918022121/0001104659-18-022121-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465919018684/0001104659-19-018684-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465920041231/0001104659-20-041231-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13169380,18014185,24242982,64634254,143210498,266889766,661231782,1243090301,1035324485,2025390365,2026609000,2091944000,1061034000,1476599000,1437235000,2099224000,3049971000,5648080000,5063383000,2555338000,2890144000,2641652000,4617204000,4160654000
32,Short-Term Investments,409458980,676854114,566343601,710774750,1301761725,681295388,1074400052,4112900421,4763273553,3129412599,3386637000,2619418000,1115461000,3101789000,1059605000,2123168000,2798834000,1270760000,1024411000,821518000,459470000,3652949000,3041143000,2626212000
33,Cash and Short-Term Investments,422628360,694868299,590586583,775409003,1444972223,948185154,1735631835,5355990722,5798598038,5154802964,5413246000,4711362000,2176495000,4578388000,2496840000,4222392000,5848805000,6918840000,6087794000,3376856000,3349614000,6294601000,7658347000,6786866000
34,Net Receivables,261696120,638255117,646626422,670777777,1280710416,1344076641,2219078923,1820185415,3277522418,3171670511,3683933000,3374273000,3153027000,4418731000,4632129000,5163575000,5593943000,5985424000,4704764000,3688482000,4174645000,3659760000,5990166000,8309684000
35,Inventory,353277680,891365743,893312855,1030248916,2240019335,2302253138,4234041173,3881829810,5077222335,6083196870,10398263000,5751593000,6797785000,8059427000,9021542000,8499691000,8866888000,8781113000,6332730000,6701404000,9167689000,7659737000,9169417000,16861488000
36,Other Current Assets,137493160,71367760,144286010,151316423,429755387,482899558,637340702,560521354,954204185,1045018907,1280098000,327458000,818637000,262603000,259886000,291564000,373103000,492121000,671452000,4215371000,811134000,621615000,591523000,682439000
37,Total Current Assets,1175095320,2295856918,2274811870,2627752119,5395457361,5077414491,8826092633,11618527302,15107546975,15454689253,20775540000,14164686000,12945944000,17319149000,16410397000,18177222000,20682739000,22177498000,17796740000,17982113000,17503082000,18235713000,23409453000,32640477000
38,PP&E,1545529440,3632441417,3007917863,3215138425,7380153019,6647887537,7410885464,8214406090,12775016343,15347228383,20054747000,16731101000,16171560000,17295071000,19690181000,21419074000,22131789000,23255730000,19351891000,16443742000,15546481000,16678807000,18068226000,19603530000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,345237611,718157760,6294577236,11294102000,8424341000,8158098000,9155789000,10033396000,11353045000,12556404000,14653026000,9470016000,7891142000,9112390000,9469311000,12103519000,12427527000
