,https://roic.ai/company/ALGS,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,- -,- -,4359000
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -
5,Research and Development Exp.,10456000,44038000,79890000,104153000
6,General and Administrative Exp.,3205000,10005000,17944000,28527000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3205000,10005000,17944000,28527000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,13661000,54043000,97834000,132680000
11,COGS and Expenses,13661000,54043000,97834000,132680000
12,Interest Income ,163000,1562000,- -,132000
13,Interest Expense (Gain),- -,- -,10548000,- -
14,Depreciation and Amortization,1291000,2299000,3325000,3778000
15,EBITDA,-12370000,-51744000,-94509000,-124411000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-28.5412
17,Operating Income,-13661000,-54043000,-97834000,-128321000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-29.4382
19,Total Other Income Expenses (Gains),-272000,1864000,-10548000,132000
20,Income Before Tax,-13933000,-52179000,-108382000,-128189000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-29.4079
22,Income Tax expense (Gain),- -,85000,161000,143000
23,Net Income,-13933000,-52264000,-108543000,-128332000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-29.4407
25,EPS,-0.66,-2.47,-10.87,-3.22
26,EPS Diluted,-0.66,-2.47,-10.87,-3.22
27,Weighted Average Shares Outstanding,21171050,21171050,9988191,39855403
28,Weighted Average Shares Outstanding Diluted,21171050,21171050,9988191,39855403
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1799448/000156459021014872/0001564590-21-014872-index.htm,https://www.sec.gov/Archives/edgar/data/1799448/000095017022003365/0000950170-22-003365-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,24035000,69565000,220383000,186816000
32,Short-Term Investments,66817000,48098000,23130000,3918000
33,Cash and Short-Term Investments,90852000,117663000,243513000,190734000
34,Net Receivables,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,1517000,2563000,6504000,13690000
37,Total Current Assets,92369000,120226000,250017000,204424000
38,PP&E,15184000,16087000,14908000,14969000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,10019000,- -,15110000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,178000,188000,377000,866000
45,Total Non-Current Assets,15362000,26294000,15285000,30945000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,107731000,146520000,265302000,235369000
