,https://roic.ai/company/TTE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,24731500000,23036700000,25612000000,27695500000,34061700000,31720100000,28507100000,42566000000,107890000000,93870000000,107698000000,131568000000,166209000000,169439000000,175123000000,199804000000,223196536459,160686858846,186828035643,215864169529,241091596794,237033610428,212018000000,143421000000,127925000000,149099000000,184106000000,176249000000,119704000000,184634000000
2,COGS,22501100000,20988400000,23170900000,24713700000,30769000000,28044100000,25257300000,37349000000,89928000000,78220000000,90979000000,109257000000,137006000000,110255000000,110821000000,129505000000,154556338224,101808126540,123914084320,147614542155,180288041897,179712226242,172631000000,114391000000,96900000000,115514000000,139808000000,131952000000,100093000000,132178000000
3,Gross Profit,2230400000,2048300000,2441100000,2981800000,3292700000,3676000000,3249800000,5217000000,17962000000,15650000000,16719000000,22311000000,29203000000,59184000000,64302000000,70299000000,68640198235,58878732306,62913951323,68249627373,60803554897,57321384186,39387000000,29030000000,31025000000,33585000000,44298000000,44297000000,19611000000,52456000000
4,Gross Profit Ratio,0.0902,0.0889,0.0953,0.1077,0.0967,0.1159,0.1140,0.1226,0.1665,0.1667,0.1552,0.1696,0.1757,0.3493,0.3672,0.3518,0.3075,0.3664,0.3367,0.3162,0.2522,0.2418,0.1858,0.2024,0.2425,0.2253,0.2406,0.2513,0.1638,0.2841
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25784000000,25430000000,26590472478,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25784000000,25430000000,26590472478,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,986500000,986700000,1243500000,1681000000,1536400000,1506100000,1627400000,2499000000,4576000000,15875000000,6084000000,6257000000,7447000000,148306000000,137084000000,157907000000,203310527522,135716000000,161461000000,198140000000,205556000000,204286000000,201321000000,138698000000,122194000000,138567000000,167524000000,160021000000,26876000000,27634000000
10,Operating Expenses,986500000,986700000,1243500000,1681000000,1536400000,1506100000,1627400000,2499000000,4576000000,15875000000,6084000000,6257000000,7447000000,148306000000,162868000000,183337000000,229901000000,135716000000,161461000000,198140000000,205556000000,204286000000,201321000000,138698000000,122194000000,138567000000,167524000000,160021000000,26876000000,27634000000
11,COGS and Expenses,23487600000,21975100000,24414400000,26394700000,32305400000,29550200000,26884700000,39848000000,94504000000,94095000000,97063000000,115514000000,144453000000,140979000000,143276000000,163117000000,190993123034,139668462376,162537571486,186213466399,213045203269,212822778867,203741000000,141572000000,123333000000,142080000000,168844000000,160897000000,126969000000,159812000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1671910237,189122586,174225296,353833193,- -,- -,- -,- -,- -,- -,- -,- -,37000000,379000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1844530445,591724454,468147360,702482017,559420213,567538457,400000000,603000000,631000000,936000000,1414000000,2106000000,2037000000,1904000000
14,Depreciation and Amortization,986500000,986700000,1243500000,1681000000,1536400000,1506100000,1627400000,2499000000,5237000000,4804000000,6555000000,6669000000,8250000000,6689000000,7331000000,8683000000,8237046524,9777064588,11554728022,10495755298,330626604,302411003,254000000,332000000,344000000,192000000,225000000,266000000,- -,14343000000
15,EBITDA,1815800000,1770600000,2201500000,2551900000,3131300000,3446300000,3094800000,4884000000,17693000000,16865000000,18082000000,22231000000,32535000000,35209000000,40970000000,47755000000,44516524209,33576422718,39684798510,45348972847,32312799217,27866000166,13512000000,7675000000,8141000000,12788000000,19601000000,19511000000,-4887000000,41866000000
16,EBITDA ratio,0.0734,0.0769,0.0860,0.0921,0.0919,0.1086,0.1086,0.1147,0.1640,0.1797,0.1679,0.1690,0.1957,0.2078,0.2339,0.2390,0.1994,0.2090,0.2124,0.2101,0.1340,0.1176,0.0637,0.0535,0.0636,0.0858,0.1065,0.1107,-0.0408,0.2268
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-414600000,-277700000,-239600000,-429900000,-161400000,-229700000,-155000000,-333000000,-930000000,12286000000,892000000,-492000000,2529000000,60000000,1799000000,2385000000,2736865551,2449997135,3685330496,4895340548,3570767318,3090391892,4587000000,4590000000,2584000000,4309000000,2804000000,1958000000,247000000,1131000000
20,Income Before Tax,829300000,783900000,958000000,870900000,1594900000,1940200000,1467400000,2385000000,12456000000,12061000000,11527000000,15562000000,24285000000,28520000000,33646000000,39072000000,34940278977,23468393604,27975794654,34546043678,31617160843,27301223453,12864000000,6439000000,7176000000,11328000000,18066000000,17310000000,-7018000000,25953000000
21,Income Before Tax Ratio,0.0335,0.0340,0.0374,0.0314,0.0468,0.0612,0.0515,0.0560,0.1155,0.1285,0.1070,0.1183,0.1461,0.1683,0.1921,0.1956,0.1565,0.1461,0.1497,0.1600,0.1311,0.1152,0.0607,0.0449,0.0561,0.0760,0.0981,0.0982,-0.0586,0.1406
22,Income Tax expense (Gain),313900000,279700000,324000000,412500000,505800000,676800000,429000000,851000000,5954000000,5235000000,5287000000,6730000000,11265000000,13995000000,18108000000,19824000000,19692624662,11105220930,13602872722,18239906681,17279868807,15341489685,8614000000,1653000000,970000000,3029000000,6516000000,5872000000,318000000,9587000000
23,Net Income,515400000,504200000,634000000,458400000,1089100000,1263400000,1038400000,1534000000,6502000000,6826000000,6240000000,8832000000,13020000000,14525000000,15531000000,19248000000,14742322577,12102412746,14059050406,15910828851,14142883593,11654561021,4244000000,5087000000,6196000000,8631000000,11446000000,11267000000,-7242000000,16032000000
24,Net Income ratio,0.0208,0.0219,0.0248,0.0166,0.0320,0.0398,0.0364,0.0360,0.0603,0.0727,0.0579,0.0671,0.0783,0.0857,0.0887,0.0963,0.0661,0.0753,0.0753,0.0737,0.0587,0.0492,0.0200,0.0355,0.0484,0.0579,0.0622,0.0639,-0.0605,0.0868
25,EPS,0.61,0.57,0.69,0.49,1.14,1.29,1.06,1.09,2.30,2.46,0.02,3.49,5.30,6.17,6.76,8.54,6.60,5.43,6.29,7.08,6.27,5.15,1.87,2.17,2.52,3.36,4.27,4.20,-2.90,6.42
26,EPS Diluted,0.61,0.57,0.69,0.49,1.14,1.29,1.06,1.09,2.30,2.46,0.02,3.49,5.30,6.13,6.71,8.48,6.56,5.42,6.26,7.05,6.24,5.14,1.86,2.16,2.51,3.34,4.24,4.17,-2.90,6.12
