,https://roic.ai/company/TCRT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1726,2570,- -,- -,- -,- -,- -,- -,- -,- -,667000,800000,800000,1373000,4332000,6861000,6389000,146000,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,667000,800000,800000,1373000,4332000,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,5593850,10391302,18992635,17245000,4556000,12910000,57083000,83446000,42852000,32706000,106785000,157791000,45084000,34134000,38331000,52696000,49643000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,8374000,7567000,11636000,- -,19523000,15661000,12166000,17647000,14377000,14798000,19918000,19527000,- -,27564000
7,Selling and Marketing Exp.,120,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",120,- -,35356,39166,4193553,8720290,9577858,8374000,7567000,11636000,14984000,19523000,15661000,12166000,17647000,14377000,14798000,19918000,19527000,27665000,27564000
9,Other Expenses,74141,42511,486,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,740000
10,Operating Expenses,74261,42511,35842,39166,9787403,19111592,28570493,25619000,12123000,24546000,72067000,102969000,58513000,44872000,124432000,172168000,59882000,54052000,57858000,80361000,77947000
11,COGS and Expenses,74261,42511,35842,39166,9787403,19111592,28570493,25619000,12123000,24546000,72067000,102969000,58513000,44872000,124432000,172168000,59882000,54052000,57858000,80361000,- -
12,Interest Income ,- -,- -,- -,- -,270479,1254673,1962247,388000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,750,799,486,- -,101232,173920,433353,388000,330000,188000,268000,658000,738000,462000,357000,290000,369000,575000,629000,1128000,2597000
15,EBITDA,-71785,-39142,-35356,-39166,-9686171,-18937672,-28137140,-25231000,-16267000,-16234000,-63510000,-95474000,-56369000,-31319000,-119731000,-165007000,-53954000,-52542000,3522000,-79233000,-74952000
16,EBITDA ratio,-41.5904,-15.2304,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-95.2174,-119.3425,-70.4613,-22.8106,-27.6387,-24.0500,-8.4448,-359.8767,Infinity,-Infinity,-Infinity
17,Operating Income,-72535,-39941,-35842,-39166,-9787403,-19111592,-28570493,-25619000,-12123000,-24546000,-71400000,-102169000,-57713000,-43499000,-120100000,-165307000,-53493000,-53906000,-57858000,-80361000,-77549000
18,Operating Income ratio,-42.0249,-15.5412,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-107.0465,-127.7113,-72.1412,-31.6817,-27.7239,-24.0937,-8.3727,-369.2192,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,4474000,-8124000,7622000,6037000,606000,11718000,12000,10000,-830000,789000,-59938000,385000,-1202000
20,Income Before Tax,-72535,-39941,-35842,-39166,- -,- -,- -,- -,- -,- -,- -,-96132000,-57107000,-31781000,-120088000,-165297000,-54323000,-53117000,-117796000,-79976000,-78751000
21,Income Before Tax Ratio,-42.0249,-15.5412,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,-120.1650,-71.3838,-23.1471,-27.7211,-24.0923,-8.5026,-363.8151,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-72535,-39941,-35842,-39166,-9516923,-17856919,-26608246,-25231000,-7649000,-32670000,-63778000,-96132000,-57107000,-31781000,-120088000,-165297000,-54323000,-53117000,-117796000,-79976000,-78751000
24,Net Income ratio,-42.0249,-15.5412,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-95.6192,-120.1650,-71.3838,-23.1471,-27.7211,-24.0923,-8.5026,-363.8151,-Infinity,-Infinity,-Infinity
25,EPS,-0.80,-0.40,-0.40,-0.40,-2.32,-1.42,-1.41,-1.19,-0.33,-0.71,-0.97,-1.22,-0.66,-0.31,-0.96,-1.32,-0.53,0.96,-0.70,-0.38,-0.38
26,EPS Diluted,-0.80,-0.40,-0.40,-0.40,-2.32,-1.42,-1.41,-1.19,-0.33,-0.71,-0.97,-1.22,-0.66,-0.31,-0.96,-1.32,-0.53,0.96,-0.70,-0.38,-0.38
27,Weighted Average Shares Outstanding,90267,112485,116821,135988,4101514,12571951,18832351,21232663,23108039,46003996,66003789,78546112,85943175,101130710,125416084,130391463,136938264,143508674,167952114,209636456,209636456
28,Weighted Average Shares Outstanding Diluted,90267,112485,116821,135988,4101514,12571951,18832351,21232663,23108039,46003996,66003789,78546112,85943175,101130710,125416084,130391463,136938264,143710160,167952114,209636456,209636456
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1107421/000119312521063387/0001193125-21-063387-index.htm,https://www.sec.gov/Archives/edgar/data/1107421/000095017022004972/0000950170-22-004972-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,15,33,21,8880717,26855450,35028798,11379000,48839000,60392000,104713000,73306000,68204000,42803000,140717000,81053000,70946000,61729000,79741000,115069000,76054000
32,Short-Term Investments,- -,- -,- -,- -,- -,1555164,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,15,33,21,8880717,28410614,35028798,11379000,48839000,60392000,104713000,73306000,68204000,42803000,140717000,81053000,70946000,61729000,79741000,115069000,76054000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000,58000,145000,145000,446000,21000,19000,1864000,3330000,4665000,1111000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,211837,462789,498864,327000,354000,424000,1313000,6912000,1948000,1139000,11358000,23810000,19818000,20692000,22421000,10855000,1666000
37,Total Current Assets,- -,15,33,21,9092554,28873403,35527662,11706000,49193000,60816000,106105000,80276000,70297000,44087000,152521000,104884000,90783000,84285000,105492000,130589000,78831000
38,PP&E,- -,- -,- -,- -,269702,451247,746421,489000,255000,253000,1141000,1994000,801000,531000,581000,843000,1211000,1097000,3382000,14881000,15361000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,486,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,486,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,130043,187447,452378,378000,288000,451000,862000,1134000,656000,619000,622000,621000,13612000,9669000,240000,875000,673000
45,Total Non-Current Assets,- -,486,- -,- -,399745,638694,1198799,867000,543000,704000,2003000,3128000,1457000,1150000,1203000,1464000,14823000,10766000,3622000,15756000,16034000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,501,33,21,9492299,29512097,36726461,12573000,49736000,61520000,108108000,83404000,71754000,45237000,153724000,106348000,105606000,95051000,109114000,146345000,94865000
48,Accounts Payable,- -,650,7608,63,835997,776128,2909170,2639000,1789000,1031000,1727000,1509000,422000,2004000,2008000,156000,4417000,707000,906000,960000,1368000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,774000,819000,16465000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263000,585000,255000,417000,289000,646000,1017000,349000,284000,16000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,45000,43000,815000,800000,800000,1360000,6861000,6389000,6389000,- -,- -,- -,- -
52,Other Current Liabilities,- -,17185,18111,20983,1418819,2161914,3396480,3137000,1261000,2538000,10821000,16555000,6569000,7462000,9254000,9264000,10050000,8776000,10846000,16589000,-1792000
53,Total Current Liabilities,- -,17835,25719,21046,2254816,2938042,6305650,5776000,3095000,3612000,13363000,18864000,7791000,10826000,18123000,15809000,20856000,9483000,12526000,18368000,16041000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1578000,3995000,16250000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,58000,66000,44000,3713000,2733000,1933000,- -,47917000,41528000,35139000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,35557,41078,50988,- -,18471000,27311000,19425000,13362000,12647000,570000,313000,988000,2425000,4000,- -,- -,4518000
58,Total Non-Current Liabilities,- -,- -,- -,- -,35557,41078,50988,58000,18537000,27355000,23138000,16095000,14580000,570000,48230000,42516000,37564000,4000,1578000,3995000,20768000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2352000,4814000,- -
61,Total Liabilities,- -,17835,25719,21046,2290373,2979120,6356638,5834000,21632000,30967000,36501000,34959000,22371000,11396000,66353000,58325000,58420000,9487000,14104000,22363000,36809000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125321000,143992000,- -,- -,- -,- -
63,Common Stock,- -,120050,130050,156050,7248,15273,21299,22000,42000,48000,69000,83000,100000,104000,132000,132000,143000,161000,182000,215000,216000
64,Retained Earnings,- -,-210475,-246317,-285483,-15364356,-33221275,-59829521,-85061000,-91144000,-123814000,-187592000,-283724000,-340831000,-372612000,-492700000,-657997000,-712442000,-566329000,-684125000,-764101000,-842852000
65,Other Comprehensive Income/Loss,- -,- -,20600,20600,- -,15071101,20503894,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,73091,69981,87808,22559034,44667878,69674151,91778000,119206000,154319000,259130000,332086000,390114000,406349000,579939000,580567000,615493000,651732000,778953000,887868000,900693000
67,Total Stockholders Equity,- -,-17334,-25686,-21025,7201926,26532977,30369823,6739000,28104000,30553000,71607000,48445000,49383000,33841000,87371000,48023000,47186000,85564000,95010000,123982000,58057000
68,Total Liabilities And Stockholders Equity,- -,501,33,21,9492299,29512097,36726461,12573000,49736000,61520000,108108000,83404000,71754000,45237000,153724000,106348000,105606000,95051000,109114000,146345000,94866000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000
70,Total Liabilities & Equity,- -,501,33,21,9492299,29512097,36726461,12573000,49736000,61520000,108108000,83404000,71754000,45237000,153724000,106348000,105606000,95051000,109114000,146345000,94865000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1107421/000119312521063387/0001193125-21-063387-index.htm,https://www.sec.gov/Archives/edgar/data/1107421/000095017022004972/0000950170-22-004972-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-72535,-39941,-35842,-39166,-9516923,-17856919,-26608246,-25231000,-7649000,-32670000,-63778000,-96132000,-57107000,-31781000,-120088000,-165297000,-54323000,-53117000,-117796000,-79976000,-78751000
74,Depreciation and Amortization,750,799,486,- -,101232,173920,433353,388000,330000,188000,268000,658000,738000,462000,357000,290000,369000,575000,629000,1128000,2597000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,1600000,2181000,3637000,2759000,4880000,3507000,4743000,7997000,8452000,8454000,7534000,7341000,6829000,10774000
