,https://roic.ai/company/YCBD,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,2031562,4474953,8420142,23651551,41883734,44480763
2,COGS,- -,1618432,1355381,2673272,9136677,15514727,14495063
3,Gross Profit,- -,413130,3119572,5746870,14514874,26369007,29985700
4,Gross Profit Ratio,- -,0.2034,0.6971,0.6825,0.6137,0.6296,0.6741
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,1422791
6,General and Administrative Exp.,- -,- -,- -,- -,- -,23055389,21766184
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,9946755,17573242
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,33002144,39339426
9,Other Expenses,- -,4146423,3358863,5629771,28875186,10948718,8839474
10,Operating Expenses,- -,4146423,3358863,5629771,28875186,43950862,49601691
11,COGS and Expenses,- -,5764855,4714244,8303043,38011863,59465589,64096754
12,Interest Income ,- -,- -,- -,- -,75071,39877,- -
13,Interest Expense (Gain),- -,154977,500627,955,- -,- -,- -
14,Depreciation and Amortization,- -,44935,71276,222546,289574,720755,2253805
15,EBITDA,- -,-3148577,-1141831,-204574,-52497652,11977727,-22036084
16,EBITDA ratio,- -,-1.5498,-0.2552,-0.0243,-2.2196,0.2860,-0.4954
17,Operating Income,- -,-3733293,-239291,117099,-14796891,-17581856,-19615990
18,Operating Income ratio,- -,-1.8376,-0.0535,0.0139,-0.6256,-0.4198,-0.4410
19,Total Other Income Expenses (Gains),- -,-154977,-1121877,-70265,-32991885,28887811,-4673899
20,Income Before Tax,- -,-3888270,-1361168,46834,-47788776,11305955,-24289889
21,Income Before Tax Ratio,- -,-1.9139,-0.3042,0.0056,-2.0205,0.2699,-0.5461
22,Income Tax expense (Gain),- -,8000,25000,-16000,-2359000,-1345300,-895000
23,Net Income,- -,-3356489,-1738734,-412075,-50428226,12602272,-23394889
24,Net Income ratio,- -,-1.6522,-0.3885,-0.0489,-2.1321,0.3009,-0.5260
25,EPS,- -,-1.13,-0.23,-0.05,-2.82,0.28,-0.47
