,https://roic.ai/company/GPRK,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,2840215,6007698,11028296,38375449,44800000,79600000,111600000,250500000,338400000,428734000,209690000,192670000,330122000,601161000,628907000,393692000,688543000
2,COGS,- -,4024765,7826015,19140333,29600000,43900000,54500000,129200000,117900000,144421000,97056000,73649000,100863000,178894000,177081000,243145000,301759000
3,Gross Profit,- -,1982933,3202282,19235116,15200000,35700000,57100000,121300000,220500000,284313000,112634000,119021000,229259000,422267000,451826000,150547000,386784000
4,Gross Profit Ratio,- -,0.3301,0.2904,0.5012,0.3393,0.4485,0.5116,0.4842,0.6516,0.6631,0.5371,0.6177,0.6945,0.7024,0.7184,0.3824,0.5617
5,Research and Development Exp.,1202490,1501925,2094031,4170452,2400000,2400000,2800000,2300000,- -,- -,30084000,31366000,5834000,26389000,18290000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,9600000,15500000,20200000,52400000,61500000,94575000,51399000,46482000,50144000,69437000,99520000,57035000,46828000
7,Selling and Marketing Exp.,2088444,620403,503933,1080526,- -,- -,- -,- -,- -,-24428000,-5211000,-4222000,-1136000,-4023000,-14113000,5844000,8730000
8,"Selling, General and Administrative Exp.",2088444,620403,503933,1080526,9600000,15500000,20200000,52400000,61500000,70147000,46188000,42260000,49008000,65414000,85407000,62879000,55558000
9,Other Expenses,- -,7631347,10580579,5299099,-549114,1043404,-1453958,24786000,11625000,45366000,-6048000,-23608000,1130000,-18868000,-8333000,26616000,19630000
10,Operating Expenses,3290934,9753674,13178543,10550077,11450886,18943404,21546042,79486000,73125000,115513000,70224000,50018000,55972000,72935000,95364000,89495000,75188000
11,COGS and Expenses,5258957,13778439,21004557,29690410,48600000,66300000,85800000,201300000,254400000,356890000,442181000,221283000,251126000,344669000,418232000,332640000,376947000
12,Interest Income ,- -,787283,959681,392256,16169,1566,130544,544000,3425000,3376000,1269000,2128000,2016000,3059000,2360000,3166000,1652000
