,https://roic.ai/company/FNF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2554674000,3490465000,5082640000,7715215000,5889413000,6315861000,9436101000,5524010000,4329095000,5828400000,5740300000,4839600000,7201700000,8565000000,8024000000,9132000000,9554000000,7663000000,7594000000,8469000000,10778000000,15054000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10778000000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,1897904000,3225319000,1700935000,1355845000,1649800000,1610100000,1578000000,1872900000,2134000000,2540000000,2671000000,2832000000,2460000000,2538000000,2696000000,2951000000,3528000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1218044000,1951700000,1758700000,1410800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,1897904000,3225319000,1700935000,2573889000,3601500000,3368800000,2988800000,1872900000,2134000000,2540000000,2671000000,2832000000,2460000000,2538000000,2696000000,2951000000,3528000000
9,Other Expenses,- -,- -,- -,- -,- -,6149096000,5267681000,3579065000,1957111000,1604500000,1496200000,1406200000,4049100000,4690000000,5092000000,3223000000,3470000000,4339000000,4306000000,4404000000,-1192000000,- -
10,Operating Expenses,- -,- -,- -,- -,- -,8047000000,8493000000,5280000000,4531000000,5206000000,4865000000,4395000000,5922000000,6824000000,7632000000,5894000000,6302000000,6799000000,6844000000,7100000000,1759000000,- -
11,COGS and Expenses,2329492000,2976838000,4231340000,6294576000,5006486000,5447557000,8492899000,5347497000,4624488000,5483500000,5177900000,4424800000,6358300000,7914000000,7632000000,8265000000,8482000000,6799000000,6844000000,7100000000,8994000000,11971000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144500000,142700000,143900000,129000000,126000000,123000000,129000000,131000000,177000000,225000000,900000000,1961000000
