,https://roic.ai/company/LBRDK,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,1136934000,83098000,77363000,69045000,91182000,30586000,13092000,22256000,14859000,50706000,988000000
2,COGS,433454000,9189000,15993000,466000,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,703480000,73909000,61370000,68579000,- -,- -,- -,- -,- -,50706000,- -
4,Gross Profit Ratio,0.6188,0.8894,0.7933,0.9933,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,21927000,15800000,15557000,18477000,17032000,10240000,8153000,5956000,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,47778000,42792000,34703000,24065000,23497000,32811000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",29312000,24397000,34068000,47778000,42792000,34703000,24065000,23497000,32811000,74691000,442000000
9,Other Expenses,18852000,25833000,11833000,16543000,12184000,6803000,6352000,4817000,11325000,-44761000,549000000
10,Operating Expenses,70091000,66030000,61458000,82798000,72008000,51746000,38570000,34270000,44136000,29930000,991000000
11,COGS and Expenses,503545000,75219000,77451000,82798000,72008000,51746000,38570000,34270000,44136000,110361000,991000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,1138000,7424000,14956000,19570000,23302000,25166000,28158000,117000000
14,Depreciation and Amortization,6181000,5839000,4382000,9043000,6088000,4005000,3770000,2779000,1875000,15227000,267000000
15,EBITDA,646106000,76891000,-60044000,-192110000,-56543000,1494633000,2473940000,117958000,182199000,404561000,1334000000
16,EBITDA ratio,0.5683,0.9253,-0.7761,-2.7824,-0.6201,48.8666,188.9658,5.3001,12.2619,7.9786,1.3502
17,Operating Income,640359000,7879000,-88000,-42974000,58955000,-21160000,-25478000,-12014000,-29277000,-59655000,-98000000
18,Operating Income ratio,0.5632,0.0948,-0.0011,-0.6224,0.6466,-0.6918,-1.9461,-0.5398,-1.9703,-1.1765,-0.0992
19,Total Other Income Expenses (Gains),600000,62880000,-64338000,-159317000,-129010000,1496832000,2476078000,103891000,184435000,420820000,1048000000
20,Income Before Tax,640959000,70759000,-64426000,-202291000,-70055000,1475672000,2450600000,91877000,155158000,361165000,950000000
21,Income Before Tax Ratio,0.5638,0.8515,-0.8328,-2.9298,-0.7683,48.2466,187.1830,4.1282,10.4420,7.1227,0.9615
22,Income Tax expense (Gain),32551000,26856000,-22698000,-67686000,-19868000,558369000,416933000,21924000,37942000,-36443000,218000000
23,Net Income,607374000,44196000,-41728000,-134605000,-50187000,917303000,2033667000,69953000,117216000,397619000,732000000
24,Net Income ratio,0.5342,0.5319,-0.5394,-1.9495,-0.5504,29.9909,155.3366,3.1431,7.8886,7.8417,0.7409
25,EPS,20.36,0.49,-1.40,-1.52,-0.49,6.03,11.19,0.39,0.65,2.18,3.76
