,https://roic.ai/company/BRBR,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,574700000,713200000,827500000,854400000,988300000,1247100000
2,COGS,395500000,467400000,549800000,542600000,650300000,860900000
3,Gross Profit,179200000,245800000,277700000,311800000,338000000,386200000
4,Gross Profit Ratio,0.3118,0.3446,0.3356,0.3649,0.3420,0.3097
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,119800000,131000000,135100000,127100000,151800000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",119800000,131000000,135100000,127100000,151800000,167100000
9,Other Expenses,27700000,22700000,22800000,22200000,22200000,51100000
10,Operating Expenses,147500000,153700000,157900000,149300000,174000000,218200000
11,COGS and Expenses,543000000,621100000,707700000,691900000,824300000,1079100000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,54700000,43200000
14,Depreciation and Amortization,25000000,25300000,25900000,25300000,25300000,53700000
15,EBITDA,56700000,90900000,145700000,187800000,112700000,133300000
16,EBITDA ratio,0.0987,0.1275,0.1761,0.2198,0.1140,0.1069
17,Operating Income,- -,- -,- -,162500000,164000000,168000000
18,Operating Income ratio,- -,- -,- -,0.1902,0.1659,0.1347
19,Total Other Income Expenses (Gains),- -,-26500000,- -,- -,-54700000,-44800000
20,Income Before Tax,31700000,65600000,119800000,162500000,109300000,123200000
21,Income Before Tax Ratio,0.0552,0.0920,0.1448,0.1902,0.1106,0.0988
22,Income Tax expense (Gain),11800000,30400000,23700000,39400000,9200000,8800000
23,Net Income,19900000,35200000,96100000,123100000,23500000,27600000
24,Net Income ratio,0.0346,0.0494,0.1161,0.1441,0.0238,0.0221
25,EPS,0.58,1.03,2.80,4.10,0.60,0.70
26,EPS Diluted,0.58,1.03,2.80,4.10,0.60,0.70
27,Weighted Average Shares Outstanding,34285715,34285715,34285715,30000000,39400000,39500000
28,Weighted Average Shares Outstanding Diluted,34285715,34285715,34285715,30000000,39500000,39700000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1772016/000177201619000038/0001772016-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1772016/000177201620000070/0001772016-20-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1772016/000177201621000118/0001772016-21-000118-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,7800000,10900000,5500000,48700000,152600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,7800000,10900000,5500000,48700000,152600000
34,Net Receivables,- -,63000000,87200000,68400000,83100000,103900000
35,Inventory,- -,85700000,61600000,138200000,150500000,117900000
36,Other Current Assets,- -,9300000,4000000,7400000,7900000,13700000
37,Total Current Assets,- -,165800000,163700000,219500000,290200000,388100000
38,PP&E,- -,9900000,11900000,11700000,10200000,8900000
39,Goodwill,- -,65900000,65900000,65900000,65900000,65900000
40,Intangible Assets,- -,341500000,318700000,296500000,274300000,223100000
41,Intangible Assets,- -,407400000,384600000,362400000,340200000,289000000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,100000,200000,900000,12900000,10500000
45,Total Non-Current Assets,- -,417400000,396700000,375000000,363300000,308400000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,583200000,560400000,594500000,653500000,696500000
48,Accounts Payable,- -,46200000,56900000,60500000,54700000,89000000
49,Short-Term Debt,- -,1900000,1000000,400000,63800000,116300000
50,Tax Payable,- -,800000,300000,- -,2200000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,28500000,36400000,31800000,34600000,46000000
53,Total Current Liabilities,- -,76600000,94300000,92700000,153100000,251300000
54,Long-Term Debt,- -,- -,- -,- -,622600000,481200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,22200000,13600000,14100000,9000000,7600000
57,Other Non-Current Liabilities,- -,- -,800000,1300000,2051400000,21900000
58,Total Non-Current Liabilities,- -,22200000,14400000,15400000,2683000000,510700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,98800000,108700000,108100000,2836100000,762000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,400000,400000
64,Retained Earnings,- -,- -,- -,- -,-2179000000,-3059700000
65,Other Comprehensive Income/Loss,- -,-1000000,-1400000,-2600000,-4000000,-3500000
66,Other Total Stockholders Equity,- -,489600000,458100000,489400000,- -,- -
67,Total Stockholders Equity,- -,484400000,451700000,486400000,-2182600000,-3062800000
68,Total Liabilities And Stockholders Equity,- -,583200000,560400000,594500000,653500000,-2300800000
69,Minority Interest,- -,- -,- -,- -,- -,2997300000
70,Total Liabilities & Equity,- -,583200000,560400000,594500000,653500000,696500000
