,https://roic.ai/company/SHWZ,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,251891,835777,631456,3529584,9442555,12400955,24000852,167486784
2,COGS,72000,209745,462182,1302281,2577510,7616221,17226486,118133090
3,Gross Profit,179891,626032,169274,2227303,6865045,4784734,6774366,49353694
4,Gross Profit Ratio,0.7142,0.7490,0.2681,0.6310,0.7270,0.3858,0.2823,0.2947
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,193146,519882,1009841,7129210,4402993,16466092,29677305,- -
7,Selling and Marketing Exp.,15495,15997,311522,183782,291711,- -,- -,- -
8,"Selling, General and Administrative Exp.",208641,535879,1321363,7312992,4694704,16466092,29677305,16616306
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,208641,535879,1321363,7312992,4694704,16466092,29677305,16616306
11,COGS and Expenses,280641,745624,1783545,8615273,7272214,24082313,46903791,134749396
12,Interest Income ,3123,8071,14016,30001,30001,- -,- -,- -
13,Interest Expense (Gain),1184,- -,125155,86020,- -,- -,- -,7014279
14,Depreciation and Amortization,561,6618,17370,63738,81960,61708,476592,8576865
15,EBITDA,-25066,104842,-1321748,-5231414,1613806,-17496965,-19839278,27160285
16,EBITDA ratio,-0.0995,0.1254,-2.0932,-1.4822,0.1709,-1.4109,-0.8266,0.1622
17,Operating Income,-28750,90153,-1152089,-5235950,2170341,-17081917,-22902939,10409166
18,Operating Income ratio,-0.1141,0.1079,-1.8245,-1.4834,0.2298,-1.3775,-0.9543,0.0621
19,Total Other Income Expenses (Gains),1939,8071,-312184,-145222,-638495,-476756,2587069,1159975
20,Income Before Tax,-26811,98224,-1464273,-5381172,1531846,-17558673,-20315870,11569141
21,Income Before Tax Ratio,-0.1064,0.1175,-2.3189,-1.5246,0.1622,-1.4159,-0.8465,0.0691
22,Income Tax expense (Gain),3143,12475,- -,- -,582931,-582931,-899109,4396164
23,Net Income,-29954,85749,-1464273,-5381172,948915,-16975742,-19416761,7172977
24,Net Income ratio,-0.1189,0.1026,-2.3189,-1.5246,0.1005,-1.3689,-0.8090,0.0428
25,EPS,-0.00,0.01,-0.14,-0.23,0.04,-0.50,-0.47,0.17
26,EPS Diluted,-0.00,0.01,-0.14,-0.23,0.03,-0.50,-0.47,0.17
27,Weighted Average Shares Outstanding,9972500,9906250,10226086,22991137,25121896,33740557,41217026,41217026
28,Weighted Average Shares Outstanding Diluted,9972500,9906250,10226086,22991137,27769357,33740557,41217026,41217026
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1622879/000101968716005856/0001019687-16-005856-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316817000950/0001683168-17-000950-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316818000812/0001683168-18-000812-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316819001081/0001683168-19-001081-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316820001021/0001683168-20-001021-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316821001161/0001683168-21-001161-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316822002216/0001683168-22-002216-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,54510,262146,351524,748715,321788,11853627,1231235,106400216
32,Short-Term Investments,- -,40000,13998,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,54510,302146,365522,748715,321788,11853627,1231235,106400216
34,Net Receivables,253123,83739,289016,678173,2587380,1174755,1532785,3866828
35,Inventory,- -,- -,- -,106091,489239,684940,2619145,11121997
36,Other Current Assets,- -,38721,27479,42819,50824,1855793,614200,2523214
37,Total Current Assets,307633,424606,682017,1575798,3449231,15569115,5997365,123912255
38,PP&E,- -,48119,42126,150047,95541,299021,5163834,18765006
39,Goodwill,- -,- -,- -,9304306,12304306,12304306,53046729,43316267
40,Intangible Assets,4770,4240,3708,87712,81197,75289,3082044,97582330
41,Intangible Assets,4770,4240,3708,9392018,12385503,12379595,56128773,140898597
42,Investments,- -,- -,- -,- -,2199344,406774,276782,493553
43,Tax Assets,- -,- -,- -,- -,- -,268423,- -,- -
44,Other Non-Current Assets,- -,- -,- -,14500,91987,3305679,3115847,961381
45,Total Non-Current Assets,4770,52359,45834,9556565,14772375,16659492,64685236,161118537
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,312403,476965,727851,11132363,18221606,32228607,70682601,285030792
48,Accounts Payable,18500,8715,- -,278428,273827,715333,3557461,2548885
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,5000000,134498
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,2027741
51,Deferred Revenue,- -,- -,- -,19700,- -,148109,50000,- -
52,Other Current Liabilities,4327,13200,294177,36795,874015,4718417,3752925,42579796
53,Total Current Liabilities,22827,21915,294177,334923,1147842,5581859,12360386,45263179
54,Long-Term Debt,- -,- -,810000,58280,- -,- -,13901759,97482468
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,66803,2645597,8715480
58,Total Non-Current Liabilities,- -,- -,810000,58280,- -,66803,16547356,106197948
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,66803,2645597,- -
61,Total Liabilities,22827,21915,1104177,393203,1147842,5648662,28907742,106197948
62,Preferred Stock,- -,- -,- -,- -,- -,- -,20,- -
63,Common Stock,9840,9973,10403,23113,27875,39953,42602,45485
64,Retained Earnings,-29954,55795,-1408478,-6789650,-5840735,-22816477,-42293098,-27773968
65,Other Comprehensive Income/Loss,- -,-6088,-22919,-82038,-149015,-159354,- -,- -
66,Other Total Stockholders Equity,309690,395370,1044668,17587735,23035639,49515823,84025335,161298148
67,Total Stockholders Equity,289576,455050,-376326,10739160,17073764,26579945,41774859,133569665
68,Total Liabilities And Stockholders Equity,312403,476965,727851,11132363,18221606,32228607,70682601,239767613
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,45263179
70,Total Liabilities & Equity,312403,476965,727851,11132363,18221606,32228607,70682601,285030792
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1622879/000101968716005856/0001019687-16-005856-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316817000950/0001683168-17-000950-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316818000812/0001683168-18-000812-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316819001081/0001683168-19-001081-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316820001021/0001683168-20-001021-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316821001161/0001683168-21-001161-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316822002216/0001683168-22-002216-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-29954,85749,-1464273,-5381172,948915,-16975742,-19416761,14519130
74,Depreciation and Amortization,561,6618,17370,63738,81960,61708,476592,8576865
75,Deferred Income Tax,- -,- -,- -,- -,- -,-268423,268423,- -
76,Stock Based Compensation,54199,79725,627200,4805318,1457250,7184363,8230513,5037879
77,Change in Working Capital,-230296,117885,-14851,853035,1060514,7685867,-16350277,85012097
78,Accounts Receivable,- -,-83739,58739,-462062,-2100318,-3361194,874616,244929
79,Inventory,- -,- -,- -,-106091,-383147,-195701,781512,-4703186
80,Accounts Payable,18500,-9785,-8715,334748,812919,1241626,1610226,493719
81,Other Working Capital,284806,402691,387840,1240875,2301389,9987256,-6363021,78649076
82,Other Non-Cash Items,- -,11866,93077,-1014916,-2261179,-5241738,16991820,-55811585
83,Cash Provided by Operating Activities,-205490,301843,-741477,-673997,1287460,-7553965,-9799690,57334386
84,CAPEX,- -,-54207,-10844,-255663,-20039,-200238,-768173,-5638085
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-33278462,-75678000
86,Purchases of Investments,- -,-50000,31699,217458,-71561,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,31699,221761,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-31699,-217458,-58280,-916518,827495,152331
89,Cash Used for Investing Activites,- -,-104207,20855,-33902,-149880,-1116756,-33219140,-81163754
90,Debt Repayment,- -,- -,- -,-80665,- -,- -,- -,- -
91,Common Stock Issued,260000,10000,- -,1185755,1000000,19600000,12625312,50283142
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,810000,- -,- -,602560,19276570,78715207
95,Cash Used/Provided by Financing Activities,260000,10000,810000,1105090,1000000,20202560,31901882,128998349
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,207636,89378,397191,-426927,11531839,-11116948,105168981
98,Cash at the End of Period,54510,262146,351524,748715,321788,11853627,1231235,106400216
99,Cash at the Beginning of Period,- -,54510,262146,351524,748715,321788,12348183,1231235
100,Free Cash Flow,-205490,247636,-752321,-929660,1267421,-7754203,-10567863,51696301
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1622879/000101968716005856/0001019687-16-005856-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316817000950/0001683168-17-000950-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316818000812/0001683168-18-000812-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316819001081/0001683168-19-001081-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316820001021/0001683168-20-001021-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316821001161/0001683168-21-001161-index.htm,https://www.sec.gov/Archives/edgar/data/1622879/000168316822002216/0001683168-22-002216-index.htm
102,false,,,,,,,,
