,https://roic.ai/company/ENRT,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,82206,194465,97417,11861,20512,- -,- -,- -,8632,14315,- -,- -,- -,- -,- -
2,COGS,110790,88160,320336,249652,163134,32969,14771,310,- -,- -,3796,8335,- -,- -,- -,- -,- -
3,Gross Profit,-110790,-88160,-238130,-55187,-65717,-21108,5741,-310,- -,- -,4836,5980,- -,- -,- -,- -,- -
4,Gross Profit Ratio,-Infinity,-Infinity,-2.8967,-0.2838,-0.6746,-1.7796,0.2799,-Infinity,- -,- -,0.5602,0.4177,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8459,4608,20810,230550,14729,1702,12566
6,General and Administrative Exp.,- -,- -,367752,310989,263468,452611,732546,590293,253950,2181298,1025641,411643,642246,362872,245759,130200,592912
7,Selling and Marketing Exp.,- -,- -,- -,- -,1996,8020,41473,12052,5437,172976,213008,44021,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,367752,310989,265464,460631,774019,602345,259387,2354274,1238649,455664,642246,362872,245759,130200,592912
9,Other Expenses,56893,113211,- -,- -,- -,- -,- -,175103,76058,- -,- -,11437,61609,43124,157281,-163417,-242112
10,Operating Expenses,56893,113211,367752,310989,265464,460631,774019,777448,335445,2354274,1247108,471709,724665,636546,417769,-31515,363366
11,COGS and Expenses,167683,201371,688088,560641,428598,493600,788790,777758,335445,2354274,1250904,480044,724665,604887,382911,148634,363366
12,Interest Income ,- -,- -,- -,- -,103,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,10486,8206,23635,- -,- -,4745,2108,6780,2210,1282,1192,1651,1416
14,Depreciation and Amortization,- -,- -,76092,141596,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-167683,-201371,-531305,-230939,94719,-3709640,-141770,-550901,53140,-2354274,-1147325,-518721,-724665,-636546,-417769,31515,-363366
16,EBITDA ratio,-Infinity,-Infinity,-6.4631,-1.1876,0.9723,-312.7595,-6.9116,-Infinity,Infinity,-Infinity,-132.9153,-36.2362,-Infinity,-Infinity,-Infinity,Infinity,-Infinity
17,Operating Income,-167683,-201371,-605883,-366176,-331181,-481739,-791913,-777758,-335445,-2354274,-1242272,-465729,-724665,- -,- -,- -,- -
