,https://roic.ai/company/H,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,3738000000,3837000000,3332000000,3527000000,3698000000,3949000000,4184000000,4415000000,4328000000,4429000000,4685000000,4454000000,5020000000,2066000000,3028000000
2,COGS,2847000000,2934000000,2753000000,2864000000,2957000000,3121000000,3283000000,3433000000,3377000000,3473000000,3638000000,3475000000,4077000000,2067000000,2603000000
3,Gross Profit,891000000,903000000,579000000,663000000,741000000,828000000,901000000,982000000,951000000,956000000,1047000000,979000000,943000000,-1000000,425000000
4,Gross Profit Ratio,0.2384,0.2353,0.1738,0.1880,0.2004,0.2097,0.2153,0.2224,0.2197,0.2159,0.2235,0.2198,0.1878,-0.0005,0.1404
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,276000000,283000000,316000000,323000000,349000000,308000000,315000000,379000000,320000000,417000000,321000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,276000000,283000000,316000000,323000000,349000000,308000000,315000000,379000000,320000000,417000000,321000000,366000000
9,Other Expenses,506000000,539000000,531000000,279000000,305000000,353000000,345000000,354000000,320000000,342000000,366000000,327000000,329000000,310000000,310000000
10,Operating Expenses,506000000,539000000,531000000,555000000,588000000,669000000,668000000,703000000,628000000,657000000,745000000,647000000,746000000,631000000,676000000
11,COGS and Expenses,3353000000,3473000000,3284000000,3419000000,3545000000,3790000000,3951000000,4136000000,4005000000,4130000000,4383000000,4122000000,4823000000,2698000000,3279000000
12,Interest Income ,- -,- -,- -,- -,- -,44000000,51000000,26000000,12000000,38000000,101000000,28000000,25000000,30000000,28000000
13,Interest Expense (Gain),43000000,75000000,56000000,54000000,57000000,70000000,65000000,71000000,68000000,76000000,80000000,76000000,75000000,128000000,163000000
14,Depreciation and Amortization,214000000,249000000,270000000,279000000,305000000,353000000,345000000,354000000,320000000,342000000,366000000,327000000,364000000,341000000,337000000
15,EBITDA,736000000,584000000,273000000,436000000,447000000,519000000,733000000,948000000,582000000,707000000,1018000000,1354000000,1445000000,-491000000,544000000
16,EBITDA ratio,0.1969,0.1522,0.0819,0.1236,0.1209,0.1314,0.1752,0.2147,0.1345,0.1596,0.2173,0.3040,0.2878,-0.2377,0.1797
17,Operating Income,385000000,364000000,48000000,108000000,153000000,159000000,233000000,279000000,323000000,299000000,302000000,332000000,197000000,-632000000,1079000000
18,Operating Income ratio,0.1030,0.0949,0.0144,0.0306,0.0414,0.0403,0.0557,0.0632,0.0746,0.0675,0.0645,0.0745,0.0392,-0.3059,0.3563
19,Total Other Income Expenses (Gains),89000000,-160000000,-103000000,-20000000,-70000000,-64000000,88000000,246000000,-129000000,-10000000,271000000,619000000,809000000,-328000000,-1035000000
20,Income Before Tax,474000000,204000000,-55000000,88000000,83000000,95000000,321000000,525000000,194000000,289000000,573000000,951000000,1006000000,-960000000,44000000
21,Income Before Tax Ratio,0.1268,0.0532,-0.0165,0.0250,0.0224,0.0241,0.0767,0.1189,0.0448,0.0653,0.1223,0.2135,0.2004,-0.4647,0.0145
22,Income Tax expense (Gain),208000000,90000000,-10000000,37000000,-28000000,8000000,116000000,179000000,70000000,85000000,323000000,182000000,240000000,-257000000,266000000
23,Net Income,271000000,170000000,-43000000,66000000,113000000,88000000,207000000,344000000,124000000,204000000,249000000,769000000,766000000,-703000000,-222000000
24,Net Income ratio,0.0725,0.0443,-0.0129,0.0187,0.0306,0.0223,0.0495,0.0779,0.0287,0.0461,0.0531,0.1727,0.1526,-0.3403,-0.0733
25,EPS,2.01,1.31,-0.28,0.38,0.67,0.53,1.30,2.25,0.87,1.53,1.99,6.79,7.33,-6.93,-2.13
26,EPS Diluted,2.01,1.31,-0.28,0.38,0.67,0.53,1.30,2.23,0.86,1.52,1.97,6.68,7.21,-6.93,-2.13
27,Weighted Average Shares Outstanding,134585000,128037000,153571429,174115200,168800000,165017485,158500000,153100000,142800000,132930578,124800000,113300000,104600000,101300000,103970738
28,Weighted Average Shares Outstanding Diluted,134634000,128061000,153571429,174354202,169200000,165377328,159200000,154400000,144000000,133939331,126300000,115100000,106300000,101300000,103970738
