,https://roic.ai/company/SYBX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,2444000,2520000,2224000,545000,1754000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,545,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,2742000,4391000,10545000,18947000,13930000,30341000,38034000,41905000,47474000,47127000
6,General and Administrative Exp.,1562000,2384000,3369000,6080000,8118000,12927000,15716000,14728000,13537000,15392000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1562000,2384000,3369000,6080000,8118000,12927000,15716000,14728000,13537000,15392000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4304000,6775000,13914000,25027000,22048000,43268000,53750000,56633000,61011000,62519000
11,COGS and Expenses,4304000,6775000,13914000,25027000,22048000,43268000,53750000,56633000,61011000,- -
12,Interest Income ,- -,- -,- -,44000,350000,504000,2843000,3062000,1302000,- -
13,Interest Expense (Gain),355000,- -,- -,- -,- -,57000,43000,21000,6000,-2000
14,Depreciation and Amortization,37000,36000,35000,54000,159000,2310000,2421000,4072000,2636000,- -
15,EBITDA,-4267000,-6739000,-13879000,-24973000,-21889000,-38010000,-45971000,-47280000,-56531000,-60563000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-15.5524,-18.2425,-21.2590,-103.7266,-34.5285
17,Operating Income,-4304000,-6775000,-15834000,-25027000,-26618000,-40824000,-51230000,-54409000,-60466000,-60765000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-16.7038,-20.3294,-24.4645,-110.9468,-34.6437
19,Total Other Income Expenses (Gains),646000,339000,- -,44000,350000,447000,2795000,3036000,1293000,204000
20,Income Before Tax,-3658000,-6436000,-15834000,-24983000,-26268000,-40377000,-48435000,-51373000,-59173000,-60561000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-16.5209,-19.2202,-23.0994,-108.5743,-34.5274
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3658000,-6436000,-15834000,-24983000,-26268000,-40377000,-48435000,-51373000,-59173000,-60561000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-16.5209,-19.2202,-23.0994,-108.5743,-34.5274
25,EPS,-12.11,-5.68,-19.60,-9.85,-8.82,-6.00,-2.03,-1.70,-1.65,-1.09
26,EPS Diluted,-12.11,-5.68,-19.60,-9.85,-8.82,-6.00,-2.03,-1.70,-1.65,-1.09
27,Weighted Average Shares Outstanding,809168,1132877,809168,2975790,2977338,6724641,23882685,30284068,35835744,55329711
28,Weighted Average Shares Outstanding Diluted,809168,1132877,809168,2975790,2977338,6724641,23882685,30284068,35835744,55329711
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527599/000155837016004457/0001558370-16-004457-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000152759917000004/0001527599-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000156459018006323/0001564590-18-006323-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000156459019007367/0001564590-19-007367-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000156459020010261/0001564590-20-010261-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000156459021015256/0001564590-21-015256-index.htm,https://www.sec.gov/Archives/edgar/data/1527599/000156459022010714/0001564590-22-010714-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,23182000,9319000,89713000,16432000,58440000,11252000,26184000,32507000,16438000
32,Short-Term Investments,- -,- -,- -,- -,44066000,28585000,111477000,93387000,67937000,- -
33,Cash and Short-Term Investments,- -,23182000,9319000,89713000,60498000,87025000,122729000,119571000,100444000,16438000
34,Net Receivables,- -,195000,155000,36000,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,44000,143000,793000,882000,1564000,1609000,13675000,6402000,116871000
37,Total Current Assets,- -,23421000,9617000,90542000,61380000,88589000,124338000,133246000,106846000,133309000
38,PP&E,- -,49000,116000,375000,354000,9783000,14841000,30284000,26303000,22977000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,9590000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,9590000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,7502000,- -,112150000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,214000,92000,- -,2432000,1327000,1161000,17542000,1101000,-93700000
45,Total Non-Current Assets,- -,263000,208000,375000,2786000,11110000,16002000,55328000,36994000,41427000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,23684000,9825000,90917000,64166000,99699000,140340000,188574000,143840000,174736000
48,Accounts Payable,- -,682000,871000,3687000,361000,2679000,2380000,2165000,1995000,1944000
49,Short-Term Debt,- -,- -,- -,- -,- -,425000,266000,2208000,2533000,3191000
50,Tax Payable,- -,- -,- -,106000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,444000,268000,544000,- -,531000
52,Other Current Liabilities,- -,463000,1628000,2214000,2400000,5479000,5427000,3946000,3773000,4414000
53,Total Current Liabilities,- -,1145000,2499000,5901000,2761000,9027000,8341000,8863000,8301000,10080000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,17372000
55,Deferred Revenue,- -,- -,- -,- -,- -,668000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,52453000,55277000,- -,1053000,4966000,7901000,22806000,20404000,-10062000
58,Total Non-Current Liabilities,- -,52453000,55277000,- -,1053000,5634000,7901000,22806000,20404000,7310000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1053000,891000,476000,25014000,22806000,- -
61,Total Liabilities,- -,53598000,57776000,5901000,3814000,14661000,16242000,31669000,28705000,17390000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,21000,21000,16000,25000,33000,38000,- -
64,Retained Earnings,- -,-30804000,-47951000,-76523000,-102791000,-71654000,-119765000,-171138000,-230311000,-290872000
65,Other Comprehensive Income/Loss,- -,-240000,-275000,-330000,-4000,-9000,-65000,110000,14000,-45000
66,Other Total Stockholders Equity,- -,1130000,275000,161848000,163126000,156685000,243903000,327900000,345394000,438183000
67,Total Stockholders Equity,- -,-29914000,-47951000,85016000,60352000,85038000,124098000,156905000,115135000,147266000
68,Total Liabilities And Stockholders Equity,- -,23684000,9825000,90917000,64166000,99699000,140340000,188574000,143840000,164656000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,10080000
70,Total Liabilities & Equity,- -,23684000,9825000,90917000,64166000,99699000,140340000,188574000,143840000,174736000
