,https://roic.ai/company/LEGH,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,110545000,128736000,161877000,168956000,176724000
2,COGS,77329000,82498000,107231000,104903000,109723000
3,Gross Profit,33216000,46238000,54646000,64053000,67001000
4,Gross Profit Ratio,0.3005,0.3592,0.3376,0.3791,0.3791
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,25482000,19068000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,25482000,19068000
9,Other Expenses,14791000,18143000,21846000,731000,336000
10,Operating Expenses,14791000,18143000,21846000,26213000,19404000
11,COGS and Expenses,92120000,100641000,129077000,131116000,129127000
12,Interest Income ,214000,272000,190000,300000,915000
13,Interest Expense (Gain),1244000,2044000,2507000,702000,1053000
14,Depreciation and Amortization,576000,652000,838000,1014000,1212000
15,EBITDA,19317000,29168000,33990000,39306000,51087000
16,EBITDA ratio,0.1747,0.2266,0.2100,0.2326,0.2891
17,Operating Income,18425000,28095000,32800000,37840000,47597000
18,Operating Income ratio,0.1667,0.2182,0.2026,0.2240,0.2693
19,Total Other Income Expenses (Gains),-928000,-1623000,-2155000,-250000,1225000
20,Income Before Tax,17497000,26472000,30645000,37590000,48822000
21,Income Before Tax Ratio,0.1583,0.2056,0.1893,0.2225,0.2763
22,Income Tax expense (Gain),158000,124000,9132000,8746000,10827000
23,Net Income,17339000,26348000,21513000,28844000,37995000
24,Net Income ratio,0.1569,0.2047,0.1329,0.1707,0.2150
25,EPS,0.56,0.84,1.07,1.18,1.57
26,EPS Diluted,0.56,0.84,1.07,1.18,1.57
27,Weighted Average Shares Outstanding,20000000,20000000,20197260,24379667,24226128
28,Weighted Average Shares Outstanding Diluted,20000000,20000000,20197260,24436954,24236395
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1436208/000155837019002900/0001558370-19-002900-index.htm,https://www.sec.gov/Archives/edgar/data/1436208/000155837020003380/0001558370-20-003380-index.html,https://www.sec.gov/Archives/edgar/data/1436208/000155837021003153/0001558370-21-003153-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,1009000,428000,2599000,1724000,768000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1009000,428000,2599000,1724000,768000
34,Net Receivables,13668000,17652000,15574000,19158000,23737000
35,Inventory,29332000,39561000,42033000,27228000,27224000
36,Other Current Assets,1941000,1800000,2938000,4857000,3234000
37,Total Current Assets,45950000,59441000,63144000,52967000,54963000
38,PP&E,11206000,11826000,17128000,23105000,29834000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,122826000,137068000,154766000,207548000,253819000
45,Total Non-Current Assets,134032000,148894000,171894000,230653000,283653000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,179982000,208335000,235038000,283620000,338616000
48,Accounts Payable,4383000,6280000,2828000,5168000,10197000
49,Short-Term Debt,1731000,5276000,228000,28860000,- -
50,Tax Payable,970000,1144000,2252000,1761000,5603000
51,Deferred Revenue,1027000,2903000,2222000,1567000,3620000
52,Other Current Liabilities,7211000,9328000,15107000,16338000,22589000
53,Total Current Liabilities,14352000,23787000,20385000,51933000,36406000
54,Long-Term Debt,43747000,53504000,17416000,2001000,36174000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1842000,1766000,1971000
57,Other Non-Current Liabilities,6292000,6773000,6115000,5531000,4872000
58,Total Non-Current Liabilities,50039000,60277000,25373000,9298000,43017000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,64391000,84064000,45758000,61231000,79423000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,115591000,124271000,24000,25000,25000
64,Retained Earnings,- -,- -,21513000,50357000,88352000
65,Other Comprehensive Income/Loss,-3785000,-4378000,-5210000,-6127000,- -
66,Other Total Stockholders Equity,3785000,4378000,172953000,178134000,170816000
67,Total Stockholders Equity,115591000,124271000,189280000,222389000,259193000
68,Total Liabilities And Stockholders Equity,179982000,208335000,235038000,283620000,338616000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,179982000,208335000,235038000,283620000,338616000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1436208/000155837019002900/0001558370-19-002900-index.htm,https://www.sec.gov/Archives/edgar/data/1436208/000155837020003380/0001558370-20-003380-index.html,https://www.sec.gov/Archives/edgar/data/1436208/000155837021003153/0001558370-21-003153-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,17339000,26348000,21513000,28844000,37995000
74,Depreciation and Amortization,576000,652000,838000,1014000,1212000
75,Deferred Income Tax,- -,- -,1842000,-76000,205000
76,Stock Based Compensation,- -,- -,- -,630000,226000
77,Change in Working Capital,-20590000,4056000,7105000,-41725000,17523000
78,Accounts Receivable,-284000,-2314000,839000,826000,-1716000
79,Inventory,-3543000,-9960000,-2493000,10275000,3278000
