,https://roic.ai/company/WHLR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,4504270,4716917,4908797,2433979,8707492,17159252,27734205,44160408,58535000,65709000,63162000,61003000,61310000
2,COGS,1182055,1242849,1515795,519220,1713957,4314599,9462161,13465318,15389000,18473000,19127000,18886000,19618000
3,Gross Profit,3322215,3474068,3393002,1914759,6993535,12844653,18272044,30695090,43146000,47236000,44035000,42117000,41692000
4,Gross Profit Ratio,0.7376,0.7365,0.6912,0.7867,0.8032,0.7486,0.6588,0.6951,0.7371,0.7189,0.6972,0.6904,0.6800
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,321178,1307151,5297166,5373934,9325554,7515813,6863000,7530000,6150000,5714000,6583000
7,Selling and Marketing Exp.,30055,33407,51673,- -,- -,184227,218180,228016,237000,261000,276000,117000,119000
8,"Selling, General and Administrative Exp.",30055,33407,372851,1307151,5297166,5558161,9543734,7743829,7100000,7791000,6426000,5831000,6702000
9,Other Expenses,1527870,1579645,1687436,847152,3573785,8430974,16947780,21224467,29142000,27990000,21525000,17291000,14797000
10,Operating Expenses,1557925,1613052,2060287,2154303,8870951,13989135,26491514,28968296,36242000,35781000,27951000,23122000,21499000
11,COGS and Expenses,2739980,2855901,3576082,2673523,10584908,18303734,35953675,42433614,51631000,54254000,47078000,42008000,41117000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,691937,1443000,4000,2000,- -,34000
13,Interest Expense (Gain),1585282,1762858,1876173,966113,2497810,6813426,9043761,13356111,17165000,20228000,18985000,17092000,33028000
14,Depreciation and Amortization,1380882,1473488,1503978,833713,3466957,9093526,17502786,20666311,26231000,27094000,21319000,16830000,14797000
15,EBITDA,3145173,3334503,2836693,638049,2304513,5356697,9025868,22927316,31439000,30862000,32280000,34167000,38384000
16,EBITDA ratio,0.6983,0.7069,0.5779,0.2621,0.2647,0.3122,0.3254,0.5192,0.5371,0.4697,0.5111,0.5601,0.6261
17,Operating Income,1764290,1861015,1332715,-239544,-1877416,-4932389,-12333536,-291136,542000,6393000,10854000,18418000,19510000
