,https://roic.ai/company/FIFG,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,24500,40000,15710,251080,326290,208167
2,COGS,- -,- -,- -,- -,21000,35077
3,Gross Profit,- -,- -,- -,- -,305290,173090
4,Gross Profit Ratio,- -,- -,- -,- -,0.9356,0.8315
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,20030,100900,5778580,2076200,2715540,2055068
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",20030,100900,5778580,2076200,2715540,2055068
9,Other Expenses,-4,2,20220,108096,87158,141790
10,Operating Expenses,20026,100902,5798800,2184296,2802698,2196858
11,COGS and Expenses,20030,100900,5625680,2168800,2823700,2231935
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,8094,55765,230775,720370
14,Depreciation and Amortization,- -,- -,- -,- -,- -,37077
15,EBITDA,4470,-60900,-5609976,-1906095,-2425455,-1903989
16,EBITDA ratio,0.1824,-1.5225,-357.0959,-7.5916,-7.4334,-9.1464
17,Operating Income,4474,-60902,-5783092,-1933213,-2497416,-2023768
18,Operating Income ratio,0.1826,-1.5226,-368.1153,-7.6996,-7.6540,-9.7218
19,Total Other Income Expenses (Gains),-4,2,165022,-40267,-228274,-719370
20,Income Before Tax,4470,-60900,-5618070,-1973480,-2725690,-2743138
21,Income Before Tax Ratio,0.1824,-1.5225,-357.6111,-7.8600,-8.3536,-13.1776
22,Income Tax expense (Gain),670,- -,- -,- -,- -,- -
23,Net Income,3800,-60900,-5618070,-1961860,-2656230,-2661436
24,Net Income ratio,0.1551,-1.5225,-357.6111,-7.8137,-8.1407,-12.7851
25,EPS,0.00,-0.00,-0.35,-0.12,-0.14,-0.12
26,EPS Diluted,0.00,-0.00,-0.35,-0.12,-0.14,-0.12
27,Weighted Average Shares Outstanding,12325000,12325000,15830390,17197004,18523221,21449269
28,Weighted Average Shares Outstanding Diluted,12325000,12325000,15830390,17197004,18523221,21449269
