,https://roic.ai/company/PFMT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,123519000,162974000,210073000,255302000,195378000,159381000,141360000,132049000,155668000,150432000,155937000,124393000
2,COGS,58113000,- -,- -,- -,- -,- -,- -,- -,96144000,- -,- -,- -
3,Gross Profit,65406000,162974000,210073000,255302000,195378000,159381000,- -,- -,59524000,- -,155937000,124393000
4,Gross Profit Ratio,0.5295,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,0.3824,- -,1.0000,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,58113000,67082000,83002000,96762000,93676000,88077000,78863000,82191000,96144000,115194000,100654000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",58113000,67082000,83002000,96762000,93676000,88077000,78863000,82191000,96144000,115194000,100654000,- -
9,Other Expenses,-24458000,49199000,71305000,85671000,74433000,64596000,54985000,55863000,58333000,47687000,69248000,125709000
10,Operating Expenses,33655000,116281000,154307000,182433000,168109000,152673000,133848000,138054000,154477000,162881000,169902000,125709000
11,COGS and Expenses,91768000,116281000,154307000,182433000,168109000,152673000,133848000,138054000,154477000,162881000,169902000,- -
12,Interest Income ,118000,125000,64000,1000,1000,- -,- -,4000,28000,41000,21000,- -
13,Interest Expense (Gain),15230000,13530000,12414000,11564000,10171000,8889000,7897000,6972000,4699000,7589000,7227000,-11313000
14,Depreciation and Amortization,7213000,21166000,9505000,10655000,12450000,13368000,28818000,10888000,10234000,11125000,7007000,6996000
15,EBITDA,39082000,54584000,61656000,83525000,39720000,20076000,20892000,3806000,8465000,-8483000,-6937000,-14543000
16,EBITDA ratio,0.3164,0.3349,0.2935,0.3272,0.2033,0.1260,0.1478,0.0288,0.0544,-0.0564,-0.0445,-0.1169
17,Operating Income,31751000,33293000,55766000,72869000,27269000,6708000,-7926000,-7086000,-1797000,-19649000,-13965000,-1316000
18,Operating Income ratio,0.2571,0.2043,0.2655,0.2854,0.1396,0.0421,-0.0561,-0.0537,-0.0115,-0.1306,-0.0896,-0.0106
19,Total Other Income Expenses (Gains),-15112000,-13405000,-16029000,-11563000,-10170000,-8889000,-7897000,-6968000,-4671000,-7548000,-7206000,-8910000
20,Income Before Tax,16639000,19888000,39737000,61306000,17099000,-2181000,-15823000,-14054000,-6468000,-27197000,-21171000,-10226000
21,Income Before Tax Ratio,0.1347,0.1220,0.1892,0.2401,0.0875,-0.0137,-0.1119,-0.1064,-0.0415,-0.1808,-0.1358,-0.0822
22,Income Tax expense (Gain),6664000,7516000,16786000,24967000,7699000,-386000,-4370000,-1325000,1542000,-377000,-7182000,62000
23,Net Income,9975000,12372000,22951000,36339000,9400000,-1795000,-11453000,-12729000,-8010000,-26820000,-13989000,-10288000
24,Net Income ratio,0.0808,0.0759,0.1093,0.1423,0.0481,-0.0113,-0.0810,-0.0964,-0.0515,-0.1783,-0.0897,-0.0827
25,EPS,0.09,0.13,0.48,0.77,0.19,-0.04,-0.23,-0.25,-0.15,-0.50,-0.26,-0.17
26,EPS Diluted,0.09,0.13,0.44,0.74,0.19,-0.04,-0.23,-0.25,-0.15,-0.50,-0.26,-0.17
27,Weighted Average Shares Outstanding,45148986,45148986,43985000,47492000,48816000,49415000,50038000,50688000,52064000,53468000,54414000,60461000
28,Weighted Average Shares Outstanding Diluted,45148986,45148986,47599000,49386000,49834000,49415000,50038000,50688000,52064000,53468000,54414000,60461000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1550695/000119312513119713/0001193125-13-119713-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069514000005/0001550695-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069515000008/0001550695-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069516000050/0001550695-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069517000005/0001550695-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069518000006/0001550695-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069519000022/0001550695-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069520000025/0001550695-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069521000007/0001550695-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069522000015/0001550695-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,20004000,37843000,81909000,80298000,71182000,32982000,21731000,5462000,3373000,16043000,17347000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,20004000,37843000,81909000,80298000,71182000,32982000,21731000,5462000,3373000,16043000,17347000
34,Net Receivables,- -,19398000,23044000,19649000,19441000,17965000,13511000,19333000,21058000,28673000,23216000,20808000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,9235000,7799000,12302000,21150000,21181000,25519000,14466000,5233000,4951000,15261000,16552000
37,Total Current Assets,- -,48637000,68686000,113860000,120889000,110328000,72012000,55530000,31753000,36997000,54520000,54707000
38,PP&E,- -,14915000,20669000,26247000,27647000,25515000,23735000,20944000,22255000,25603000,17497000,18943000
39,Goodwill,- -,81572000,81572000,81572000,82522000,82522000,82522000,81572000,81572000,74372000,47372000,47372000
40,Intangible Assets,- -,36516000,36244000,32513000,29093000,25074000,5895000,4864000,1160000,925000,689000,- -
41,Intangible Assets,- -,118088000,117816000,114085000,111615000,107596000,88417000,86436000,82732000,75297000,48061000,47372000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,468000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,659000,4574000,3068000,2678000,1217000,914000,1058000,1019000,975000,- -,963000
45,Total Non-Current Assets,- -,133662000,143059000,143400000,141940000,134328000,113066000,108906000,106006000,101875000,65558000,67278000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,182299000,211745000,257260000,262829000,244656000,185078000,164436000,137759000,138872000,120078000,121985000
48,Accounts Payable,- -,60000,1403000,2383000,1370000,929000,628000,1518000,1402000,2532000,407000,1124000
49,Short-Term Debt,- -,- -,11040000,10763000,9820000,9076000,9738000,2029000,2224000,3320000,59957000,2840000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3159000
51,Deferred Revenue,- -,2214000,2187000,- -,- -,- -,- -,- -,1078000,83000,867000,- -
52,Other Current Liabilities,- -,24667000,22348000,32523000,44567000,44789000,41103000,39533000,9383000,13495000,15981000,13543000
53,Total Current Liabilities,- -,26941000,36978000,45669000,55757000,54794000,51469000,43080000,14087000,19430000,77212000,17507000
54,Long-Term Debt,- -,95249000,136729000,122541000,101975000,85182000,43878000,38555000,41105000,58562000,- -,18595000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,14647000,11271000,12612000,11666000,8818000,1130000,- -,22000,35000,- -,- -
57,Other Non-Current Liabilities,- -,61167000,2694000,2204000,2259000,2006000,2356000,2476000,5319000,7220000,7035000,3460000
58,Total Non-Current Liabilities,- -,171063000,150694000,137357000,115900000,96006000,47364000,41031000,46446000,65817000,7035000,22055000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,7759000,5769000,- -
61,Total Liabilities,- -,198004000,187672000,183026000,171657000,150800000,98833000,84111000,60533000,85247000,84247000,39562000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4000,4000,5000,5000,5000,5000,5000,5000,5000,5000,7000
64,Retained Earnings,- -,-32814000,-11901000,24438000,33838000,32043000,20590000,7861000,-149000,-26969000,- -,-51246000
