,https://roic.ai/company/ATCX,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,468217000,538799000
2,COGS,- -,- -,259741000,245714000,284002000
3,Gross Profit,- -,- -,211306000,222503000,254797000
4,Gross Profit Ratio,- -,- -,Infinity,0.4752,0.4729
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -
9,Other Expenses,180,106435,3712997,224759000,-511163000
10,Operating Expenses,180,106435,3712997,224759000,-511163000
11,COGS and Expenses,180,106435,3712997,470473000,511163000
12,Interest Income ,- -,471972,4054156,- -,- -
13,Interest Expense (Gain),- -,- -,9862000,24673000,-54817000
14,Depreciation and Amortization,- -,- -,19881000,26057000,7208
15,EBITDA,-180,-106435,16168003,40359000,-81990792
16,EBITDA ratio,-Infinity,-Infinity,Infinity,0.0862,-0.1522
17,Operating Income,-180,-106435,-3712997,-2256000,27636000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-0.0048,0.0513
19,Total Other Income Expenses (Gains),- -,471972,4054156,-24673000,-54817000
20,Income Before Tax,-180,365537,341159,-26929000,-27181000
21,Income Before Tax Ratio,-Infinity,Infinity,Infinity,-0.0575,-0.0504
22,Income Tax expense (Gain),- -,77877,688516,718000,2524000
23,Net Income,-180,287660,-347357,-11089000,-29705000
24,Net Income ratio,-Infinity,Infinity,-Infinity,-0.0237,-0.0551
25,EPS,-0.00,-0.01,-0.52,-2.15,-0.81
26,EPS Diluted,-0.00,-0.01,-0.52,-2.15,-0.81
27,Weighted Average Shares Outstanding,34706200,6240480,6348851,12841584,27639506
28,Weighted Average Shares Outstanding Diluted,34706200,6240480,6348851,12841584,27639506
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1751143/000161577419004483/0001615774-19-004483-index.htm,https://www.sec.gov/Archives/edgar/data/1751143/000121390020006535/0001213900-20-006535-index.htm,https://www.sec.gov/Archives/edgar/data/1751143/000121390021017073/0001213900-21-017073-index.htm,https://www.sec.gov/Archives/edgar/data/1751143/000121390022012692/0001213900-22-012692-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,1275571,95683,14062000,10697000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1275571,95683,14062000,10697000
34,Net Receivables,- -,- -,131288000,138172000,105362000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,23116,-130968500,10431000,55024000
37,Total Current Assets,- -,1298687,415183,162665000,171083000
38,PP&E,- -,- -,14824000,14134000,13757000
39,Goodwill,- -,- -,85125000,109001000,124348000
40,Intangible Assets,- -,- -,92389000,86008000,107314000
41,Intangible Assets,- -,- -,177514000,195009000,231662000
42,Investments,- -,200471972,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,7125,11984796,4254000,4015000
45,Total Non-Current Assets,- -,200479097,204322796,213397000,249434000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,201777784,204737979,376062000,420517000
48,Accounts Payable,175,86278,2858994,28456000,42521000
49,Short-Term Debt,- -,- -,10875000,14050000,3606000
50,Tax Payable,- -,77877,612713,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,77877,-10262287,27047000,43613000
53,Total Current Liabilities,175,164155,3471707,69553000,89740000
54,Long-Term Debt,- -,- -,158557000,264970000,462193000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,7000000,-151557000,24296000,-131416000
58,Total Non-Current Liabilities,- -,7000000,7000000,289266000,330777000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,175,7164155,10471707,358819000,420517000
62,Preferred Stock,- -,- -,- -,151391000,- -
63,Common Stock,719,189614335,189266929,3000,3000
64,Retained Earnings,-175,287485,-59872,-6203000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,-719,4711809,5059215,-37382000,- -
67,Total Stockholders Equity,-175,194613629,194266272,107809000,-151490000
68,Total Liabilities And Stockholders Equity,- -,201777784,204737979,466628000,269027000
69,Minority Interest,- -,- -,- -,-90566000,151490000
70,Total Liabilities & Equity,- -,201777784,204737979,376062000,420517000
