,https://roic.ai/company/RMNI,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,85300000,118163000,- -,212633000,252790000,281052000,326780000,374430000
2,COGS,45300000,52766000,- -,82898000,95981000,105106000,126211000,136464000
3,Gross Profit,40000000,65397000,- -,129735000,156809000,175946000,200569000,237966000
4,Gross Profit Ratio,0.4689,0.5534,- -,0.6101,0.6203,0.6260,0.6138,0.6355
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,56800000,35541000,- -,36144000,36982000,47364000,52222000,64172000
7,Selling and Marketing Exp.,- -,50330000,- -,66759000,93215000,107280000,114741000,128496000
8,"Selling, General and Administrative Exp.",56800000,85871000,- -,102903000,130197000,154644000,166963000,192668000
9,Other Expenses,108500000,- -,3334903,- -,- -,- -,- -,- -
10,Operating Expenses,165300000,85871000,3334903,102903000,130197000,154644000,166963000,192668000
11,COGS and Expenses,210600000,138637000,3334903,185801000,226178000,259750000,293174000,329132000
12,Interest Income ,- -,11000,485356,198000,253000,257000,24000,55000
13,Interest Expense (Gain),-700000,829000,- -,43357000,32530000,398000,77000,1550000
14,Depreciation and Amortization,- -,- -,- -,1973000,1838000,1913000,8005000,8543000
15,EBITDA,-127500000,-44440000,-3323285,-6648000,-31605000,22554000,25631000,29528000
16,EBITDA ratio,-1.4947,-0.3761,-Infinity,-0.0313,-0.1250,0.0802,0.0784,0.0789
17,Operating Income,-125300000,-20474000,-3334903,21972000,25354000,22136000,17884000,26773000
18,Operating Income ratio,-1.4689,-0.1733,-Infinity,0.1033,0.1003,0.0788,0.0547,0.0715
19,Total Other Income Expenses (Gains),-1500000,-22526000,473738,-73950000,-91327000,-1893000,-335000,-7338000
20,Income Before Tax,-126800000,- -,-2861165,-51978000,-65973000,20243000,17549000,19435000
21,Income Before Tax Ratio,-1.4865,- -,-Infinity,-0.2444,-0.2610,0.0720,0.0537,0.0519
22,Income Tax expense (Gain),1000000,- -,- -,1319000,1992000,2714000,4569000,-55784000
23,Net Income,-127800000,-45269000,-2861165,-53297000,-67965000,17529000,12980000,75219000
24,Net Income ratio,-1.4982,-0.3831,-Infinity,-0.2507,-0.2689,0.0624,0.0397,0.2009
25,EPS,-5.28,-1.87,-0.52,-1.65,-1.28,-0.12,-0.19,0.54
26,EPS Diluted,-5.28,-1.87,-0.52,-1.65,-1.28,-0.12,-0.19,0.51
27,Weighted Average Shares Outstanding,24200000,24222000,5466064,32229000,61384000,66050000,71231000,84318000
28,Weighted Average Shares Outstanding Diluted,24200000,24222000,5466064,32229000,61384000,66050000,71231000,88970000
