,https://roic.ai/company/HCYT,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,207340,7883120,8346860,2150672,1611518
2,COGS,- -,- -,- -,- -,162840,2366570,2052810,766957,704705
3,Gross Profit,- -,- -,- -,- -,44500,5516550,6294050,1383715,906813
4,Gross Profit Ratio,- -,- -,- -,- -,0.2146,0.6998,0.7541,0.6434,0.5627
5,Research and Development Exp.,90000,1020700,870000,1126540,491080,- -,- -,1152065,3285
6,General and Administrative Exp.,580000,- -,4660000,4872622,4721893,8198527,20509740,6945651,2697564
7,Selling and Marketing Exp.,- -,- -,- -,391698,865377,808223,- -,296873,- -
8,"Selling, General and Administrative Exp.",580000,- -,4660000,5264320,5587270,9006750,20509740,7242524,2697564
9,Other Expenses,3333,1916332,946440,11266,27096,-3997476,834295,81470,3491568
10,Operating Expenses,673333,2937032,6476440,6402126,6105446,5009274,21344035,8476059,6192417
11,COGS and Expenses,670000,- -,5540000,12857770,6268280,12075160,38905240,9243016,6897122
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,54299,455304,395332,162200,299331,1462750,-176836
14,Depreciation and Amortization,472,2681,433098,200918,27100,23915,834291,81470,15829
15,EBITDA,-670000,- -,-5106900,-12656850,-6034048,-4208035,-28674258,-4915016,-4960314
16,EBITDA ratio,-Infinity,- -,-Infinity,-Infinity,-29.1022,-0.5338,-3.4353,-2.2853,-3.0780
17,Operating Income,-673333,-2937032,-6468778,-12857771,-6060939,-4726717,-30558385,-7092344,-5285604
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-29.2319,-0.5996,-3.6611,-3.2977,-3.2799
19,Total Other Income Expenses (Gains),3333,- -,888778,-455309,-394371,332567,750505,633108,486297
20,Income Before Tax,-670000,- -,-5580000,-13313080,-6455310,-4394150,-29807880,-6459236,-4799307
21,Income Before Tax Ratio,-Infinity,- -,-Infinity,-Infinity,-31.1339,-0.5574,-3.5711,-3.0034,-2.9781
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-670000,- -,-6520000,-16227480,-6456480,-4394150,-29807880,-6459236,-4799307
24,Net Income ratio,-Infinity,- -,-Infinity,-Infinity,-31.1396,-0.5574,-3.5711,-3.0034,-2.9781
25,EPS,-0.07,-0.37,-0.60,-1.22,-0.34,-0.23,-0.34,-0.06,-0.03
26,EPS Diluted,-0.07,-0.37,-0.60,-1.22,-0.34,-0.23,-0.34,-0.06,-0.03
27,Weighted Average Shares Outstanding,9172480,7897117,10943675,13250789,19142795,23458305,96370562,111491261,142407798
28,Weighted Average Shares Outstanding Diluted,9172480,7897117,10943675,13250789,19142795,23458305,96370562,111491261,142407798
