,https://roic.ai/company/SA,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15832000,11831000,14091000,9410000,9679000,13673000,12370000,13340000,16530000,13379000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15832000,11831000,14091000,9410000,9679000,13673000,12370000,13340000,16530000,13379000
9,Other Expenses,154527,1429007,1093887,1943789,2100791,4747724,6688504,5594818,5049583,5975360,19840000,- -,- -,- -,- -,- -,2056000,7439000,- -,- -,5377000
10,Operating Expenses,154527,1429007,1093887,1943789,2100791,4747724,6688504,5594818,5049583,5975360,19840000,15832000,11831000,14091000,9410000,9679000,15729000,19809000,13340000,16530000,18756000
11,COGS and Expenses,154527,1429007,1093887,1943789,2100791,4747724,6688504,5594818,5049583,5975360,19840000,15832000,11831000,14091000,9410000,9679000,15729000,19809000,13340000,16530000,18756000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,621099,477813,439701,653000,412000,336000,190000,101000,149000,149000,164000,279000,114000,176000
13,Interest Expense (Gain),- -,- -,12187,- -,- -,- -,- -,- -,- -,- -,25000,41000,21000,20000,20000,-28000,32000,144000,267000,815000,94000
14,Depreciation and Amortization,432,1728,2941,4339,7215,2611,24761,40754,39349,35989,31000,13000,- -,- -,- -,- -,- -,- -,36000,36000,85000
15,EBITDA,-154410,-1268098,-751583,-2017913,-2081609,-3923195,-6367900,-25445135,-5074435,-17765669,-19156000,-9668000,-5129000,-6412000,-6402000,-5209000,-10206000,-13493000,-12007000,-14891000,-16343000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-154527,-1435106,-1436038,-1943789,-2100791,-4747724,-6688504,-5594818,-5049583,-5975360,-19840000,-15832000,-11831000,-14091000,-9410000,-9679000,-15729000,-19809000,-13340000,-16530000,- -
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),315,-159181,-339363,3745076,4078872,9954409,526720,20890495,542014,12265999,240000,5947000,4142000,6967000,3044000,5364000,7606000,4836000,1030000,788000,24199000
20,Income Before Tax,- -,- -,- -,1801287,1978081,5206685,-6161784,15295677,-4507569,6290639,-19600000,-9885000,-7689000,-7124000,-6366000,-4315000,-8123000,-14973000,-12310000,-15742000,5525000
21,Income Before Tax Ratio,- -,- -,- -,Infinity,Infinity,Infinity,-Infinity,Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
22,Income Tax expense (Gain),- -,- -,- -,-575000,-820800,-1906685,-620000,5005989,171000,2750912,498000,2624000,5960000,5899000,2700000,2974000,2164000,4967000,-697000,-800000,4630000
23,Net Income,-153990,-1630250,-1338273,-1226287,-1157281,-3300000,-5541784,10289688,-4678569,3539727,-20098000,-12509000,-13649000,-13023000,-9066000,-7289000,-10287000,-19940000,-11613000,-14942000,895000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
25,EPS,-0.01,-0.10,-0.05,-0.04,-0.04,0.10,-0.15,0.28,-0.12,0.09,-0.48,-0.29,-0.30,-0.27,-0.18,-0.14,-0.18,-0.34,-0.19,-0.23,0.01
26,EPS Diluted,-0.01,-0.10,-0.05,-0.04,-0.04,0.10,-0.15,0.27,-0.12,0.09,-0.48,-0.29,-0.30,-0.27,-0.18,-0.14,-0.18,-0.34,-0.19,-0.23,0.01
27,Weighted Average Shares Outstanding,15399000,16302500,26190960,28876451,30682026,33458517,35991034,37327201,37485977,40130184,41950424,43620685,45651239,47655513,49825270,53328938,56428233,59104624,62359725,66369942,76413554
28,Weighted Average Shares Outstanding Diluted,15399000,16302500,26190960,28876451,30682026,33458517,35991034,37867620,37485977,41083647,41950424,43620685,45651239,47655513,49825270,53328938,56428233,59104624,62359725,66369942,77600688
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1231346/000095012007000228/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1231346/000095012008000123/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1231346/000117891309000820/0001178913-09-000820-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380510000809/0001193805-10-000809-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380511000627/0001193805-11-000627-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380512000576/0001193805-12-000576-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380513000719/0001193805-13-000719-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380514000666/0001193805-14-000666-index.html,- -,https://www.sec.gov/Archives/edgar/data/1231346/000119380516002905/0001193805-16-002905-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380517000509/0001193805-17-000509-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380518000434/0001193805-18-000434-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000121390019004979/0001213900-19-004979-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000121390020007870/0001213900-20-007870-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,880098,3078598,157502,293107,5578691,13480147,8098982,285280,1044369,7063000,2284000,1063000,256000,990000,1646000,4049000,2928000,8793000,17528000,11523000
32,Short-Term Investments,- -,2793430,1006000,2790302,6031854,165001,11798188,30986380,9799526,31641229,51613000,49757000,27199000,10934000,18579000,10781000,18917000,19926000,7146000,23731000,32610000
33,Cash and Short-Term Investments,- -,3673528,4084598,2947804,6324961,5743692,25278335,39085362,10084806,32685598,58676000,52041000,28262000,11190000,19569000,12427000,22966000,22854000,15939000,41259000,44133000
34,Net Receivables,- -,208980,133786,278814,543122,904437,420069,237894,465579,3130442,1232000,1911000,4974000,4863000,249000,250000,265000,1196000,2212000,2793000,1979000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,10001,4565,1169800,4028248,206815,- -,- -,- -,- -,- -,- -,154000,229000,316000,387000,357000,423000,1062000,2177000,8047000
37,Total Current Assets,- -,3892509,4222949,4396418,10896331,6854944,25698404,39323256,10550385,35816040,59908000,53952000,33390000,16282000,20134000,13064000,23588000,24473000,19213000,46229000,54159000
38,PP&E,- -,9025544,16671459,21026490,24438948,53318952,62858158,69153904,91298970,128688251,167223000,208098000,235434000,260521000,278798000,322930000,358135000,395304000,425942000,591681000,662279000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,1324400,1551915,12550552,- -,- -,- -,- -,- -,- -,- -,2460000,2361000,2611000,2429000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1225000,1974450,1749450,1749449,1069899,1305171,- -,- -,1077611,1588000,1553000,1553000,1553000,1595000,1991000,1185000,1223000,1856000,7296000,28875000
45,Total Non-Current Assets,- -,10250544,18645909,22775940,26188397,54388851,64163329,70478304,92850885,142316414,168811000,209651000,236987000,262074000,280393000,324921000,359320000,398987000,430159000,601588000,693583000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,14143053,22868858,27172358,37084728,61243795,89861733,109801560,103401270,178132454,228719000,263603000,270377000,278356000,300527000,337985000,382908000,423460000,449372000,647817000,747742000
48,Accounts Payable,- -,73381,392639,176353,293120,435148,678827,3368963,1375746,3725301,2934000,3928000,1890000,3601000,1192000,1785000,1847000,2472000,2252000,2523000,10326000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000,41000,90000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,5326034,34000,43712,- -,97000,1096000,65000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1944751,- -,- -,- -,- -,5326034,34000,43712,5260000,6635000,6591000,1142000,1181000,3936000,4344000,4030000,4392000,7630000,6885000
53,Total Current Liabilities,- -,73381,2337390,176353,293120,435148,678827,8694997,1409746,3769013,8194000,10563000,8481000,4743000,2373000,5721000,6191000,6502000,6690000,10194000,17301000
54,Long-Term Debt,- -,828831,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228000,207000,182000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,586562,- -,137000,78218,1122000,2451000,6792000,12430000,14841000,17396000,18598000,23289000,22426000,19034000,23164000
57,Other Non-Current Liabilities,- -,1000000,1189290,1293450,1406733,1529948,1849475,1998988,2256293,1343069,2041000,2059000,1349000,1349000,1329000,3510000,2481000,7114000,5005000,3664000,4762000
58,Total Non-Current Liabilities,- -,1828831,1189290,1293450,1406733,1529948,2436037,1998988,2393293,1421287,3163000,4510000,8141000,13779000,16170000,20906000,21079000,30403000,27659000,22905000,28108000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274000,248000,272000
61,Total Liabilities,- -,1902212,3526680,1469803,1699853,1965096,3114864,10693985,3803039,5190300,11357000,15073000,16622000,18522000,18543000,26627000,27270000,36905000,34349000,33099000,45409000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239662000,272536000,283544000,295545000,325624000,360650000,405930000,457073000,494857000,704599000,809269000
64,Retained Earnings,- -,-14787272,-16125544,-17351832,-18509113,-21809113,-27350897,-17061209,-21739778,-18200051,-40828000,-53337000,-66986000,-80009000,-89075000,-96364000,-106651000,-124323000,-135936000,-150878000,-149983000
65,Other Comprehensive Income/Loss,- -,884845,808816,824051,959543,14293675,4341793,-105293,172840,846738,-90000,170000,1146000,40000,137000,593000,495000,-2350000,-2066000,-1378000,-1776000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18618000,29161000,36051000,44258000,45298000,46479000,55864000,56155000,58168000,62375000,44823000
67,Total Stockholders Equity,- -,12052197,19153533,25702555,35384875,59278700,86746869,99107575,99598231,172942154,217362000,248530000,253755000,259834000,281984000,311358000,355638000,386555000,415023000,614718000,702333000
68,Total Liabilities And Stockholders Equity,- -,13954409,22680213,27172358,37084728,61243796,89861733,109801560,103401270,178132454,228719000,263603000,270377000,278356000,300527000,337985000,382908000,423460000,449372000,647817000,747742000
69,Minority Interest,- -,188644,188645,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,14143053,22868858,27172358,37084728,61243795,89861733,109801560,103401270,178132454,228719000,263603000,270377000,278356000,300527000,337985000,382908000,423460000,449372000,647817000,747742000
