,https://roic.ai/company/UG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,4500000,4800000,6100000,7100000,4600000,5000000,6300000,7000000,6700000,7000000,8000000,8800000,8800000,9100000,10447374,9583682,9091416,11157423,11123475,12134996,12195672,11888562,12292147,13276984,13723074,14338512,13825764,15416893,13449679,14006244,10776867,12968205,13769401,13599084,10986081,13929629
2,COGS,- -,2800000,3400000,4400000,6700000,4400000,3000000,3600000,4100000,4200000,4200000,4900000,5000000,4400000,4600000,4762755,4654251,4896637,5060616,5072033,5690966,5641663,4854031,5411404,5324257,5250121,5650160,5218959,5610813,5317707,5202158,4882644,5301352,5667295,5657353,4872335,5747931
3,Gross Profit,- -,1700000,1400000,1700000,400000,200000,2000000,2700000,2900000,2500000,2800000,3100000,3800000,4400000,4500000,5684619,4929431,4194779,6096807,6051442,6444030,6554009,7034531,6880743,7952727,8472953,8688352,8606805,9806080,8131972,8804086,5894223,7666853,8102106,7941731,6113746,8181698
4,Gross Profit Ratio,- -,0.3778,0.2917,0.2787,0.0563,0.0435,0.4000,0.4286,0.4143,0.3731,0.4000,0.3875,0.4318,0.5000,0.4945,0.5441,0.5144,0.4614,0.5464,0.5440,0.5310,0.5374,0.5917,0.5598,0.5990,0.6174,0.6059,0.6225,0.6361,0.6046,0.6286,0.5469,0.5912,0.5884,0.5840,0.5565,0.5874
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,648211,651828,646079,399517,397391,451208,478642
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,2000000,2000000,2200000,2100000,2260455,2336441,2303030,2455240,2589034,2592215,2829299,2595977,2698671,2608478,3415139,2552790,2508334,2504526,2640997,1862290,1852833,1785160,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1500000,1800000,1700000,- -,100000,1300000,1800000,1800000,1800000,1900000,2000000,2000000,2200000,2100000,2260455,2336441,2303030,2455240,2589034,2592215,2829299,2595977,2698671,2608478,3415139,2552790,2508334,2504526,2640997,1862290,1852833,1785160,- -,- -,- -,- -
9,Other Expenses,- -,200000,- -,- -,200000,200000,100000,200000,200000,200000,300000,300000,400000,600000,300000,295267,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2122746,2148375,2026368,2035970
