,https://roic.ai/company/NOK,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6551244000,6786107620,8819991180,13261420980,19830085660,30460081920,31245821910,30043332220,29403724930,29245323600,34165004150,41120593990,51138467200,50830456740,40984000000,42446000000,38659000000,30176000000,12709000000,12732000000,12499000000,23614000000,23147000000,22563000000,23315000000,21852000000,22202000000
2,COGS,4541571912,4837692870,5699085210,8258864760,12262374810,19124859880,19821276760,18294165090,17206630100,18119633840,22191844040,27742061660,33807218170,33415740120,27720000000,29629000000,27340000000,21786000000,7364000000,7094000000,7046000000,15158000000,14008000000,14117000000,14989000000,13659000000,13368000000
3,Gross Profit,2009672088,1948414750,3120905970,5002556220,7567710850,11335222040,11424545150,11749167130,12197094830,11125689760,11973160110,13378532330,17331249030,17414716620,13264000000,12817000000,11319000000,8390000000,5345000000,5638000000,5453000000,8456000000,9139000000,8446000000,8326000000,8193000000,8834000000
4,Gross Profit Ratio,0.3068,0.2871,0.3538,0.3772,0.3816,0.3721,0.3656,0.3911,0.4148,0.3804,0.3505,0.3253,0.3389,0.3426,0.3236,0.3020,0.2928,0.2780,0.4206,0.4428,0.4363,0.3581,0.3948,0.3743,0.3571,0.3749,0.3979
5,Research and Development Exp.,- -,606619850,764544690,1144269720,1760002090,2591577160,2990724510,3055221820,3753379810,3730447760,3822191370,3896799670,5655684020,5982335520,5909000000,5863000000,5612000000,4782000000,2619000000,2493000000,2126000000,4904000000,4916000000,4620000000,4411000000,4087000000,4214000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1145000000,1115000000,1121000000,959000000,697000000,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3933000000,3877000000,3791000000,3205000000,974000000,1634000000,1652000000,3819000000,3615000000,3463000000,3101000000,2898000000,2792000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5078000000,4992000000,4912000000,4164000000,1671000000,1634000000,1652000000,3819000000,3615000000,3463000000,3101000000,2898000000,2792000000
9,Other Expenses,1117689021,606619850,939089970,1381309200,1888201000,2951459280,5065462370,3910035910,3441326020,3068748800,3515706840,3994541680,3678320810,6453566560,- -,- -,- -,1747000000,-16000000,- -,-56000000,25000000,-46000000,29000000,-146000000,182000000,-330000000
10,Operating Expenses,1117689021,1213239700,1703634660,2525578920,3648203090,5543036440,8056186880,6965257730,7194705830,6799196560,7337898210,7891341350,9334004830,12435902080,10987000000,10855000000,10524000000,10693000000,4274000000,4127000000,3722000000,8748000000,8485000000,8112000000,7366000000,7167000000,6676000000
11,COGS and Expenses,5659260933,6050932570,7402719870,10784443680,15910577900,24667896320,27877463640,25259422820,24401335930,24918830400,29529742250,35633403010,43141223000,45851642200,38707000000,40484000000,37864000000,32479000000,11638000000,11221000000,10768000000,23906000000,22493000000,22229000000,22355000000,20826000000,20044000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000000,135000000,73000000,37000000,113000000,60000000,76000000,73000000,59000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000000,285000000,102000000,268000000,323000000,391000000,139000000,317000000,509000000,282000000,308000000,235000000,- -
14,Depreciation and Amortization,- -,385665600,462726810,507332700,666833090,1011503000,1432985250,1312239690,1136256930,867511680,711753330,712228600,1207817070,1620575040,1784000000,1771000000,1562000000,1326000000,728000000,297000000,320000000,1594000000,1591000000,1455000000,1660000000,1132000000,1095000000
15,EBITDA,534160359,1132089230,1892725380,2982604680,4444228880,6749386860,4830565180,6181916390,6418144490,5506043520,5605374090,6375203660,9948544350,6701393860,3642000000,4349000000,790000000,-367000000,638000000,2742000000,3271000000,688000000,1533000000,1586000000,2113000000,2107000000,2990000000
16,EBITDA ratio,0.0815,0.1668,0.2146,0.2249,0.2241,0.2216,0.1546,0.2058,0.2183,0.1883,0.1641,0.1550,0.1945,0.1318,0.0889,0.1025,0.0204,-0.0122,0.0502,0.2154,0.2617,0.0291,0.0662,0.0703,0.0906,0.0964,0.1347
17,Operating Income,891983067,735978520,1417271310,2476977300,3919507760,5792185600,3368358270,4783909400,5002389000,4326493200,4635261900,5487948670,7997244200,4978096200,1197000000,2070000000,-1073000000,-2303000000,519000000,170000000,1688000000,-1100000000,16000000,-59000000,485000000,885000000,2158000000
18,Operating Income ratio,0.1362,0.1085,0.1607,0.1868,0.1977,0.1902,0.1078,0.1592,0.1701,0.1479,0.1357,0.1335,0.1564,0.0979,0.0292,0.0488,-0.0278,-0.0763,0.0408,0.0134,0.1351,-0.0466,0.0007,-0.0026,0.0208,0.0405,0.0972
19,Total Other Income Expenses (Gains),-27686805,10445110,-30909060,-71623440,-142111970,-54301740,29221660,85767300,279498560,379167520,331813830,234883900,283950180,3591700,-235000000,-284000000,-125000000,-341000000,-276000000,-407000000,-148000000,-269000000,-526000000,-301000000,-329000000,-142000000,-232000000
20,Income Before Tax,864296262,746423630,1386362250,2405353860,3777395790,5737883860,3397579930,4869676700,5281887560,4705660720,4967075730,5722832570,8281194380,4981687900,962000000,1786000000,-1198000000,-2644000000,243000000,-237000000,1540000000,-1369000000,-510000000,-360000000,156000000,743000000,1926000000
21,Income Before Tax Ratio,0.1319,0.1100,0.1572,0.1814,0.1905,0.1884,0.1087,0.1621,0.1796,0.1609,0.1454,0.1392,0.1619,0.0980,0.0235,0.0421,-0.0310,-0.0876,0.0191,-0.0186,0.1232,-0.0580,-0.0220,-0.0160,0.0067,0.0340,0.0867
22,Income Tax expense (Gain),136874205,147838480,380908710,733287600,1192548000,1788763200,1193592420,1485680230,1696048080,1434049920,1279973960,1357022790,1524689010,1083256720,702000000,443000000,290000000,1145000000,202000000,-1408000000,346000000,-457000000,927000000,189000000,138000000,3256000000,272000000
23,Net Income,397286154,598585150,1049089860,1741984380,2584847790,3949120660,2203987510,3383996470,3585839480,3204481920,3613646800,4305952270,7216038270,3997562100,891000000,1850000000,-1164000000,-3106000000,-615000000,3462000000,2466000000,-766000000,-1494000000,-340000000,7000000,-2516000000,1623000000
24,Net Income ratio,0.0606,0.0882,0.1189,0.1314,0.1303,0.1296,0.0705,0.1126,0.1220,0.1096,0.1058,0.1047,0.1411,0.0786,0.0217,0.0436,-0.0301,-0.1029,-0.0484,0.2719,0.1973,-0.0324,-0.0645,-0.0151,0.0003,-0.1151,0.0731
25,EPS,0.01,0.12,0.01,0.39,0.56,0.84,0.47,0.71,0.75,0.70,0.83,1.06,1.86,1.07,0.24,0.50,-0.31,-0.84,-0.17,0.94,0.67,-0.13,-0.26,-0.06,0.00,-0.43,0.29
26,EPS Diluted,0.01,0.12,0.01,0.37,0.54,0.82,0.46,0.71,0.75,0.70,0.83,1.05,1.84,1.05,0.24,0.50,-0.31,-0.84,-0.17,0.85,0.63,-0.13,-0.26,-0.06,0.00,-0.43,0.29
27,Weighted Average Shares Outstanding,4792800000,72591616000,72520192000,4518850524,4593760000,4673162000,4702852000,4751110000,4761121000,4593196000,4365547000,4062833000,3885408000,3743622000,3705116000,3708816000,3709947000,3710845000,3712079000,3698723000,3670934000,5732371000,5651814000,5588020000,5599912000,5612418000,5612418000
28,Weighted Average Shares Outstanding Diluted,4792800000,72591616000,72520192000,4670489587,4743184000,4792980000,4787219000,4788042000,4761160000,4600337000,4371239000,4086529000,3932008000,3780363000,3721072000,3713250000,3709947000,3710845000,3712079000,4131602000,3949312000,5741117000,5651814000,5588020000,5626375000,5612418000,5612418000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,1497115870,1142609170,1089553360,1563662120,1479010880,2128254610,5561388280,5926000000,7592000000,9236000000,8952000000,7633000000,5170000000,6995000000,7497000000,7369000000,6261000000,5910000000,6940000000,6691000000
