,https://roic.ai/company/CXDC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,96050,96751,63114,71291,75765428,135745329,249822934,381624567,599818968,1050816364,1110685692,999192894,1201678898,1290447748,1274833282,1448204826,1311901681
2,COGS,164669,106729,96063,63570,58431799,105160568,188294026,285801786,456011715,827419861,888227868,817811445,954723617,1053782105,1055220493,1228809155,1168182300
3,Gross Profit,-68619,-9978,-32949,7721,17333629,30584761,61528908,95822781,143807253,223396503,222457824,181381449,246955281,236665643,219612789,219395671,143719381
4,Gross Profit Ratio,-0.7144,-0.1031,-0.5221,0.1083,0.2288,0.2253,0.2463,0.2511,0.2398,0.2126,0.2003,0.1815,0.2055,0.1834,0.1723,0.1515,0.1096
5,Research and Development Exp.,- -,- -,- -,- -,778994,1329656,7382507,11640243,21586074,21258549,29434680,21061345,47989665,36838261,60576574,50329809,-22494445
6,General and Administrative Exp.,7851,71284,147192,97884,1747648,11220406,19960153,7066480,10069273,16284528,20564820,23816148,29952304,38495704,36985700,35370445,-32459606
7,Selling and Marketing Exp.,- -,- -,- -,- -,322650,400731,470727,254767,273289,243975,728232,1458658,1356843,3176928,10068971,1465697,-1217768
8,"Selling, General and Administrative Exp.",7851,71284,147192,97884,2070298,11621137,20430880,7321247,10342562,16528503,21293052,25274806,31309147,41672632,47054671,36836142,-33677374
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,-114385,-924216,-2723495,-2991493,-3914360,-11619037,-6124393,52677770,- -
10,Operating Expenses,7851,71284,147192,97884,2849292,12950793,27813387,18961490,31814251,36862836,48004237,43344658,75384452,66891856,101506852,139843721,-56171819
11,COGS and Expenses,172520,178013,243255,161454,61281091,118111361,216107413,304763276,487825966,864282697,936232105,861156103,1030108069,1120673961,1156727345,1368652876,1112010481
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,689916,4601336,6788243,10984980,8221532,5847274,5290705,3977116,1377040,- -
13,Interest Expense (Gain),927,108,2983,23185,687659,1418395,1290440,1810566,4627014,15250780,41518878,42704097,41370432,45370872,51031735,67242641,-71177250
14,Depreciation and Amortization,42470,30458,33014,9342,967105,2009533,3327755,5142889,10705037,21420723,22916893,27540212,34244842,43055976,46282307,60663133,62536351
15,EBITDA,-34263,-58934,-147127,-77059,15377586,7518443,54762137,85581971,130715991,217207468,203478417,172214563,194650843,210572961,173340576,144997950,-196101414
16,EBITDA ratio,-0.3567,-0.6091,-2.3311,-1.0809,0.2030,0.0554,0.2192,0.2243,0.2179,0.2067,0.1832,0.1724,0.1620,0.1632,0.1360,0.1001,-0.1495
17,Operating Income,-76470,-81262,-180141,-90163,14484337,17633968,33715521,76861291,111878617,185609451,171730092,135045298,167656469,158154750,111981544,69418595,-102041610
18,Operating Income ratio,-0.7961,-0.8399,-2.8542,-1.2647,0.1912,0.1299,0.1350,0.2014,0.1865,0.1766,0.1546,0.1352,0.1395,0.1226,0.0878,0.0479,-0.0778
19,Total Other Income Expenses (Gains),-263,-8130,- -,-19423,-761515,-13543453,16428421,1767225,3505323,-5073486,-32687446,-33075044,-48620900,-36008637,-35955010,-52326419,-73899645
20,Income Before Tax,- -,- -,- -,-109586,13722822,4090515,50143942,78628516,115383940,180535965,139042646,101970254,119035569,122146113,76026534,17092176,-175941255
21,Income Before Tax Ratio,- -,- -,- -,-1.5372,0.1811,0.0301,0.2007,0.2060,0.1924,0.1718,0.1252,0.1021,0.0991,0.0947,0.0596,0.0118,-0.1341
22,Income Tax expense (Gain),- -,- -,- -,735,35332,67249,21307153,18109897,29516193,46697120,18266277,18237975,17422819,90524379,7713113,14036698,-5759630
23,Net Income,-77660,-89500,-183124,-110321,13687490,4023266,28836789,60518619,85867747,133838845,120776369,83732279,101612750,31621734,68313421,3055478,-181700885
24,Net Income ratio,-0.8085,-0.9251,-2.9015,-1.5475,0.1807,0.0296,0.1154,0.1586,0.1432,0.1274,0.1087,0.0838,0.0846,0.0245,0.0536,0.0021,-0.1385
