,https://roic.ai/company/ABVC,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,10000,13670,57494,- -,- -,41668,25092,- -,14860,3190,5714,7787,- -,3360,- -,- -,- -,701719,483045,355797
2,COGS,- -,10000,25757,32390,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,521,32,- -,- -,20137,18716,5086
3,Gross Profit,- -,- -,-12087,25104,- -,- -,41668,25092,- -,14860,3190,5714,7787,- -,2839,-32,- -,- -,681582,464329,350711
4,Gross Profit Ratio,- -,- -,-0.8842,0.4366,- -,- -,1.0000,1.0000,- -,1.0000,1.0000,1.0000,1.0000,- -,0.8449,-Infinity,- -,- -,0.9713,0.9613,0.9857
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3171665,669668,1048553,549658,1003805
6,General and Administrative Exp.,- -,20000,- -,- -,- -,- -,- -,- -,4910474,1904333,1891053,- -,- -,- -,- -,4497263,967085,723948,3091807,8420447,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4497263,1735931,695148,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,20000,11717,23097,17573,26825,4456966,5379804,4910474,1904333,1891053,- -,- -,- -,35120,8994526,2703016,1419096,3091807,8420447,5746119
9,Other Expenses,- -,-0,- -,- -,- -,- -,- -,- -,- -,-206983,- -,1148760,185046,70,- -,-4497263,-1735931,-695148,- -,- -,5306755
10,Operating Expenses,- -,20000,11717,23097,17573,26825,4456966,5379804,4910474,1697350,1891053,1148760,185046,70,35120,4497263,4138750,1393616,4140360,8970105,12056679
11,COGS and Expenses,- -,30000,37474,55487,17573,26825,4456966,5379804,4910474,1697350,1891053,1148760,185046,70,35641,4497295,4138750,1393616,4160497,8988821,12061765
12,Interest Income ,- -,- -,- -,568,1213,1426,20940,5784,142,- -,- -,- -,- -,- -,- -,361,180,93,23344,71045,43196
13,Interest Expense (Gain),- -,- -,1559,- -,- -,- -,256512,1421394,271860,218570,204917,87698,49093,- -,- -,10170,103460,155930,482014,405032,227210
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,12757,37486,45075,45248,34179,33049,23859,- -,- -,- -,43996,- -,55086,37142,11993
15,EBITDA,- -,-20000,-23804,2539,-17573,-26825,-4381601,-5311442,-4865399,-1637242,-979555,-881195,-153400,-70,-32281,-4496934,-4138570,-1393523,-3181717,-9569342,-10971624
16,EBITDA ratio,- -,-2.0000,-1.7413,0.0442,-Infinity,-Infinity,-105.1551,-211.6787,-Infinity,-110.1778,-307.0705,-154.2168,-19.6995,-Infinity,-9.6074,-Infinity,-Infinity,-Infinity,-4.5342,-19.8105,-30.8368
17,Operating Income,- -,-20000,-23804,2007,-17573,-26825,-4415298,-5354712,-4910474,-1682490,-1887863,-1143046,-177259,-70,-32281,-4497295,-4138750,-1393616,-3458778,-8505776,-11705968
18,Operating Income ratio,- -,-2.0000,-1.7413,0.0349,-Infinity,-Infinity,-105.9638,-213.4032,-Infinity,-113.2227,-591.8066,-200.0431,-22.7635,-Infinity,-9.6074,-Infinity,-Infinity,-Infinity,-4.9290,-17.6087,-32.9007
19,Total Other Income Expenses (Gains),- -,- -,-1559,532,1213,1426,- -,- -,- -,- -,874129,141104,-49093,- -,- -,-9668,-103280,-2705837,-551503,-2308160,495141
20,Income Before Tax,- -,-20000,-25363,2539,-16360,-25399,- -,- -,- -,- -,- -,-1001942,-226352,-70,-32281,-4506963,-4242030,-4099453,-4010281,-10813936,-11210827
21,Income Before Tax Ratio,- -,-2.0000,-1.8554,0.0442,-Infinity,-Infinity,- -,- -,- -,- -,- -,-175.3486,-29.0679,-Infinity,-9.6074,-Infinity,-Infinity,-Infinity,-5.7149,-22.3870,-31.5091
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67637,- -,- -,- -,836,830,1850,-77041,-220352,825024
23,Net Income,- -,-20000,-25363,2539,-26670,-25399,-4650870,-6770322,-5182192,-1901060,-1218651,-1069579,-226352,-70,-32281,-4507799,-4242860,-4101303,-3641776,-9791164,-12035851
