,https://roic.ai/company/FRC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,-200000,-1100000,-2100000,-3700000,-3800000,-1300000,-2900000,-2200000,600000,-4600000,-10500000,-700000,5900000,7400000,20542000,27795000,28400000,51800000,71176000,66944000,76913000,364603000,466300000,594100000,1057627000,1002007000,1163454000,1314909000,1468525000,1649115000,1808988000,2168559000,2553147000,2967465000,3253989000,3853318000,4960000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,406400000,394300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59900000,199800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1285,0.3363,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,3300000,8900000,5200000,5400000,7200000,7500000,10100000,13200000,16300000,28858000,43006000,51256000,65106000,75260000,87463000,113068000,145790000,443600000,573600000,256222000,318588000,310688000,375744000,430198000,490341000,649716000,824880000,1006484000,1188836000,1321224000,1560247000,2103000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,1100000,1300000,1000000,1300000,1900000,1500000,2200000,2400000,3200000,5487000,4473000,- -,- -,- -,- -,- -,18213000,- -,- -,17335000,18198000,28812000,25120000,25459000,25703000,25562000,32783000,48398000,60463000,65961000,43135000,64000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,4400000,10200000,6200000,6700000,9100000,9000000,12300000,15600000,19500000,34345000,47479000,51256000,65106000,75260000,87463000,113068000,164003000,443600000,573600000,273557000,336786000,339500000,400864000,455657000,516044000,675278000,857663000,1054882000,1249299000,1387185000,1603382000,2167000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,406400000,394300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,850000000,967900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1256400000,1362200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,66300000,82600000,95600000,98300000,109400000,139600000,159700000,175900000,195500000,228213000,289620000,281031000,387209000,249983000,289812000,423423000,598324000,- -,- -,1215388000,1055645000,1182957000,1287206000,1356018000,1483009000,1664092000,1980873000,2451618000,3031606000,3579479000,3852673000,4385000000
13,Interest Expense (Gain),200000,1100000,2100000,3700000,3800000,50500000,55900000,59000000,56900000,71500000,104900000,113000000,120600000,131100000,147082000,188609000,155978000,102471000,85210000,87758000,169773000,307556000,406400000,394300000,258443000,149536000,117218000,114186000,131843000,152249000,147429000,163711000,300155000,530498000,815312000,590121000,271000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12797000,12850000,15548000,14119000,17494000,26546000,46200000,67600000,-42636000,-16025000,-744000,43612000,63662000,61445000,70329000,85370000,91954000,114363000,137639000,166079000,184000000
15,EBITDA,- -,2000000,3300000,5100000,5600000,56000000,68400000,78800000,78300000,83700000,106800000,134300000,150100000,166300000,187878000,231498000,214300000,159673000,167225000,174874000,280132000,427577000,468500000,477600000,816766000,598365000,666601000,736734000,859064000,883577000,908426000,1076677000,1304311000,1696603000,2086187000,2090165000,2283000000
16,EBITDA ratio,- -,-1.8182,-1.5714,-1.3784,-1.4737,-43.0769,-23.5862,-35.8182,130.5000,-18.1957,-10.1714,-191.8571,25.4407,22.4730,9.1460,8.3288,7.5458,3.0825,2.3495,2.6122,3.6422,1.1727,1.0047,0.8039,0.7723,0.5972,0.5730,0.5603,0.5850,0.5358,0.5022,0.4965,0.5109,0.5717,0.6411,0.5424,0.4603
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22800000,20500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0489,0.0345,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96473000,- -,- -,157773000,- -,236568000,290768000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,900000,1200000,1400000,1800000,5500000,12500000,19800000,21400000,12200000,1900000,21300000,29500000,35200000,40796000,43012000,49183000,49721000,72950000,72997000,92865000,106691000,22800000,20500000,605778000,469646000,554732000,580474000,663559000,669883000,690668000,827596000,912202000,1051742000,1133236000,1333965000,1828000000
21,Income Before Tax Ratio,- -,-0.8182,-0.5714,-0.3784,-0.4737,-4.2308,-4.3103,-9.0000,35.6667,-2.6522,-0.1810,-30.4286,5.0000,4.7568,1.9860,1.5475,1.7318,0.9599,1.0249,1.0904,1.2074,0.2926,0.0489,0.0345,0.5728,0.4687,0.4768,0.4415,0.4519,0.4062,0.3818,0.3816,0.3573,0.3544,0.3483,0.3462,0.3685
22,Income Tax expense (Gain),- -,400000,500000,400000,700000,1700000,5000000,8000000,9000000,4900000,700000,8800000,12300000,14800000,18574000,20249000,20463000,17951000,29417000,26498000,32038000,24303000,2200000,5700000,254316000,193645000,198039000,176464000,201489000,182877000,168523000,154168000,154542000,197914000,202907000,269814000,350000000
