,https://roic.ai/company/YSG,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,635316000,3031167000,5233170000,5839973000
2,COGS,232073000,1103509000,1869145000,1941177000
3,Gross Profit,403243000,1927658000,3364025000,3898796000
4,Gross Profit Ratio,0.6347,0.6359,0.6428,0.6676
5,Research and Development Exp.,2641000,23179000,66512000,142086000
6,General and Administrative Exp.,43315000,209326000,2142973000,941347000
7,Selling and Marketing Exp.,309331000,1251270000,3412159000,4005589000
8,"Selling, General and Administrative Exp.",352646000,1460596000,5555132000,4946936000
9,Other Expenses,81270000,300122000,425052000,434018000
10,Operating Expenses,436557000,1783897000,6046696000,5523040000
11,COGS and Expenses,668630000,2887406000,7915841000,7464217000
12,Interest Income ,- -,- -,14313000,45658000
13,Interest Expense (Gain),214000,- -,- -,- -
14,Depreciation and Amortization,4117000,67669000,263870000,- -
15,EBITDA,-31783000,215004000,-2417575000,-1541655000
16,EBITDA ratio,-0.0500,0.0709,-0.4620,-0.2640
17,Operating Income,-33314000,143761000,-2682671000,-1624244000
18,Operating Income ratio,-0.0524,0.0474,-0.5126,-0.2781
19,Total Other Income Expenses (Gains),-2800000,3574000,1226000,76285000
20,Income Before Tax,-36114000,147335000,-2681445000,-1547959000
21,Income Before Tax Ratio,-0.0568,0.0486,-0.5124,-0.2651
22,Income Tax expense (Gain),4010000,71976000,6970000,-921000
23,Net Income,-40124000,75359000,-2688415000,-1540734000
24,Net Income ratio,-0.0632,0.0249,-0.5137,-0.2638
25,EPS,-0.10,0.20,-19.12,-7.39
26,EPS Diluted,-0.10,0.16,-19.12,-7.39
27,Weighted Average Shares Outstanding,483408502,416407330,208428532,208428532
28,Weighted Average Shares Outstanding Diluted,483408502,432720026,208428532,208428532
29,SEC Link,- -,- -,- -,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,25062000,676579000,5727029000,3138008000
32,Short-Term Investments,- -,10000000,- -,- -
33,Cash and Short-Term Investments,25062000,686579000,5727029000,3138008000
34,Net Receivables,155843000,292983000,526170000,355897000
35,Inventory,87494000,504049000,616808000,695761000
36,Other Current Assets,19559000,88214000,218521000,366191000
37,Total Current Assets,287958000,1571825000,7088528000,4555857000
38,PP&E,23427000,372756000,822007000,668280000
39,Goodwill,- -,20596000,20596000,869421000
40,Intangible Assets,1114000,10028000,189090000,745851000
41,Intangible Assets,1114000,30624000,209686000,1615272000
42,Investments,3000000,- -,34862000,350380000
43,Tax Assets,646000,4233000,597000,2000000
44,Other Non-Current Assets,12076000,30879000,152058000,80220000
45,Total Non-Current Assets,40263000,438492000,1219210000,2716152000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,328221000,2010317000,8307738000,7272009000
48,Accounts Payable,90222000,400542000,466705000,240815000
49,Short-Term Debt,11229000,93915000,215300000,214843000
50,Tax Payable,19278000,136684000,101726000,16747000
51,Deferred Revenue,1000,3177000,6228000,20680000
52,Other Current Liabilities,85813000,265709000,442444000,401245000
53,Total Current Liabilities,187265000,763343000,1130677000,877583000
54,Long-Term Debt,11544000,171045000,311910000,206303000
55,Deferred Revenue,- -,- -,- -,56180000
56,Deferred Tax Liabilities,- -,1742000,1557000,124450000
57,Other Non-Current Liabilities,- -,- -,- -,- -
58,Total Non-Current Liabilities,11544000,172787000,313467000,386933000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,19873000,264960000,527210000,421146000
61,Total Liabilities,198809000,936130000,1444144000,1264516000
62,Preferred Stock,187887000,1129987000,- -,- -
63,Common Stock,47000,56000,173000,173000
64,Retained Earnings,-59982000,-89590000,-4240134000,-5782169000
65,Other Comprehensive Income/Loss,610000,33754000,-77214000,-234428000
66,Other Total Stockholders Equity,850000,-20000,11165685000,11675612000
67,Total Stockholders Equity,129412000,1074187000,6848510000,5659188000
68,Total Liabilities And Stockholders Equity,328221000,2010317000,8292654000,6923704000
69,Minority Interest,- -,- -,15084000,348305000
70,Total Liabilities & Equity,328221000,2010317000,8307738000,7272009000
71,SEC Link,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-40124000,75359000,-2688415000,- -
74,Depreciation and Amortization,4117000,67669000,263870000,- -
75,Deferred Income Tax,2292000,-3695000,3451000,- -
76,Stock Based Compensation,14031000,74995000,1900588000,- -
77,Change in Working Capital,-81206000,-222272000,-502393000,- -
78,Accounts Receivable,-59929000,-200554000,-154015000,- -
79,Inventory,-77791000,-411111000,-134255000,- -
80,Accounts Payable,81204000,310320000,66163000,- -
81,Other Working Capital,-12355000,-15627000,-22701000,- -
82,Other Non-Cash Items,4683000,1765000,39531000,- -
83,Cash Provided by Operating Activities,-96207000,-6179000,-983368000,- -
84,CAPEX,-4877000,-108760000,-384579000,- -
