,https://roic.ai/company/EPRT,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,54498000,96223000,139357000,164009000,230234000
2,COGS,- -,1547000,1980000,3070000,3881000,5762000
3,Gross Profit,- -,52951000,94243000,136287000,160128000,224472000
4,Gross Profit Ratio,- -,0.9716,0.9794,0.9780,0.9763,0.9750
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,8936000,13762000,21745000,24444000,24329000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,8936000,13762000,21745000,24444000,24329000
9,Other Expenses,- -,19516000,31352000,42745000,60276000,68942000
10,Operating Expenses,- -,28452000,45114000,64490000,84720000,93271000
11,COGS and Expenses,- -,29999000,47094000,67560000,88601000,99033000
12,Interest Income ,- -,- -,930000,794000,485000,94000
13,Interest Expense (Gain),- -,22574000,30192000,27037000,29651000,33614000
14,Depreciation and Amortization,- -,19655000,31511000,43027000,59406000,69146000
15,EBITDA,- -,61546000,77511000,112211000,131542000,198712000
16,EBITDA ratio,- -,1.1293,0.8055,0.8052,0.8020,0.8631
17,Operating Income,- -,- -,- -,52774000,72830000,134419000
18,Operating Income ratio,- -,- -,- -,0.3787,0.4441,0.5838
19,Total Other Income Expenses (Gains),- -,-18203000,-28320000,-4446000,-30090000,-37981000
20,Income Before Tax,- -,6296000,20809000,48328000,42740000,96438000
21,Income Before Tax Ratio,- -,0.1155,0.2163,0.3468,0.2606,0.4189
22,Income Tax expense (Gain),- -,- -,195000,303000,212000,227000
23,Net Income,- -,19317000,15613000,41844000,42273000,95725000
24,Net Income ratio,- -,0.3545,0.1623,0.3003,0.2577,0.4158
25,EPS,- -,0.47,0.36,0.65,0.44,0.81
26,EPS Diluted,- -,0.47,0.36,0.63,0.44,0.80
27,Weighted Average Shares Outstanding,- -,40976901,43749092,64104058,95311035,119230645
28,Weighted Average Shares Outstanding Diluted,- -,40976901,43749092,75309896,96197705,120298680
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1728951/000156459019005137/0001564590-19-005137-index.htm,https://www.sec.gov/Archives/edgar/data/1728951/000156459020007962/0001564590-20-007962-index.htm,https://www.sec.gov/Archives/edgar/data/1728951/000172895121000015/0001728951-21-000015-index.htm,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,1825000,7250000,4236000,8304000,26602000,59758000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1825000,7250000,4236000,8304000,26602000,59758000
34,Net Receivables,1244000,5498000,14255000,25926000,63236000,272915000
35,Inventory,- -,4173000,- -,1211000,- -,- -
36,Other Current Assets,10673000,11052000,19715000,27763000,6388000,- -
37,Total Current Assets,13742000,27973000,38206000,63204000,96226000,332673000
38,PP&E,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,55858000,62453000,66421000,78922000,80271000,87959000
41,Intangible Assets,55858000,62453000,66421000,78922000,80271000,87959000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,396688000,851794000,1276273000,1833321000,2312305000,2878163000
45,Total Non-Current Assets,452546000,914247000,1342694000,1912243000,2392576000,2966122000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,466288000,942220000,1380900000,1975447000,2488802000,3298795000
48,Accounts Payable,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2430000,6851000,18127000,36848000,42495000,64755000
53,Total Current Liabilities,2430000,6851000,18127000,36848000,42495000,64755000
54,Long-Term Debt,272823000,741646000,540116000,726922000,815279000,1165706000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,16385000,12321000,11616000,9564000,49080000,24531000
58,Total Non-Current Liabilities,289208000,753967000,551732000,736486000,864359000,1190237000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,16385000,12321000,11616000,9564000,- -,- -
61,Total Liabilities,291638000,760818000,569859000,773334000,906854000,1254992000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,431000,838000,1064000,1246000
64,Retained Earnings,- -,- -,-7659000,-27482000,-77665000,-100982000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1949000,-37181000,-14786000
66,Other Total Stockholders Equity,174650000,181402000,569407000,1223043000,1688540000,2151088000
67,Total Stockholders Equity,174650000,181402000,562179000,1194450000,1574758000,2036566000
68,Total Liabilities And Stockholders Equity,466288000,942220000,1132038000,1967784000,2481612000,3291558000
69,Minority Interest,- -,- -,248862000,7663000,7190000,7237000
70,Total Liabilities & Equity,466288000,942220000,1380900000,1975447000,2488802000,3298795000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1728951/000156459019005137/0001564590-19-005137-index.htm,https://www.sec.gov/Archives/edgar/data/1728951/000156459020007962/0001564590-20-007962-index.htm,https://www.sec.gov/Archives/edgar/data/1728951/000172895121000015/0001728951-21-000015-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,19317000,15613000,41844000,42273000,95725000
74,Depreciation and Amortization,- -,19655000,31511000,43027000,59406000,69146000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,841000,2440000,6238000,6085000,5683000
77,Change in Working Capital,- -,1820000,-1043000,6277000,27375000,16649000
78,Accounts Receivable,- -,- -,- -,- -,-12058000,2216000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,21122000,20079000,26356000,53731000,- -
82,Other Non-Cash Items,- -,-19159000,-2604000,-8818000,-35751000,-19810000
83,Cash Provided by Operating Activities,- -,22474000,45917000,88568000,99388000,167393000
84,CAPEX,- -,-48000,-505321000,-587353000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-275000,-519000,-2133000,- -,- -
87,Sales/Maturities of Investments,- -,53626000,60446000,66765000,82889000,58381000
88,Other Investing Activites,- -,-517734000,-16469000,-85118000,-628398000,-888065000
89,Cash Used for Investing Activites,- -,-464383000,-461863000,-607839000,-545509000,-829684000
90,Debt Repayment,- -,-318597000,-391816000,-726123000,-180909000,-442781000
91,Common Stock Issued,- -,- -,589182000,411635000,461006000,458267000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-101222000,-14068000,-63903000,-86475000,-112334000
94,Other Financing Activites,- -,869236000,229457000,902742000,264170000,785907000
95,Cash Used/Provided by Financing Activities,- -,449417000,412755000,524351000,457792000,689059000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,7508000,-3191000,5080000,11671000,26768000
