,https://roic.ai/company/LWLG,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,3200,- -,- -,- -,2500,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,3200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,813725,1986363,1305333,2845956,1306642,1709171,- -,- -,- -,2849620,2825100,2474690,3519130,3794570,4319300,4529498000,12476040000
6,General and Administrative Exp.,- -,- -,- -,1396397,1414242,2006900,- -,- -,- -,1546060,2020580,1660890,2004410,1806450,2000110,2070476000,4520403000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",894332,671096,2923415,1396397,1414242,2006900,1633786,1936417,1632387,1546064,2020582,1660889,2004409,1806451,2000112,2070476,4520403000
9,Other Expenses,- -,- -,- -,- -,- -,- -,1682557,2489747,2068050,- -,-1,-1,-1,-5,-5,2068405524,- -
10,Operating Expenses,1708057,2657459,4228748,4242353,2720884,3716071,3316343,4426164,3700437,4395684,4845681,4135578,5523538,5601016,6319407,6599974000,16996443000
11,COGS and Expenses,1708057,2657459,4228748,4242353,2720884,3716071,- -,- -,- -,4395680,4845680,4135580,5523540,5601020,6319410,6599974000,16996443000
12,Interest Income ,6994,243,10548,11409,493,196,375,548,267,249,249,255,250,250,232,776,13826000
13,Interest Expense (Gain),20702,4017,5886,2911,1480,557,166654,130922,212156,16862,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,10222,330706,1566804,15757,16972,30166,35394,79217,126773,151183,179907,195610,325946,465795,698694,784419,878520000
15,EBITDA,-1697835,-2391467,-2662581,-4119844,-2703912,-3682509,- -,- -,- -,-4241755,-4665770,-3939970,-5197590,-5135220,-5620720,-6599189581,-16117923000
