,https://roic.ai/company/SBEV,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,475254,605905,897341,1012291,895346,1309178,1017833,2975939,11316002
2,COGS,236270,256060,426980,484908,440417,605273,508874,2251816,8734413
3,Gross Profit,238984,349845,470361,527383,454929,703905,508959,724123,2581589
4,Gross Profit Ratio,0.5029,0.5774,0.5242,0.5210,0.5081,0.5377,0.5000,0.2433,0.2281
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,236454,349630,421699,521624,540218,574405,915597,12272445,7088874
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,146579,787827
8,"Selling, General and Administrative Exp.",236454,349630,421699,521624,540218,574405,915597,12419024,7876701
9,Other Expenses,1912,28093,29763,55760,71917,62825,63758,5606335,23787810
10,Operating Expenses,238366,377723,451462,577384,612135,637230,979355,18025359,31664511
11,COGS and Expenses,474636,633783,878442,1062292,1052552,1242503,1488229,20277175,40398924
12,Interest Income ,- -,- -,- -,- -,- -,- -,501,8,643
13,Interest Expense (Gain),3860,3923,5368,4671,4463,5715,8376,1980871,442807
14,Depreciation and Amortization,1912,28093,29763,55760,71917,62825,63758,194828,111567
15,EBITDA,2530,1927,54284,11585,-71154,136746,-405100,-26498857,-28496448
16,EBITDA ratio,0.0053,0.0032,0.0605,0.0114,-0.0795,0.1045,-0.3980,-8.9044,-2.5182
17,Operating Income,618,-27878,18899,-50001,-157206,66675,-470396,-17301236,-29082922
18,Operating Income ratio,0.0013,-0.0460,0.0211,-0.0494,-0.1756,0.0509,-0.4622,-5.8137,-2.5701
19,Total Other Income Expenses (Gains),-3860,-2211,254,1155,9672,1531,-6838,-1926467,32100
20,Income Before Tax,-3242,-30089,19153,-48846,-147534,68206,-477234,-19227703,-29050822
21,Income Before Tax Ratio,-0.0068,-0.0497,0.0213,-0.0483,-0.1648,0.0521,-0.4689,-6.4611,-2.5672
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3242,-30089,19153,-48846,-147534,68206,-477234,-28674556,-29050822
24,Net Income ratio,-0.0068,-0.0497,0.0213,-0.0483,-0.1648,0.0521,-0.4689,-9.6355,-2.5672
25,EPS,-0.00,-0.01,0.01,-0.01,-0.04,0.03,-0.12,-1.56,-1.57
26,EPS Diluted,-0.00,-0.01,0.01,-0.01,-0.04,0.03,-0.12,-1.56,-1.57
27,Weighted Average Shares Outstanding,3759062,3759062,3759062,3759062,3759062,3795227,3878507,18538406,18538406
28,Weighted Average Shares Outstanding Diluted,3759062,3759062,3759062,3759062,3759062,3795227,3978507,18538406,18538406
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1553788/000107997316001203/0001079973-16-001203-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000107997317000197/0001079973-17-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000107997318000224/0001079973-18-000224-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000107997319000192/0001079973-19-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000175392620000051/0001753926-20-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000173112221000336/0001731122-21-000336-index.htm,https://www.sec.gov/Archives/edgar/data/1553788/000173112222000639/0001731122-22-000639-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,669,24908,7343,61659,17921,6980,23315,380000,4181383
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,250000
33,Cash and Short-Term Investments,669,24908,7343,61659,17921,6980,23315,380000,4431383
34,Net Receivables,58647,80183,167063,206254,151262,300993,309622,575777,1156391
35,Inventory,12542,14314,21589,25231,25209,41695,30559,798273,1923479
36,Other Current Assets,- -,- -,- -,- -,- -,- -,18718,489986,830639
37,Total Current Assets,71858,119405,195995,293144,194392,349668,382214,2244036,8341892
38,PP&E,23857,47309,43753,62190,46636,58627,43845,981343,1601257
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,5672823,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,5672823,5672823
42,Investments,- -,- -,- -,- -,- -,- -,- -,250000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,77686,769398
45,Total Non-Current Assets,23857,47309,43753,62190,46636,58627,43845,6981852,8043478
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,95715,166714,239748,355334,241028,408295,426059,9225888,16385370
48,Accounts Payable,43043,71275,135211,209069,226210,331034,353849,1521818,- -
49,Short-Term Debt,94537,87305,84853,81291,73674,74422,270535,2433069,653081
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,18718,1460772,6126376
53,Total Current Liabilities,137580,158580,220064,290360,299884,405456,643102,5415659,6779457
54,Long-Term Debt,17784,28772,21169,25305,14009,5498,2064,1906711,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2005521,732686
58,Total Non-Current Liabilities,17784,28772,21169,25305,14009,5498,2064,3912232,732686
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,18718,82999,- -
61,Total Liabilities,155364,187352,241233,315665,313893,410954,645166,9327891,732686
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,49415,118515,118515,208515,243515,245515,345515,9312191,33596
64,Retained Earnings,-109064,-139153,-120000,-168846,-316380,-248174,-725408,-61589735,-90640557
65,Other Comprehensive Income/Loss,- -,-24465,-40771,-76197,-93158,-92907,-95488,- -,- -
