,https://roic.ai/company/PSTI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,716000,679000,379000,379000,2847000,- -,50000,54000,23000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,11000,13000,100000,- -,2000,2000,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,716000,659000,368000,366000,2747000,- -,48000,52000,23000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,0.9705,0.9710,0.9657,0.9649,- -,0.9600,0.9630,1.0000,- -
5,Research and Development Exp.,- -,79871,1223561,1787484,1298779,2549281,4393000,3141000,4301000,6629000,9179000,17233000,19542000,19173000,19580000,21092000,22629000,26427000,21577000,30066000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5649000,8676000,6460000,6486000,6927000,11193000,9157000,7922000,20557000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",74453,130619,1780963,873649,1033490,3725784,6036000,3417000,3138000,4485000,6568000,5649000,8676000,6460000,6486000,6927000,11193000,9157000,7922000,20557000
9,Other Expenses,- -,- -,- -,168620,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43000,- -,- -,- -
10,Operating Expenses,74453,210490,3004524,2829753,2332269,6275065,10429000,6558000,7439000,11114000,15747000,22882000,28218000,25633000,26066000,28019000,33779000,35584000,29499000,50623000
11,COGS and Expenses,74453,210490,3004524,2829753,2332269,6275065,10429000,6558000,7439000,11114000,15747000,22902000,28229000,25646000,26166000,28019000,33781000,35586000,29499000,50623000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,14000,2000,236000,575000,266000,246000,112000,149000,122000,276000,385000,384000,492000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,8000,31000,13000,12000,29000,- -,- -,- -,- -,- -,- -,196000,78000
14,Depreciation and Amortization,- -,21039,153644,202852,264834,224721,129000,173000,207000,312000,435000,1033000,1902000,2074000,2150000,2177000,2018000,1962000,1570000,1370000
15,EBITDA,-74453,-189451,-2850880,-2661133,-2067435,-6050344,-10300000,-6385000,-7232000,-10802000,-14347000,-20093000,-25030000,-22603000,-21096000,-25842000,-24108000,-33345000,-27386000,-48784000
