,https://roic.ai/company/PCYN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,308668,215561,371198,300000,702855,1146799,1358278,1645759,2024776,2198261,2313345,2536577,2562704,2365647,2547365,2701996,2801255,2749850,2838959,2771705,3449151,4012419,4020274,4191188,4334088,4719672
2,COGS,90598,96951,181250,100000,127919,265061,262639,363819,464756,531500,519889,600175,630463,452021,542793,596892,701872,700872,708875,808505,1030458,1262626,1084574,1141602,1134675,1330979
3,Gross Profit,218070,118610,189948,200000,574936,881738,1095639,1281940,1560020,1666761,1793456,1936402,1932241,1913626,2004572,2105104,2099383,2048978,2130084,1963200,2418693,2749793,2935700,3049586,3199413,3388693
4,Gross Profit Ratio,0.7065,0.5502,0.5117,0.6667,0.8180,0.7689,0.8066,0.7789,0.7705,0.7582,0.7753,0.7634,0.7540,0.8089,0.7869,0.7791,0.7494,0.7451,0.7503,0.7083,0.7012,0.6853,0.7302,0.7276,0.7382,0.7180
5,Research and Development Exp.,- -,- -,48122,- -,36625,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1692610,1791763,1752941,1822536,1769779,1868017,2061498,2064737,2304562,2522265,2719829,2808615,2952513,3046397,3063923
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1692610,1791763,1752941,1822536,1769779,1868017,2061498,2064737,2304562,2522265,2719829,2808615,2952513,3046397,3063923
9,Other Expenses,740625,819888,995262,800000,847331,1573681,1197014,1208482,1338253,1416444,1435362,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,740625,819888,1043384,800000,883956,1573681,1197014,1208482,1338253,1416444,1435362,1692610,1791763,1752941,1822536,1769779,1868017,2061498,2064737,2304562,2522265,2719829,2808615,2952513,3046397,3063923
11,COGS and Expenses,831223,916839,1224634,900000,1011875,1838742,1459653,1572301,1803009,1947944,1955251,2292785,2422226,2204962,2365329,2366671,2569889,2762370,2773612,3113067,3552723,3982455,3893189,4094115,4181072,4394902
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11019,6664,2726,2388,3424,3572,2075,1403,1868,846,2240,1746,1232
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33795,32075,27633,16628,3617,- -,200,4466,2846,- -,- -,- -,2172
14,Depreciation and Amortization,9399,9620,6011,- -,6107,9862,13170,15984,24025,27617,23589,36207,35800,32220,28987,35738,33448,32519,32800,35868,37706,45681,47862,52646,23707,164312
15,EBITDA,-509994,-687691,-849448,-600000,-311898,-676824,-124741,47990,219083,265270,381822,257737,154790,134073,242622,374130,267202,23423,101719,-303419,232342,77513,175503,151959,183772,998373
16,EBITDA ratio,-1.6522,-3.1902,-2.2884,-2.0000,-0.4438,-0.5902,-0.0918,0.0292,0.1082,0.1207,0.1651,0.1016,0.0604,0.0567,0.0952,0.1385,0.0954,0.0085,0.0358,-0.1095,0.0674,0.0193,0.0437,0.0363,0.0424,0.2115
17,Operating Income,-522555,-701278,-853436,-600000,-309020,-691943,-101375,73458,221767,250317,358094,243792,140478,160685,182036,335325,231366,-12520,65347,-341362,-103572,29964,127085,97073,153016,324770
18,Operating Income ratio,-1.6929,-3.2533,-2.2991,-2.0000,-0.4397,-0.6034,-0.0746,0.0446,0.1095,0.1139,0.1548,0.0961,0.0548,0.0679,0.0715,0.1241,0.0826,-0.0046,0.0230,-0.1232,-0.0300,0.0075,0.0316,0.0232,0.0353,0.0688
19,Total Other Income Expenses (Gains),- -,- -,-4223,- -,- -,- -,446,80,-26709,-12664,139,-22262,-21488,-22776,-25411,-24923,-14240,-193,3572,1875,293742,-978,556,2240,7049,507119
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,195058,237653,358233,221530,118990,137909,156625,310402,217126,-12713,68919,-339487,190170,28986,127641,99313,160065,831889
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.0963,0.1081,0.1549,0.0873,0.0464,0.0583,0.0615,0.1149,0.0775,-0.0046,0.0243,-0.1225,0.0551,0.0072,0.0317,0.0237,0.0369,0.1763
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-63000,-77186,16004,-276850,-674191,43383,58787,117863,88626,91589,45311,-121216,80601,16608,383368,72089,48407,64306
23,Net Income,-519393,-697311,-855459,-600000,-318005,-686686,-137911,32006,258058,314839,342229,498380,793181,24675,122773,192896,128500,-104302,23608,-218271,109569,12378,-255727,27224,111658,767583
24,Net Income ratio,-1.6827,-3.2349,-2.3046,-2.0000,-0.4524,-0.5988,-0.1015,0.0194,0.1275,0.1432,0.1479,0.1965,0.3095,0.0104,0.0482,0.0714,0.0459,-0.0379,0.0083,-0.0787,0.0318,0.0031,-0.0636,0.0065,0.0258,0.1626
25,EPS,-0.16,-0.23,-0.22,-0.13,-0.06,-0.10,-0.02,0.00,0.03,0.04,0.04,0.06,0.10,0.00,0.01,0.02,0.01,-0.02,0.00,-0.03,0.01,0.00,-0.03,0.00,0.01,0.09
26,EPS Diluted,-0.16,-0.23,-0.22,-0.13,-0.06,-0.10,-0.02,0.00,0.03,0.04,0.04,0.06,0.09,0.00,0.01,0.02,0.01,-0.02,0.00,-0.03,0.01,0.00,-0.03,0.00,0.01,0.09
27,Weighted Average Shares Outstanding,3637920,3637920,4167761,4639939,5593351,7815973,7815973,7907647,8042547,8047667,8043928,8049832,8053719,8055388,8055388,8055388,8056950,8060388,8060388,8060388,8060388,8062536,8077388,8087388,8087388,8087388
28,Weighted Average Shares Outstanding Diluted,3637920,3637920,4167761,4639939,5593351,7815973,7861338,7907647,8407447,8356792,8363578,8359977,8426193,8267683,8254488,8254488,8254488,8254488,8254488,8060388,8254598,8279704,8077388,8319488,8319488,8319624
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812306/000100009608000266/0001000096-08-000266-index.html,https://www.sec.gov/Archives/edgar/data/812306/000105050209000238/0001050502-09-000238-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009610000143/0001000096-10-000143-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009611000244/0001000096-11-000244-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009612000143/0001000096-12-000143-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009613000123/0001000096-13-000123-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009614000113/0001000096-14-000113-index.html,https://www.sec.gov/Archives/edgar/data/812306/000100009615000074/0001000096-15-000074-index.html,https://www.sec.gov/Archives/edgar/data/812306/000102189016000039/0001021890-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/812306/000114036117038557/0001140361-17-038557-index.htm,https://www.sec.gov/Archives/edgar/data/812306/000143774918017541/0001437749-18-017541-index.html,https://www.sec.gov/Archives/edgar/data/812306/000143774919019252/0001437749-19-019252-index.html,https://www.sec.gov/Archives/edgar/data/812306/000143774920020789/0001437749-20-020789-index.htm,https://www.sec.gov/Archives/edgar/data/812306/000143774921023489/0001437749-21-023489-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,41549,14608,26580,288377,422876,278878,403030,827512,876196,1062771,929149,739921,204227,59173,173173,270313,290287,665834,1226522
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239698,- -,- -,- -,- -,- -,- -,- -,151995,102141,153457,153951,155132,280438
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,41549,14608,26580,288377,422876,518576,403030,827512,876196,1062771,929149,739921,204227,211168,275314,423770,444238,820966,1506960
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,148052,154648,145973,146446,224460,171494,218696,184130,320255,214863,194486,301243,260077,688202,391539,372309,419630,311043,497358
35,Inventory,- -,- -,- -,- -,- -,- -,- -,96522,104724,146323,150865,133892,184158,109498,188287,204733,194916,212944,276750,434476,688691,506719,416621,485433,758516,591058
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,28265,111665,206067,253761,299234,305974,445888,292234,288026,253981,240348,286989,453995,293736,418047,171340,244494,183138,276251
