,https://roic.ai/company/ZEN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,38228000,72045000,127049000,208768000,311999000,430492000,598746000,816416000,1029564000,1338603000
2,COGS,- -,13253000,24531000,46047000,67184000,93900000,127422000,181255000,234282000,251255000,274883000
3,Gross Profit,- -,24975000,47514000,81002000,141584000,218099000,303070000,417491000,582134000,778309000,1063720000
4,Gross Profit Ratio,- -,0.6533,0.6595,0.6376,0.6782,0.6990,0.7040,0.6973,0.7130,0.7560,0.7946
5,Research and Development Exp.,- -,14816000,15288000,36403000,62615000,91067000,115291000,160260000,207548000,255400000,352049000
6,General and Administrative Exp.,- -,11558000,16437000,32869000,47902000,64371000,81680000,103491000,141076000,166469000,198554000
7,Selling and Marketing Exp.,- -,22749000,37622000,77875000,114052000,166987000,220742000,291668000,396514000,512339000,679801000
8,"Selling, General and Administrative Exp.",- -,34307000,54059000,110744000,161954000,231358000,302422000,395159000,537590000,678808000,878355000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,49123000,69347000,147147000,224569000,322425000,417713000,555419000,745138000,934208000,1230404000
11,COGS and Expenses,- -,62376000,93878000,193194000,291753000,416325000,545135000,736674000,979420000,1185463000,1505287000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,15086000,20561000,12751000,8637000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,19882000,26708000,43319000,58721000
14,Depreciation and Amortization,- -,2506000,5222000,11456000,19744000,27506000,31931000,36520000,38602000,42247000,37610000
15,EBITDA,- -,-21738000,-17128000,-56222000,-63970000,-75300000,-80225000,-86789000,-102993000,-126851000,-120437000
16,EBITDA ratio,- -,-0.5686,-0.2377,-0.4425,-0.3064,-0.2413,-0.1864,-0.1450,-0.1262,-0.1232,-0.0900
17,Operating Income,- -,-24148000,-21833000,-66145000,-82985000,-104326000,-114643000,-137928000,-163004000,-155899000,-166684000
18,Operating Income ratio,- -,-0.6317,-0.3030,-0.5206,-0.3975,-0.3344,-0.2663,-0.2304,-0.1997,-0.1514,-0.1245
19,Total Other Income Expenses (Gains),- -,-96000,-517000,-1533000,-729000,1520000,2487000,-5263000,-5299000,-56518000,-50084000
20,Income Before Tax,- -,-24244000,-22350000,-67678000,-83714000,-102806000,-112156000,-143191000,-168303000,-212417000,-216768000
21,Income Before Tax Ratio,- -,-0.6342,-0.3102,-0.5327,-0.4010,-0.3295,-0.2605,-0.2392,-0.2061,-0.2063,-0.1619
22,Income Tax expense (Gain),- -,121000,221000,-263000,338000,993000,-1518000,-12107000,1350000,5761000,6876000
23,Net Income,- -,-24365000,-22571000,-67415000,-84052000,-103799000,-110638000,-131084000,-169653000,-218178000,-223644000
24,Net Income ratio,- -,-0.6374,-0.3133,-0.5306,-0.4026,-0.3327,-0.2570,-0.2189,-0.2078,-0.2119,-0.1671
25,EPS,- -,-0.57,-0.40,-1.26,-0.99,-1.11,-1.11,-1.24,-1.53,-1.89,-1.94
26,EPS Diluted,- -,-0.57,-0.40,-1.26,-0.99,-1.11,-1.11,-1.24,-1.53,-1.89,-1.94
27,Weighted Average Shares Outstanding,- -,57202000,56025000,53571000,84926000,93161000,99918000,105567000,110606000,115240000,115240000
28,Weighted Average Shares Outstanding Diluted,- -,57202000,56025000,53571000,84926000,93161000,99918000,105567000,110606000,115240000,115240000
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1463172/000156459015000725/0001564590-15-000725-index.htm,https://www.sec.gov/Archives/edgar/data/1463172/000156459016013588/0001564590-16-013588-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000162828017001792/0001628280-17-001792-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000162828018002076/0001628280-18-002076-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000146317219000065/0001463172-19-000065-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000146317220000061/0001463172-20-000061-index.html,https://www.sec.gov/Archives/edgar/data/1463172/000146317221000054/0001463172-21-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1463172/000146317222000027/0001463172-22-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,14200000,48688000,53725000,80265000,216226000,93677000,109370000,126518000,196591000,405430000,476103000
