,https://roic.ai/company/NOW,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,1900000,8800000,19300000,43329000,92641000,243712000,424650000,682563000,1005480000,1390513000,1933026000,2608816000,3460437000,4519484000,5896000000
2,COGS,700000,4600000,7900000,16190000,31575000,104009000,155259000,248776000,329413000,398682000,499772000,622658000,796645000,987113000,1353000000
3,Gross Profit,1200000,4200000,11400000,27139000,61066000,139703000,269391000,433787000,676067000,991831000,1433254000,1986158000,2663792000,3532371000,4543000000
4,Gross Profit Ratio,0.6316,0.4773,0.5907,0.6263,0.6592,0.5732,0.6344,0.6355,0.6724,0.7133,0.7415,0.7613,0.7698,0.7816,0.7705
5,Research and Development Exp.,2700000,2100000,2400000,7194000,7004000,39333000,78678000,148258000,217389000,285239000,377518000,529501000,748369000,1024327000,1397000000
6,General and Administrative Exp.,2700000,8000000,14900000,28810000,9379000,34117000,61790000,96245000,126604000,158936000,210533000,296027000,339016000,454165000,597000000
7,Selling and Marketing Exp.,- -,- -,- -,19334000,34123000,103837000,195190000,341119000,498439000,700464000,946617000,1203056000,1534284000,1855016000,2292000000
8,"Selling, General and Administrative Exp.",2700000,8000000,14900000,48144000,43502000,137954000,256980000,437364000,625043000,859400000,1157150000,1499083000,1873300000,2309181000,2889000000
9,Other Expenses,-100000,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5300000,10000000,17200000,55338000,50506000,177287000,335658000,585622000,842432000,1144639000,1534668000,2028584000,2621669000,3333508000,4286000000
11,COGS and Expenses,6000000,14600000,25100000,71528000,82081000,281296000,490917000,834398000,1171845000,1543321000,2034440000,2651242000,3418314000,4320621000,5639000000
12,Interest Income ,- -,- -,- -,-1226000,- -,1604000,-4930000,2964000,4749000,8032000,16677000,34624000,55409000,39483000,20000000
13,Interest Expense (Gain),200000,- -,- -,1226000,- -,- -,4930000,27501000,29429000,31493000,50623000,50071000,31677000,32746000,28000000
14,Depreciation and Amortization,- -,- -,200000,369000,1472000,13506000,24152000,42059000,60356000,83082000,113875000,149604000,252114000,336381000,472000000
15,EBITDA,-3800000,-5900000,-5700000,-27830000,12638000,-22474000,-42115000,-105980000,-103227000,-335476000,15494000,160651000,350976000,518312000,749000000
16,EBITDA ratio,-2.0000,-0.6705,-0.2953,-0.6423,0.1364,-0.0922,-0.0992,-0.1553,-0.1027,-0.2413,0.0080,0.0616,0.1014,0.1147,0.1270
17,Operating Income,-4100000,-5900000,-5800000,-28199000,10560000,-37584000,-66267000,-151835000,-166365000,-422808000,-101414000,-42426000,42123000,198863000,257000000
18,Operating Income ratio,-2.1579,-0.6705,-0.3005,-0.6508,0.1140,-0.1542,-0.1561,-0.2224,-0.1655,-0.3041,-0.0525,-0.0163,0.0122,0.0440,0.0436
19,Total Other Income Expenses (Gains),100000,- -,-100000,-1226000,606000,1604000,-4930000,-23705000,-26647000,-27243000,-47590000,3402000,25062000,-49678000,-8000000
20,Income Before Tax,-4000000,-5900000,-5900000,-29425000,11166000,-35980000,-71197000,-175540000,-193012000,-450051000,-149004000,-39024000,67185000,149185000,249000000
21,Income Before Tax Ratio,-2.1053,-0.6705,-0.3057,-0.6791,0.1205,-0.1476,-0.1677,-0.2572,-0.1920,-0.3237,-0.0771,-0.0150,0.0194,0.0330,0.0422
22,Income Tax expense (Gain),- -,- -,- -,280000,1336000,1368000,2511000,3847000,5414000,1753000,126000,-12320000,-559513000,30682000,19000000
23,Net Income,-4000000,-5900000,-5900000,-29705000,9830000,-37348000,-73708000,-179387000,-198426000,-451804000,-149130000,-26704000,626698000,118503000,230000000
24,Net Income ratio,-2.1053,-0.6705,-0.3057,-0.6856,0.1061,-0.1532,-0.1736,-0.2628,-0.1973,-0.3249,-0.0771,-0.0102,0.1811,0.0262,0.0390
25,EPS,-0.03,-0.05,-0.05,-1.21,0.39,-0.51,-0.54,-1.23,-1.27,-2.75,-0.87,-0.15,3.36,0.61,1.16
26,EPS Diluted,-0.03,-0.05,-0.05,-1.21,0.39,-0.51,-0.54,-1.23,-1.27,-2.75,-0.87,-0.15,3.18,0.59,1.13
27,Weighted Average Shares Outstanding,120300000,120300000,120300000,25123582,25123582,73908631,135415809,145355543,155706643,164533823,171175577,177846023,186466000,193096000,199000000
28,Weighted Average Shares Outstanding Diluted,120300000,120300000,120300000,25123582,25123582,73908631,135415809,145355543,155706643,164533823,171175577,177846023,197223000,202478000,203000000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1373715/000137371514000044/now-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371515000067/now-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371516000324/0001373715-16-000324-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371517000026/0001373715-17-000026-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000058/0001373715-18-000058-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000070/0001373715-19-000070-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000072/0001373715-20-000072-index.html,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000061/0001373715-21-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000024/0001373715-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,29402000,59853000,118989000,366303000,252455000,412305000,401238000,726495000,566204000,775778000,1676794000,1728000000
32,Short-Term Investments,- -,- -,- -,- -,- -,195702000,268251000,416336000,388945000,498124000,1052803000,931718000,915317000,1415242000,1576000000
33,Cash and Short-Term Investments,- -,- -,- -,29402000,59853000,314691000,634554000,668791000,801250000,899362000,1779298000,1497922000,1691095000,3092036000,3304000000
34,Net Receivables,- -,- -,- -,14999000,24495000,84480000,108339000,159171000,203333000,322757000,434895000,574810000,835279000,1009415000,1390000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,3091000,12545000,22918000,54856000,79024000,81052000,120416000,196371000,271961000,300527000,420391000,526000000
37,Total Current Assets,- -,- -,- -,47492000,96893000,422089000,797749000,906986000,1085635000,1342535000,2410564000,2344693000,2826901000,4521842000,5220000000
38,PP&E,- -,- -,- -,1698000,9467000,42342000,75560000,104237000,144714000,181620000,245124000,347216000,870513000,1113859000,1357000000
39,Goodwill,- -,- -,- -,- -,- -,- -,8724000,55016000,55669000,82534000,128728000,148845000,156756000,240764000,777000000
