,https://roic.ai/company/ILPT,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,147891000,153310000,156506000,162530000,229234000,254575000,219874000
2,COGS,16316000,17204000,17868000,19342000,30367000,35185000,30134000
3,Gross Profit,131575000,136106000,138638000,143188000,198867000,219390000,189740000
4,Gross Profit Ratio,0.8897,0.8878,0.8858,0.8810,0.8675,0.8618,0.8629
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,8745000,8935000,16799000,11307000,17189000,19580000,16724000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8745000,8935000,16799000,11307000,17189000,19580000,16724000
9,Other Expenses,33763000,37932000,38228000,41580000,79570000,91267000,69276000
10,Operating Expenses,42508000,46867000,55027000,52887000,96759000,110847000,86000000
11,COGS and Expenses,58824000,64071000,72895000,72229000,127126000,146032000,116134000
12,Interest Income ,- -,- -,- -,200000,743000,113000,- -
13,Interest Expense (Gain),2092000,2262000,2439000,16081000,50848000,51619000,35625000
14,Depreciation and Amortization,24088000,25982000,26172000,27373000,59642000,68394000,49113000
15,EBITDA,97864000,115186000,108758000,117874000,163159000,202361000,204693000
16,EBITDA ratio,0.6617,0.7513,0.6949,0.7252,0.7118,0.7949,0.9310
17,Operating Income,73776000,89204000,82586000,90301000,102108000,108543000,79037000
18,Operating Income ratio,0.4989,0.5819,0.5277,0.5556,0.4454,0.4264,0.3595
19,Total Other Income Expenses (Gains),-2092000,-2262000,-2439000,-15881000,-50105000,-27590000,- -
20,Income Before Tax,71684000,86942000,80147000,74420000,52003000,80953000,79037000
21,Income Before Tax Ratio,0.4847,0.5671,0.5121,0.4579,0.2269,0.3180,0.3595
22,Income Tax expense (Gain),44000,44000,44000,32000,171000,277000,273000
23,Net Income,71640000,86898000,80103000,74388000,52498000,82071000,119682000
24,Net Income ratio,0.4844,0.5668,0.5118,0.4577,0.2290,0.3224,0.5443
25,EPS,1.10,1.15,1.23,1.16,0.81,1.26,1.83
26,EPS Diluted,1.10,1.15,1.23,1.16,0.81,1.26,1.83
27,Weighted Average Shares Outstanding,65000000,65000000,65000000,64139000,65049000,65104000,65169000
28,Weighted Average Shares Outstanding Diluted,65000000,65000000,65000000,64140000,65055000,65114000,65211000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1717307/000171730718000006/0001717307-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1717307/000171730719000011/0001717307-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1717307/000171730720000011/0001717307-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1717307/000171730721000009/0001717307-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1717307/000171730722000008/0001717307-22-000008-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,9608000,28415000,22834000,29397000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,9608000,28415000,22834000,29397000
34,Net Receivables,41406000,47050000,51672000,58330000,64286000,72176000,75877000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,6135000,- -,- -
37,Total Current Assets,41406000,47050000,51672000,67938000,98836000,95010000,105274000
38,PP&E,100153000,89625000,79103000,75803000,138596000,83644000,63441000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,100153000,89625000,79103000,75803000,138596000,- -,- -
41,Intangible Assets,100153000,89625000,79103000,75803000,138596000,- -,- -
42,Investments,- -,- -,- -,- -,- -,60590000,143021000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1201505000,1196035000,1201805000,1315067000,2078873000,1676501000,1596822000
45,Total Non-Current Assets,1401811000,1375285000,1360011000,1466673000,2356065000,1820735000,1803284000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1443217000,1422335000,1411683000,1534611000,2454901000,1915745000,1908558000
48,Accounts Payable,9875000,10231000,11082000,12040000,16475000,14716000,16281000
49,Short-Term Debt,- -,- -,750000000,413000000,310000000,221000000,182000000
