,https://roic.ai/company/VNET,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,313635000,525203000,1020929000,1524158000,1966717000,2876447000,3634372000,3641774000,3392705000,3401037000,3788967000,4829019000,6189801000
2,COGS,229304000,396858000,744371000,1098477000,1449845000,2066304000,2780614000,2929638000,2634295000,2456166000,2849518000,3753008000,4751771000
3,Gross Profit,84331000,128345000,276558000,425681000,516872000,810143000,853758000,712136000,758410000,944871000,939449000,1076011000,1438030000
4,Gross Profit Ratio,0.2689,0.2444,0.2709,0.2793,0.2628,0.2816,0.2349,0.1955,0.2235,0.2778,0.2479,0.2228,0.2323
5,Research and Development Exp.,7607000,19924000,34657000,63929000,77831000,121676000,142835000,149337000,149143000,92109000,88792000,112891000,188489000
6,General and Administrative Exp.,25457000,282298000,82926000,153512000,186907000,493309000,600940000,639648000,519950000,462637000,415277000,535111000,842354000
7,Selling and Marketing Exp.,24132000,51392000,80885000,109871000,154479000,287229000,359460000,352926000,256682000,172176000,206309000,235012000,255400000
8,"Selling, General and Administrative Exp.",49589000,333690000,163811000,263383000,341386000,780538000,960400000,992574000,776632000,634813000,621586000,770123000,1097754000
9,Other Expenses,- -,- -,63185000,- -,- -,- -,-8569000,110781000,31988000,-5625000,-5305000,-5226000,18399000
10,Operating Expenses,57196000,353614000,261653000,327312000,419217000,902214000,1094666000,1252692000,957763000,721297000,705073000,877788000,1304642000
11,COGS and Expenses,286500000,750472000,1006024000,1425789000,1869062000,2968518000,3875280000,4182330000,3592058000,3177463000,3554591000,4630796000,6056413000
12,Interest Income ,827000,580000,14939000,16301000,48503000,67904000,53494000,21078000,32925000,45186000,54607000,31711000,31897000
13,Interest Expense (Gain),416000,2793000,4398000,11376000,136775000,232020000,274184000,198589000,185313000,236066000,345955000,380609000,334950000
14,Depreciation and Amortization,29011000,33512000,88977000,128163000,200189000,406655000,586182000,664069000,667102000,634606000,772205000,988983000,1267578000
15,EBITDA,-9352000,-217496000,125496000,232022000,299062000,306868000,480097000,217900000,-10485000,690018000,941305000,-1230419000,2214033000
16,EBITDA ratio,-0.0298,-0.4141,0.1229,0.1522,0.1521,0.1067,0.1321,0.0598,-0.0031,0.2029,0.2484,-0.2548,0.3577
17,Operating Income,27135000,-232806000,14905000,80939000,41773000,-114700000,-284233000,-840196000,-1368538000,237479000,182234000,116604000,21314000
18,Operating Income ratio,0.0865,-0.4433,0.0146,0.0531,0.0212,-0.0399,-0.0782,-0.2307,-0.4034,0.0698,0.0481,0.0241,0.0034
19,Total Other Income Expenses (Gains),-14000,-321000,44711000,12876000,-78452000,-197104000,-121567000,-138538000,306941000,-213162000,-307490000,-2698396000,643860000
20,Income Before Tax,27121000,-233127000,59616000,93815000,-36679000,-311804000,-405800000,-978734000,-1061597000,24317000,-125256000,-2581792000,665174000
21,Income Before Tax Ratio,0.0865,-0.4439,0.0584,0.0616,-0.0186,-0.1084,-0.1117,-0.2688,-0.3129,0.0071,-0.0331,-0.5346,0.1075
22,Income Tax expense (Gain),-32860000,1588000,13677000,36159000,10324000,16673000,47830000,-11160000,-90170000,24411000,5437000,109336000,111407000
23,Net Income,-5919000,-255389000,18444000,56324000,-48226000,-348480000,-428099000,-633598000,-772730000,-205065000,-182292000,-2709347000,500098000
24,Net Income ratio,-0.0189,-0.4863,0.0181,0.0370,-0.0245,-0.1211,-0.1178,-0.1740,-0.2278,-0.0603,-0.0481,-0.5611,0.0808
25,EPS,-0.48,-21.42,0.42,0.96,-0.78,-5.22,-5.10,-8.22,-8.16,-1.80,-1.62,-26.82,6.26
26,EPS Diluted,-0.48,-21.42,0.36,0.96,-0.78,-5.22,-5.10,-8.22,-8.16,-1.80,-1.62,-26.82,6.26
27,Weighted Average Shares Outstanding,11921053,11921053,43265946,57054476,60725662,66889298,82010873,102861639,112139371,112455355,111472293,119481486,79867332
28,Weighted Average Shares Outstanding Diluted,30415417,11921053,52801277,59418486,60725662,66889298,82010873,102861639,112139371,112455355,111472293,119481486,79867332
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1508475/000119312512167992/d314052d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312513162849/d463311d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312514137194/d611305d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312515126136/d808427d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312516538598/d124901d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312517121355/d305584d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312518115533/d516208d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312519088444/0001193125-19-088444-index.html,https://www.sec.gov/Archives/edgar/data/1508475/000110465920042437/a19-24584_120f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,71998000,83256000,410389000,432254000,1458856000,644415000,1685054000,1297418000,1949631000,2358556000,1808483000,2710349000,1372481000
32,Short-Term Investments,- -,- -,894540000,222701000,1101826000,911242000,104897000,277946000,548890000,245014000,363856000,285872000,- -
33,Cash and Short-Term Investments,71998000,83256000,1304929000,654955000,2560682000,1555657000,1789951000,1575364000,2498521000,2603570000,2172339000,2996221000,1372481000
34,Net Receivables,110938000,89836000,189267000,377120000,792659000,1019111000,1286023000,1409737000,1121717000,1191080000,1679560000,1822580000,1573964000
35,Inventory,- -,- -,- -,- -,- -,10059000,13539000,4431000,710000,1834000,- -,- -,- -
36,Other Current Assets,30902000,20865000,57025000,231082000,250963000,281793000,392195000,2212391000,624594000,881625000,1376285000,1236806000,2377678000
37,Total Current Assets,213838000,193957000,1551221000,1263157000,3604304000,2866620000,3481708000,5201923000,4245542000,4678109000,5228184000,6055607000,5324123000
38,PP&E,99103000,197015000,453883000,822707000,1402177000,3036707000,3653071000,3781613000,3319424000,4031242000,6665181000,9431951000,12961757000
39,Goodwill,12507000,170171000,217436000,296688000,410500000,1755970000,1755970000,1755970000,989530000,989530000,989530000,994993000,1339657000
40,Intangible Assets,17161000,157086000,159439000,303909000,336889000,1470628000,1338848000,1144987000,564786000,502806000,643749000,913568000,1237570000
41,Intangible Assets,29668000,327257000,376875000,600597000,747389000,3226598000,3094818000,2900957000,1554316000,1492336000,1633279000,1908561000,2577227000
42,Investments,- -,- -,8200000,57599000,106727000,126307000,198907000,298871000,510926000,544323000,169653000,135517000,98243000
43,Tax Assets,4514000,7358000,12773000,11231000,14149000,42573000,46900000,57314000,172818000,159441000,209366000,185481000,168002000
44,Other Non-Current Assets,- -,- -,- -,221628000,256816000,341376000,388506000,180846000,105135000,245266000,368043000,1656638000,1965687000
45,Total Non-Current Assets,133285000,531630000,851731000,1713762000,2527258000,6773561000,7382202000,7219601000,5662619000,6472608000,9045522000,13318148000,17770916000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,347123000,725587000,2402952000,2976919000,6131562000,9640181000,10863910000,12421524000,9908161000,11150717000,14273706000,19373755000,23095039000
48,Accounts Payable,42666000,49792000,82131000,109571000,188217000,386074000,482622000,529569000,252892000,389508000,303128000,289387000,493506000
49,Short-Term Debt,6489000,55265000,130590000,381559000,385326000,1187767000,719541000,2386018000,332743000,344979000,1843079000,3014062000,1236187000
50,Tax Payable,332000,3545000,64274000,75874000,78884000,51646000,75739000,42910000,30260000,30042000,62555000,39501000,43770000
51,Deferred Revenue,13533000,17316000,23238000,22976000,33104000,451270000,534237000,526527000,463571000,731964000,1128912000,1106913000,1099671000
52,Other Current Liabilities,253046000,88186000,226578000,296041000,454711000,964004000,1085504000,931743000,726117000,724759000,1193902000,1711598000,2350631000
53,Total Current Liabilities,315734000,210559000,462537000,810147000,1061358000,2989115000,2821904000,4373857000,1775323000,2191210000,4469021000,6121960000,5179995000
54,Long-Term Debt,7123000,58190000,73896000,115352000,2301384000,2837416000,2682491000,804844000,2706589000,2915829000,3616237000,5234680000,9885772000
55,Deferred Revenue,- -,- -,5819000,18793000,18046000,101466000,99823000,88417000,17861000,11619000,5906000,4100000,2294000
56,Deferred Tax Liabilities,3127000,37949000,39682000,44666000,78593000,310340000,293212000,274700000,190873000,157720000,202572000,299093000,348404000
57,Other Non-Current Liabilities,992055000,137306000,151294000,98656000,196880000,1174887000,932105000,728689000,16511000,511155000,748342000,816442000,77573000
58,Total Non-Current Liabilities,1002305000,233445000,270691000,277467000,2594903000,4424109000,4007631000,1896650000,2931834000,3596323000,4573057000,6354315000,10314043000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,12336000,74014000,99908000,89071000,351739000,583618000,719558000,780346000,802197000,985688000,2140961000,2189742000,4255835000
61,Total Liabilities,1318039000,444004000,733228000,1087614000,3656261000,7413224000,6829535000,6270507000,4707157000,5787533000,9042078000,12476275000,15494038000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1047468000,- -
63,Common Stock,5000,14000,23000,23000,26000,26000,34000,45000,46000,46000,46000,56000,60000
64,Retained Earnings,-1068004000,-1357747000,-1402330000,-1371877000,-1429410000,-1794975000,-2233985000,-2869031000,-3629300000,-3838032000,-4038390000,-7235113000,-7590382000
65,Other Comprehensive Income/Loss,716000,1474000,-54779000,-31496000,-47411000,-13491000,38938000,182912000,36063000,128382000,138373000,18927000,-15981000
66,Other Total Stockholders Equity,79382000,1517471000,3109640000,3274153000,3935847000,4011364000,6209975000,8811289000,8642724000,8803811000,8853044000,12733596000,14848532000
67,Total Stockholders Equity,-987901000,161212000,1652554000,1870803000,2459052000,2202924000,4014962000,6125215000,5049533000,5094207000,4953073000,6564934000,7242229000
68,Total Liabilities And Stockholders Equity,330138000,605216000,2385782000,2958417000,6115313000,9616148000,10844497000,12395722000,9756690000,10881740000,13995151000,19041209000,22736267000
69,Minority Interest,16985000,120371000,17170000,18502000,16249000,24033000,19413000,25802000,151471000,268977000,278555000,332546000,358772000
70,Total Liabilities & Equity,347123000,725587000,2402952000,2976919000,6131562000,9640181000,10863910000,12421524000,9908161000,11150717000,14273706000,19373755000,23095039000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1508475/000119312512167992/d314052d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312513162849/d463311d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312514137194/d611305d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312515126136/d808427d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312516538598/d124901d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312517121355/d305584d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312518115533/d516208d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312519088444/0001193125-19-088444-index.html,https://www.sec.gov/Archives/edgar/data/1508475/000110465920042437/a19-24584_120f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-5919000,-255389000,18444000,56324000,-48226000,-348480000,-428099000,-633598000,-772730000,-205065000,-182292000,-2709347000,500098000
74,Depreciation and Amortization,29011000,33512000,88977000,128163000,200189000,406655000,586182000,664069000,667102000,634606000,772205000,988983000,1267578000
75,Deferred Income Tax,-4989000,-9050000,-18492000,-9322000,-19581000,-28728000,-20262000,-65932000,-128026000,-19776000,-64887000,-22508000,- -
76,Stock Based Compensation,- -,277881000,41959000,67632000,67769000,233735000,190027000,118729000,47129000,59538000,43916000,136804000,320010000
77,Change in Working Capital,-19347000,18906000,-23284000,-80919000,-187922000,-46211000,-89316000,-63317000,45651000,14875000,84710000,-509655000,-507040000
78,Accounts Receivable,-1526000,-24892000,-66436000,-131783000,-303391000,-81744000,15086000,-40988000,18277000,-68809000,-156134000,-171608000,- -
79,Inventory,- -,- -,- -,- -,- -,-2341000,-3480000,9108000,-1134000,-1124000,- -,- -,- -
80,Accounts Payable,11373000,-7441000,14955000,20204000,61269000,121698000,96548000,46947000,42468000,41380000,9185000,-13741000,- -
81,Other Working Capital,-31431000,16301000,27563000,5819000,8510000,52724000,-2589000,15445000,46555000,262151000,399026000,-21478000,-547625000
82,Other Non-Cash Items,4004000,15512000,58531000,12045000,52302000,108394000,-21698000,63669000,543184000,220788000,149270000,2829966000,-192724000
83,Cash Provided by Operating Activities,2760000,81372000,166135000,173923000,64531000,325365000,216834000,83620000,402310000,704966000,802922000,714243000,1387922000
84,CAPEX,-35040000,-59349000,-256557000,-580607000,-455307000,-858711000,-1099784000,-612500000,-414955000,-453094000,-1299809000,-2503423000,-2734213000
85,Acquisitions Net,- -,-47560000,-107744000,-67067000,-62793000,-1445666000,- -,-56264000,-89633000,-9611000,-133040000,-1560287000,- -
86,Purchases of Investments,- -,- -,-1658495000,-317934000,-1148768000,-189007000,-1695402000,-339152000,-918052000,-351685000,-446067000,-328182000,- -
87,Sales/Maturities of Investments,- -,- -,747144000,939273000,219143000,442998000,2496826000,123569000,484932000,493296000,331153000,399498000,- -
88,Other Investing Activites,-278000,105563000,6796000,-283217000,-95771000,-269612000,-119283000,5331000,219415000,-1626000,-115195000,73129000,-1080685000
89,Cash Used for Investing Activites,-34850000,-616000,-1268054000,-175670000,-1507315000,-2261797000,-370130000,-841017000,-699336000,-304846000,-1611983000,-3889174000,-3772613000
90,Debt Repayment,-11276000,-20000000,-45137000,-101000000,-207279000,-1299509000,-1239045000,-2404308000,-2652137000,-468929000,-1847332000,-1873266000,-2738735000
91,Common Stock Issued,- -,17000,1332904000,- -,533301000,- -,1808498000,2548695000,- -,42710000,572000,2680421000,- -
92,Common Stock Repurchased,- -,- -,-190022000,- -,-59822000,-213665000,- -,-81693000,-136932000,- -,-21618000,-139846000,-1701807000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,40026000,-49515000,346202000,124952000,2211357000,2634906000,545579000,146778000,3878606000,406318000,2329935000,3495946000,5408119000
95,Cash Used/Provided by Financing Activities,28750000,-69498000,1443947000,23952000,2477557000,1121732000,1115032000,209472000,1089537000,-19901000,461557000,4163255000,967577000
96,Effect of Forex Changes on Cash,- -,- -,-14895000,-340000,-8171000,259000,78903000,160289000,-140298000,85333000,43660000,-229064000,9150000
97,Net Change In Cash,-3340000,11258000,327133000,21865000,1026602000,-814441000,1040639000,-387636000,652213000,465552000,-303844000,759260000,-1407964000
98,Cash at the End of Period,71998000,83256000,410389000,432254000,1458856000,644415000,1685054000,1297418000,1949631000,2661021000,2357177000,3116437000,1708473000
99,Cash at the Beginning of Period,75338000,71998000,83256000,410389000,432254000,1458856000,644415000,1685054000,1297418000,2195469000,2661021000,2357177000,3116437000
100,Free Cash Flow,-32280000,22023000,-90422000,-406684000,-390776000,-533346000,-882950000,-528880000,-12645000,251872000,-496887000,-1789180000,-1346291000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1508475/000119312512167992/d314052d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312513162849/d463311d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312514137194/d611305d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312515126136/d808427d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312516538598/d124901d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312517121355/d305584d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312518115533/d516208d20f.htm,https://www.sec.gov/Archives/edgar/data/1508475/000119312519088444/0001193125-19-088444-index.html,https://www.sec.gov/Archives/edgar/data/1508475/000110465920042437/a19-24584_120f.htm,- -,- -
102,Forex Rate,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
