,https://roic.ai/company/GDNSF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29956172,49211329,54446168
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19114824,31109224,34647483
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10841348,18102105,19798685
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3619,0.3678,0.3636
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,1346662,464633,122306,342580,621533,385246,384059,57925,119801,83595,139067,27673747,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,172232,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,1518894,464633,122306,342580,621533,385246,384059,57925,119801,83595,139067,27673747,- -,33655780
9,Other Expenses,58067,51863,3210808,183005,122274,3659,- -,- -,- -,491,549,448,379,278,2234090,40170843,- -
10,Operating Expenses,58067,51863,3210808,1701899,586907,125966,342580,621533,385246,384550,58474,120249,83974,139344,29907837,40170843,33655780
11,COGS and Expenses,58067,51863,3210808,1701899,586907,125966,342580,621533,385246,384550,58474,120249,83974,139344,49022661,71280067,68303263
12,Interest Income ,3841,8287,- -,629,315,- -,- -,- -,- -,- -,- -,- -,- -,- -,662,- -,- -
13,Interest Expense (Gain),- -,- -,- -,39048,35078,75288,25276,2324,- -,- -,- -,- -,- -,- -,5183718,5095848,-10575370
14,Depreciation and Amortization,- -,- -,257335,183005,122274,- -,- -,- -,- -,491,549,448,379,278,4066184,1028187,- -
15,EBITDA,-58067,-51863,-3766492,-1508454,-418340,-125966,-342580,-621533,-385246,-383533,-57241,-132236,-83595,-139067,-48059584,-8028159,-40143845
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.6043,-0.1631,-0.7373
17,Operating Income,-58067,-51863,-3210808,-1701899,-586907,-125966,-342580,-621533,-385246,-384550,-58474,-120249,-83974,-139344,-19066489,-23043122,-20481564
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.6365,-0.4682,-0.3762
19,Total Other Income Expenses (Gains),- -,- -,1004125,-28609,-3290546,-516088,1015748,27130,-346344,-526,-684,12435,- -,- -,-38242997,8890928,-9086911
20,Income Before Tax,- -,- -,-2206683,-1730508,-3877453,-642054,673168,-594403,-731590,-385077,-59158,-107814,-83974,-139344,-57309486,-14152194,-29568475
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.9131,-0.2876,-0.5431
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-299000,-7427000,-5460000
23,Net Income,-54760,-44754,-2206683,-1730508,-3877453,-642054,673168,-594403,-731590,-385077,-59158,-107814,-83974,-139344,-57010486,-6725194,-24108475
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.9031,-0.1367,-0.4428
