,https://roic.ai/company/DYN,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,3103000000,3549000000,2468000000,2323000000,1585000000,3000000,3000000,1466000000,842000000,1366000000,506000000,- -,- -,- -,- -
2,COGS,2013000000,1853000000,1194000000,1181000000,963000000,268000000,1145000000,1145000000,2028000000,2281000000,2932000000,- -,- -,- -,- -
3,Gross Profit,1090000000,1696000000,1274000000,1142000000,622000000,-265000000,-1142000000,321000000,-1186000000,-915000000,-2426000000,- -,- -,- -,- -
4,Gross Profit Ratio,0.3513,0.4779,0.5162,0.4916,0.3924,-88.3333,-380.6667,0.2190,-1.4086,-0.6698,-4.7945,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4278000,11040000,45200000,121308000
6,General and Administrative Exp.,-203000000,-157000000,-159000000,163000000,135000000,-22000000,97000000,-97000000,128000000,161000000,189000000,517000,2786000,13447000,28717000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",-203000000,-157000000,-159000000,163000000,135000000,-22000000,97000000,-97000000,128000000,161000000,189000000,517000,2786000,13447000,28717000
9,Other Expenses,- -,-337000000,-360000000,- -,- -,-59000000,- -,-211000000,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,-203000000,-494000000,-519000000,163000000,135000000,-81000000,97000000,-308000000,128000000,161000000,189000000,4795000,13826000,58647000,150025000
11,COGS and Expenses,1810000000,1359000000,675000000,1344000000,1098000000,187000000,1242000000,837000000,2156000000,2442000000,3121000000,4795000,13826000,58647000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,290000,56000,742000
13,Interest Expense (Gain),384000000,427000000,415000000,363000000,357000000,- -,97000000,67000000,546000000,625000000,616000000,- -,- -,396000,- -
14,Depreciation and Amortization,333000000,376000000,359000000,408000000,346000000,26000000,467000000,292000000,614000000,766000000,867000000,24000,271000,700000,- -
15,EBITDA,830000000,902000000,-173000000,734000000,-1574000000,113000000,150000000,292000000,736000000,106000000,949000000,-4771000,-13555000,-58341000,-150025000
16,EBITDA ratio,0.2675,0.2542,-0.0701,0.3160,-0.9931,37.6667,50.0000,0.1992,0.8741,0.0776,1.8755,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,605000000,709000000,-834000000,-11000000,-236000000,714000000,-318000000,-318000000,64000000,-640000000,-412000000,-4795000,-13826000,-58647000,-150025000
18,Operating Income ratio,0.1950,0.1998,-0.3379,-0.0047,-0.1489,238.0000,-106.0000,-0.2169,0.0760,-0.4685,-0.8142,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-338000000,-463000000,-521000000,-224000000,-2041000000,-627000000,-99000000,50000000,-491000000,-649000000,-126000000,-16000,-1033000,-790000,734000
