,https://roic.ai/company/CRSR,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,937553000,1097174000,1702367000,1904060000
2,COGS,744858000,872887000,1236938000,1390206000
3,Gross Profit,192695000,224287000,465429000,513854000
4,Gross Profit Ratio,0.2055,0.2044,0.2734,0.2699
5,Research and Development Exp.,31990000,37547000,50064000,60288000
6,General and Administrative Exp.,138915000,163033000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",138915000,163033000,- -,315672000
9,Other Expenses,- -,- -,257004000,- -
10,Operating Expenses,170905000,200580000,307068000,375960000
11,COGS and Expenses,915763000,1073467000,1544006000,1766166000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),32680000,35548000,35137000,17673000
14,Depreciation and Amortization,36563000,37507000,43234000,45094000
15,EBITDA,58536000,59656000,200413000,177327000
16,EBITDA ratio,0.0624,0.0544,0.1177,0.0931
17,Operating Income,21790000,23707000,158361000,137894000
18,Operating Income ratio,0.0232,0.0216,0.0930,0.0724
19,Total Other Income Expenses (Gains),-32497000,-37106000,-36319000,-23334000
20,Income Before Tax,-10707000,-13399000,122042000,114560000
21,Income Before Tax Ratio,-0.0114,-0.0122,0.0717,0.0602
22,Income Tax expense (Gain),3013000,-5005000,18825000,13600000
23,Net Income,-13720000,-8394000,103217000,100960000
24,Net Income ratio,-0.0146,-0.0077,0.0606,0.0530
25,EPS,-0.15,-0.09,1.20,1.07
26,EPS Diluted,-0.15,-0.09,1.14,1.01
27,Weighted Average Shares Outstanding,91849366,91849366,86256000,93918000
28,Weighted Average Shares Outstanding Diluted,91849366,91849366,90577000,100041000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1743759/000156459021012507/0001564590-21-012507-index.htm,https://www.sec.gov/Archives/edgar/data/1743759/000156459022007822/0001564590-22-007822-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,25639000,48165000,129543000,65149000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,25639000,48165000,129543000,65149000
34,Net Receivables,122042000,202334000,293629000,291287000
35,Inventory,149022000,151063000,226007000,298315000
36,Other Current Assets,19579000,28248000,41792000,51024000
37,Total Current Assets,316282000,429810000,690971000,705775000
38,PP&E,12473000,15365000,16475000,16819000
39,Goodwill,226679000,312750000,312760000,317054000
40,Intangible Assets,247812000,291027000,259317000,225709000
41,Intangible Assets,474491000,603777000,572077000,542763000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,7747000,10766000,34592000,72039000
45,Total Non-Current Assets,494711000,629908000,623144000,631621000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,810993000,1059718000,1314115000,1337396000
48,Accounts Payable,154842000,182025000,299636000,236120000
49,Short-Term Debt,28611000,2364000,9070000,4753000
50,Tax Payable,4568000,17115000,22445000,- -
51,Deferred Revenue,- -,4222000,- -,- -
52,Other Current Liabilities,35630000,111319000,196675000,205874000
53,Total Current Liabilities,219083000,299930000,505381000,446747000
54,Long-Term Debt,394106000,503448000,321393000,242898000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,34690000,33820000,29752000,25700000
57,Other Non-Current Liabilities,412000,5745000,20199000,53871000
58,Total Non-Current Liabilities,429208000,543013000,371344000,322469000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,9070000,- -
61,Total Liabilities,648291000,842943000,876725000,769216000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,8000,8000,9000,470373000
64,Retained Earnings,-93161000,-106030000,-2813000,98147000
65,Other Comprehensive Income/Loss,-2383000,-2171000,1527000,-340000
66,Other Total Stockholders Equity,258238000,324968000,438667000,- -
67,Total Stockholders Equity,162702000,216775000,437390000,568180000
68,Total Liabilities And Stockholders Equity,810993000,1059718000,1314115000,1337396000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,810993000,1059718000,1314115000,1337396000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1743759/000156459021012507/0001564590-21-012507-index.htm,https://www.sec.gov/Archives/edgar/data/1743759/000156459022007822/0001564590-22-007822-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-13720000,-8394000,103217000,100960000
74,Depreciation and Amortization,36563000,37507000,43234000,45094000
75,Deferred Income Tax,-3017000,-11535000,-7476000,-11962000
76,Stock Based Compensation,2751000,3848000,5796000,17235000
77,Change in Working Capital,-25539000,32681000,55710000,-140752000
