,https://roic.ai/company/NCMI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,219300000,331900000,- -,380700000,427500000,435400000,448800000,462800000,- -,446500000,447600000,426100000,441400000,444800000,90400000,114600000
2,COGS,165100000,97900000,- -,101800000,126700000,132700000,144600000,143300000,- -,30800000,122200000,124700000,132400000,134500000,10300000,18400000
3,Gross Profit,54200000,234000000,- -,278900000,300800000,302700000,304200000,319500000,- -,415700000,325400000,301400000,309000000,310300000,80100000,96200000
4,Gross Profit Ratio,0.2472,0.7050,- -,0.7326,0.7036,0.6952,0.6778,0.6904,- -,0.9310,0.7270,0.7073,0.7000,0.6976,0.8861,0.8394
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,30900000,- -,26300000,35400000,30400000,31500000,29400000,- -,38600000,43800000,37900000,48300000,43800000,30900000,36000000
7,Selling and Marketing Exp.,- -,40000000,- -,50200000,57000000,59800000,60500000,61500000,- -,72300000,72800000,72000000,66500000,64900000,37600000,34700000
8,"Selling, General and Administrative Exp.",- -,70900000,- -,76500000,92400000,90200000,92000000,90900000,- -,110900000,116600000,109900000,114800000,108700000,68500000,70700000
9,Other Expenses,60000000,5700000,- -,34200000,17800000,25500000,20400000,2000000,- -,122500000,47400000,-154600000,36800000,47000000,70900000,94100000
10,Operating Expenses,60000000,76600000,- -,110700000,110200000,115700000,112400000,92900000,- -,233400000,164000000,-44700000,151600000,155700000,139400000,164800000
11,COGS and Expenses,225100000,174500000,- -,212500000,236900000,248400000,257000000,236200000,- -,264200000,286200000,80000000,284000000,290200000,149700000,183200000
12,Interest Income ,- -,- -,- -,2400000,200000,300000,400000,400000,- -,1600000,1500000,1200000,1500000,2100000,600000,100000
13,Interest Expense (Gain),- -,- -,- -,58900000,58900000,49200000,66700000,65500000,- -,66300000,67900000,71300000,55400000,58000000,55800000,64800000
14,Depreciation and Amortization,4800000,6700000,- -,15600000,17800000,18800000,20400000,26600000,- -,32200000,35800000,37600000,39900000,40300000,37700000,35600000
15,EBITDA,-5700000,43700000,- -,117200000,121900000,118900000,127200000,153500000,- -,131700000,145800000,296200000,148600000,146800000,190300000,51700000
16,EBITDA ratio,-0.0260,0.1317,- -,0.3079,0.2851,0.2731,0.2834,0.3317,- -,0.2950,0.3257,0.6951,0.3367,0.3300,2.1051,0.4511
17,Operating Income,-10000000,161500000,- -,168200000,190600000,193700000,191800000,202000000,- -,148000000,173000000,153900000,154300000,161300000,-61000000,-68600000
18,Operating Income ratio,-0.0456,0.4866,- -,0.4418,0.4458,0.4449,0.4274,0.4365,- -,0.3315,0.3865,0.3612,0.3496,0.3626,-0.6748,-0.5986
19,Total Other Income Expenses (Gains),-4800000,-61400000,- -,-49500000,-64000000,-73700000,-99800000,-52000000,- -,-66500000,-64100000,140900000,-50600000,-62200000,96900000,-49800000
20,Income Before Tax,- -,100100000,- -,118700000,126600000,120000000,92000000,150000000,- -,81500000,108900000,294800000,103700000,99100000,35900000,-118400000
21,Income Before Tax Ratio,- -,0.3016,- -,0.3118,0.2961,0.2756,0.2050,0.3241,- -,0.1825,0.2433,0.6919,0.2349,0.2228,0.3971,-1.0332
22,Income Tax expense (Gain),- -,16400000,- -,16600000,16000000,19400000,26700000,20200000,- -,17800000,9200000,129000000,23500000,12400000,162200000,- -
23,Net Income,-10500000,20600000,- -,26100000,29200000,31500000,13400000,41200000,- -,15400000,32900000,58300000,29800000,36100000,-65400000,-48700000
24,Net Income ratio,-0.0479,0.0621,- -,0.0686,0.0683,0.0723,0.0299,0.0890,- -,0.0345,0.0735,0.1368,0.0675,0.0812,-0.7235,-0.4250
25,EPS,-0.25,0.59,- -,0.62,0.63,0.58,0.25,0.74,- -,0.26,0.42,0.02,0.39,0.47,-0.84,-0.61
26,EPS Diluted,-0.25,0.59,- -,0.62,0.62,0.58,0.24,0.73,- -,0.26,0.42,0.02,0.37,0.46,-0.84,-0.61
27,Weighted Average Shares Outstanding,42000000,42000000,- -,42096774,46349206,53864243,54377135,56014404,- -,58979508,59788026,65226817,76859087,77345577,77955675,79867332
28,Weighted Average Shares Outstanding Diluted,93876553,42182811,- -,42096774,47096774,54634697,55026771,56628457,- -,59589299,60605570,65719768,157403910,77782567,77955675,79867332
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1377630/000119312508049510/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1377630/000119312510050498/0001193125-10-050498-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000119312511046263/d10k.htm,https://www.sec.gov/Archives/edgar/data/1377630/000119312512076198/0001193125-12-076198-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000119312513069795/0001193125-13-069795-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000119312514062920/d630896d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1377630/000156459016013464/0001564590-16-013464-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000156459017002300/0001564590-17-002300-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000156459018006130/0001564590-18-006130-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000137763019000040/0001377630-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000137763020000041/0001377630-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/1377630/000137763021000079/0001377630-21-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1377630/000137763022000032/0001377630-22-000032-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6700000,20800000,- -,91100000,74400000,65900000,72400000,54700000,- -,31700000,23000000,30200000,41400000,55900000,180300000,101200000
32,Short-Term Investments,- -,9100000,- -,- -,8500000,14200000,34200000,71300000,- -,13200000,26100000,13100000,24000000,17500000,300000,300000
33,Cash and Short-Term Investments,6700000,29900000,- -,91100000,82900000,80100000,106600000,126000000,- -,44900000,49100000,43300000,65400000,73400000,180600000,101500000
34,Net Receivables,63900000,94900000,- -,89300000,100700000,98600000,106800000,132200000,- -,155600000,168500000,165000000,161600000,177400000,16200000,53000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1600000,2300000,- -,4600000,5600000,5300000,7300000,7300000,- -,9300000,3500000,4300000,3900000,3500000,3100000,3900000
37,Total Current Assets,72200000,127100000,- -,185000000,189200000,184000000,220700000,265500000,- -,209800000,221100000,212600000,230900000,254300000,199900000,158400000
38,PP&E,12600000,22200000,- -,23700000,19800000,24600000,25700000,25600000,- -,25100000,29600000,30700000,33600000,33200000,27500000,21300000
