,https://roic.ai/company/JCTCF,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,31800000,26000000,28800000,26200000,29100000,24490000,22110000,43630000,55370000,71340000,74620000,76100000,69040000,64320000,42130000,41570000,42060000,45950000,49290000,42340000,42238150,48111000,47701060,53923150,45446360,44945263,57501543
2,COGS,28200000,22400000,25500000,22700000,24810000,20630000,17880000,36510000,47660000,63100000,65330000,64770000,57920000,52930000,33230000,32500000,33930000,37310000,39460000,33960000,33821110,38374410,36621770,42325340,35481930,32472080,43354897
3,Gross Profit,3600000,3600000,3300000,3500000,4290000,3860000,4230000,7120000,7710000,8240000,9290000,11330000,11120000,11390000,8900000,9070000,8130000,8640000,9830000,8380000,8417040,9736590,11079290,11597810,9964430,12473183,14146646
4,Gross Profit Ratio,0.1132,0.1385,0.1146,0.1336,0.1474,0.1576,0.1913,0.1632,0.1392,0.1155,0.1245,0.1489,0.1611,0.1771,0.2113,0.2182,0.1933,0.1880,0.1994,0.1979,0.1993,0.2024,0.2323,0.2151,0.2193,0.2775,0.2460
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,2730000,2340000,3250000,5490000,6640000,6670000,7390000,7840000,6780000,6700000,5930000,5550000,5030000,4830000,4900000,5020000,5211690,5845180,6366320,7047330,7035060,2502989,10162675
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2400000,2700000,2200000,2700000,2900000,2465394,3244858,5776345,6635838,6668255,7385922,7839454,7404948,6702358,5925990,5549165,5028571,4832045,4900916,5017258,5211692,5845178,6366318,7047330,7035062,8397335,10162675
9,Other Expenses,100000,100000,200000,100000,- -,125323,242187,- -,333123,352933,376298,286434,315302,313561,316964,264303,261542,244216,256487,276340,281762,276268,275214,274065,191819,217712,244279
10,Operating Expenses,2500000,2800000,2400000,2800000,2900000,2590717,3487045,5776345,6968961,7021188,7762220,8125888,7720250,7015919,6242954,5813468,5290113,5076261,5157403,5293598,5493454,6121446,6641532,7321395,7226881,8615047,10406954
11,COGS and Expenses,30700000,25200000,27900000,25500000,27920000,23370000,21370000,42280000,54630000,70120000,73090000,72890000,65010000,59950000,39470000,38310000,40180000,40940000,44610000,39250000,39314570,44611840,43263310,49646730,42708810,34975069,53761851
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,2048,- -,- -,- -,- -,- -,5445,12223,- -,13968,37383,27086,31993,15164,27894,30026,45228,24420,- -
13,Interest Expense (Gain),- -,200000,- -,- -,- -,- -,- -,- -,346030,- -,- -,- -,234589,- -,43363,16231,440756,743,- -,- -,- -,27,- -,- -,- -,- -,2871
14,Depreciation and Amortization,100000,100000,200000,100000,170000,125323,220070,287102,333123,352933,377298,286434,315302,313561,316964,264303,261542,244216,256487,276340,281762,276268,275214,274065,191819,217712,244279
15,EBITDA,800000,900000,1000000,400000,1290000,1185323,850070,1577102,1079153,1222933,1777298,3956434,4349891,4523561,2980327,3540534,2132298,5208733,5167427,3382538,3264009,3796189,4760477,4482980,3079959,4106868,4671358
16,EBITDA ratio,0.0252,0.0346,0.0347,0.0153,0.0443,0.0484,0.0384,0.0361,0.0195,0.0171,0.0238,0.0520,0.0630,0.0703,0.0707,0.0852,0.0507,0.1134,0.1048,0.0799,0.0773,0.0789,0.0998,0.0831,0.0678,0.0914,0.0812
17,Operating Income,1100000,800000,900000,700000,1400000,1400978,745359,1342016,739326,1219174,1525882,3202550,4025023,4372883,2658805,3259102,2836248,3563140,4673690,3084598,2923583,3615146,4437751,4276419,2737550,3858136,3739692
18,Operating Income ratio,0.0346,0.0308,0.0313,0.0267,0.0481,0.0572,0.0337,0.0308,0.0134,0.0171,0.0204,0.0421,0.0583,0.0680,0.0631,0.0784,0.0674,0.0775,0.0948,0.0729,0.0692,0.0751,0.0930,0.0793,0.0602,0.0858,0.0650
19,Total Other Income Expenses (Gains),-400000,-200000,-100000,-400000,-280000,-340978,-105359,-52016,-339326,-349174,-125882,467450,-225023,-162883,-38805,898,-1406248,1456860,386310,35402,31997,-95256,27499,3001,150590,31020,684516
20,Income Before Tax,700000,600000,800000,300000,1120000,1060000,640000,1290000,400000,870000,1400000,3670000,3800000,4210000,2620000,3260000,1430000,5020000,5060000,3120000,2955580,3519890,4465250,4279420,2888140,3889156,4424208
21,Income Before Tax Ratio,0.0220,0.0231,0.0278,0.0115,0.0385,0.0433,0.0289,0.0296,0.0072,0.0122,0.0188,0.0482,0.0550,0.0655,0.0622,0.0784,0.0340,0.1092,0.1027,0.0737,0.0700,0.0732,0.0936,0.0794,0.0636,0.0865,0.0769
22,Income Tax expense (Gain),300000,300000,300000,200000,530000,450000,-80000,450000,100000,300000,470000,1330000,1500000,1600000,1040000,1280000,530000,1903774,1780940,1246198,1208277,1394794,1758603,1288275,787690,- -,969255
23,Net Income,400000,300000,500000,100000,590000,610000,710000,840000,300000,570000,930000,2340000,2300000,2610000,1580000,1980000,900000,3060000,3130000,1860000,1773970,2125100,2726660,2920640,2100450,3889156,3454953
24,Net Income ratio,0.0126,0.0115,0.0174,0.0038,0.0203,0.0249,0.0321,0.0193,0.0054,0.0080,0.0125,0.0307,0.0333,0.0406,0.0375,0.0476,0.0214,0.0666,0.0635,0.0439,0.0420,0.0442,0.0572,0.0542,0.0462,0.0865,0.0601
25,EPS,0.01,0.03,0.05,0.01,0.06,0.07,0.08,0.09,0.03,0.07,0.10,0.26,0.24,0.27,0.17,0.21,0.11,0.45,0.50,0.32,0.34,0.43,0.60,0.66,0.50,0.77,0.99
26,EPS Diluted,0.01,0.03,0.05,0.01,0.06,0.06,0.08,0.09,0.03,0.06,0.10,0.26,0.24,0.27,0.17,0.21,0.11,0.45,0.50,0.32,0.34,0.43,0.60,0.66,0.50,0.77,0.99
27,Weighted Average Shares Outstanding,51377561,9301028,10454674,9990010,10384615,9130185,8902450,9015975,8807952,8783154,8872482,9188688,9513524,9561136,9563908,9559576,8242348,6888424,6271018,5936440,5163700,4871300,4545044,4430940,4233304,3623413,3486537
28,Weighted Average Shares Outstanding Diluted,59940808,9633215,10964672,11238796,10588235,9445019,9156806,9471447,9220842,9160122,9293070,9188688,9516340,9564016,9563908,9559576,8242348,6888424,6271018,5936440,5163700,4871300,4545044,4430940,4233304,3623413,3486537
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885307/000102589400000335/0001025894-00-000335-index.html,https://www.sec.gov/Archives/edgar/data/885307/000102589401500397/0001025894-01-500397-index.html,- -,https://www.sec.gov/Archives/edgar/data/885307/000121716003000068/jewettcameronform10k2003.htm,https://www.sec.gov/Archives/edgar/data/885307/000121716004000132/jcfy2004form10k.htm,https://www.sec.gov/Archives/edgar/data/885307/000121716005000159/jewettcameronfy200510k.htm,https://www.sec.gov/Archives/edgar/data/885307/000121716006000161/jcfiscal200610k.htm,https://www.sec.gov/Archives/edgar/data/885307/000121716007000253/0001217160-07-000253-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716008000240/0001217160-08-000240-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716009000331/0001217160-09-000331-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716010000206/0001217160-10-000206-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716011000205/0001217160-11-000205-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716012000352/0001217160-12-000352-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716013000312/0001217160-13-000312-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716014000207/0001217160-14-000207-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716015000338/0001217160-15-000338-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716016000703/0001217160-16-000703-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716017000198/0001217160-17-000198-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716018000158/0001217160-18-000158-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716019000103/0001217160-19-000103-index.html,https://www.sec.gov/Archives/edgar/data/885307/000121716020000094/0001217160-20-000094-index.htm,https://www.sec.gov/Archives/edgar/data/885307/000105291821000395/0001052918-21-000395-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,220000,210000,320000,470000,240000,290000,610000,150000,260000,5760000,6830000,8710000,6770000,7310000,8310000,4330000,4416300,4519920,5912250,6097460,9652310,3801037,1184313
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,220000,210000,320000,470000,240000,290000,610000,150000,260000,5760000,6830000,8710000,6770000,7310000,8310000,4330000,4416300,4519920,5912250,6097460,9652310,3801037,1184313
34,Net Receivables,- -,- -,- -,- -,2490000,2540000,1870000,6100000,6730000,6600000,6440000,6830000,6450000,5410000,3650000,3920000,3940000,3110000,3360000,2460000,3689560,3342200,3565060,4156490,2837150,6274426,7086503
35,Inventory,- -,- -,- -,- -,2670000,2620000,2400000,4700000,8660000,10070000,7770000,8750000,10880000,8070000,6950000,6270000,5820000,7090000,8520000,9150000,8351580,8069020,8807550,9803200,6377810,9198146,14391365
36,Other Current Assets,- -,- -,- -,- -,30000,30000,60000,100000,200000,130000,60000,130000,190000,150000,200000,50000,1530000,390000,860000,1310000,746020,833490,595770,461560,616950,1036128,2558778
37,Total Current Assets,- -,- -,- -,- -,5410000,5400000,4650000,11370000,15830000,17090000,14880000,15860000,17780000,19390000,17630000,18950000,18060000,17900000,21050000,17250000,17203460,16764630,18880630,20518710,19484220,20309737,25220959
38,PP&E,- -,- -,- -,- -,1510000,1340000,2820000,2860000,2590000,2790000,2480000,2220000,2030000,1860000,1870000,1930000,1850000,2000000,2240000,2150000,2231710,2954600,3222570,3105260,2727410,2967565,3886543
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,820000,740000,660000,590000,510000,440000,370000,300000,223250,150540,77840,3590,3050,659,30897
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,820000,740000,660000,590000,510000,440000,370000,300000,223250,150540,77840,3590,3050,659,30897
42,Investments,- -,- -,- -,- -,70000,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,60000,34300,31350,11340,81850,61200,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,230000,120000,210000,170000,90000,50000,180000,150000,120000,190000,270000,190000,160000,100000,-50000,-70000,-34300,-31350,-11340,-81850,-61200,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,1810000,1540000,3030000,3030000,2680000,2840000,2660000,2370000,2970000,2790000,2800000,2710000,2520000,2540000,2610000,2440000,2454960,3105140,3300410,3108850,2730460,2968224,3917440
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,7220000,6940000,7680000,14400000,18510000,19930000,17540000,18230000,20750000,22180000,20430000,21660000,20580000,20440000,23660000,19690000,19658420,19869770,22181040,23627560,22214680,23277961,29138399
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1730000,2380000,2430000,2520000,2110000,1590000,1000000,470000,520000,1580000,1720000,240000,984960,839970,638130,377090,410030,1095061,1349677
49,Short-Term Debt,- -,- -,- -,- -,100000,- -,297960,2965639,6007088,8148844,2133063,59432,364955,367807,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342326,3000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8133,- -,37203,- -,- -,- -,- -,- -,- -,- -,40596,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,95700000,45700000,177100000,142900000,119700000,192870000,261780000,198582000,157862000,101573000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,1130000,790000,682040,4024361,-94977088,-44688844,-175783063,-141329432,-118104955,-191627807,-260960000,-197442000,-155292000,-100183000,1290000,1190000,1115020,1473790,1807190,1795210,1312580,2056896,1798088
53,Total Current Liabilities,- -,- -,- -,- -,1230000,790000,980000,6990000,8460000,11540000,5880000,4150000,4070000,3200000,1820000,1610000,3090000,2970000,3010000,1430000,2099980,2313760,2445320,2172300,1722610,3494283,6147765
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2260000,- -,2140000,2080000,2320000,1950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101573,50393,60972,34300,31353,11344,81853,61204,- -,116945
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-393,-972,- -,7,-4,-3,-4,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2260000,- -,2140000,2080000,2320000,1950000,- -,- -,- -,- -,50000,60000,34300,31360,11340,81850,61200,- -,116945
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435333,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,1230000,790000,980000,6990000,10720000,11540000,8020000,6230000,6390000,5150000,1820000,1610000,3090000,2970000,3060000,1490000,2134280,2345120,2456660,2254150,1783810,3929616,6264710
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1930000,1800000,1800000,1710000,1780000,1800000,1880000,2140000,2200000,2260000,2260000,2180000,1800000,1480000,1480000,1280000,1168710,1078760,1054320,1017910,936900,- -,823171
64,Retained Earnings,- -,- -,- -,- -,3790000,4110000,4820000,5370000,5430000,6000000,6930000,9270000,11560000,14170000,15760000,17260000,15090000,15390000,18520000,16320000,15754620,15845090,18069250,19754700,18875260,17908354,21363307
