,https://roic.ai/company/UMC,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,34339427071,115609328037,69816793270,75604907183,95541263723,129395463112,100575944390,111986525987,113317340277,96906042391,91389765000,126441544000,116702723000,115674763000,123811636000,140012076000,144830421000,147870124000,149284706000,151252571000,148201641000,176820914000,213011018000
2,COGS,25273340771,57062180637,60567910820,63037011060,73812297704,92538729025,90878223660,90624308430,89773071839,81206549642,75974607000,89517205000,95416529000,96262902000,100248661000,108159398000,113061894000,117490694000,122226948000,128412544000,126886669000,137823813000,140961389000
3,Gross Profit,9066086300,58547147400,9248882451,12567896123,21728966019,36856734088,9697720730,21362217557,23544268438,15699492749,15415158000,36924339000,21286194000,19411861000,23562975000,31852678000,31768527000,30379430000,27057758000,22840027000,21314972000,38997101000,72049629000
4,Gross Profit Ratio,0.2640,0.5064,0.1325,0.1662,0.2274,0.2848,0.0964,0.1908,0.2078,0.1620,0.1687,0.2920,0.1824,0.1678,0.1903,0.2275,0.2193,0.2054,0.1812,0.1510,0.1438,0.2205,0.3382
5,Research and Development Exp.,3186522208,6306257748,8959686605,7385669842,5848693150,7375277087,9658587580,9417414765,9631737334,8281978122,8044155000,8740479000,9395066000,9786831000,12493051000,13663874000,12174824000,13532356000,13669589000,13025139000,11860244000,12895501000,12934836000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2723288000,3598361000,3341672000,3371646000,3665472000,3562029000,3730259000,5800810000,4239713000,4940906000,5318576000,6664166000,7989860000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800226000,2565821000,3369589000,2748753000,3247000000,4011478000,4064053000,4589563000,4233830000,3901912000,3807610000,4152242000,4671599000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5523514000,6164182000,6711261000,6120399000,6912472000,7573507000,7794312000,10390373000,8473543000,8842818000,9126186000,10816408000,12661459000
9,Other Expenses,1725738938,4697483049,6701434531,5069704538,6156876535,7640506872,8146929900,6786960476,7793312287,6544576001,- -,- -,- -,- -,70871000,- -,-44402000,-260710000,-1749490000,-4570904000,-4403988000,-5309855000,-4902051000
10,Operating Expenses,4912261145,11003740798,15661121136,12455374380,12005569685,15015783959,17805517480,16204375241,17425049621,14826554123,13567669000,14904661000,16106327000,15907230000,19476394000,21237381000,19924734000,23662019000,20393642000,17297053000,16582442000,18402054000,20694244000
11,COGS and Expenses,30185601916,68065921435,76229031956,75492385440,85817867389,107554512983,108683741140,106828683671,107198121460,96033103764,89542276000,104421866000,111522856000,112170132000,119725055000,129396779000,132986628000,141152713000,142620590000,145709597000,143469111000,156225867000,161655633000
12,Interest Income ,- -,2018940228,2487482876,1648000062,1139320971,1042313752,1057877565,1562449312,1330479292,686912758,170495000,143480000,229244000,211371000,301726000,495730000,356084000,293790000,353159000,- -,- -,737913000,- -
13,Interest Expense (Gain),- -,2367417020,2525944420,1458852229,1323905026,1437083945,1101713270,648310563,181260939,71217391,149212000,16800000,306015000,538269000,596232000,687178000,470310000,1249583000,2406872000,2768672000,2933815000,2004418000,1868089000
14,Depreciation and Amortization,6716317354,25580030964,36267522705,38358401438,40774604158,47237114083,54686472485,46063416991,39079780606,38383282898,34229795000,30495633000,32370799000,35737575000,38432312000,40657354000,45472109000,51983601000,53098846000,52048719000,49389535000,48908076000,47074574000
15,EBITDA,18246168436,78636748361,32596158540,47177497421,57072771797,80942437818,62900290475,82587095240,59033726806,17110963620,37601967000,56017452000,44199944000,46224330000,53894259000,55578587000,60223990000,62406855000,66174897000,61365249000,60708793000,75464321000,111414312000
16,EBITDA ratio,0.5313,0.6802,0.4669,0.6240,0.5974,0.6255,0.6254,0.7375,0.5210,0.1766,0.4114,0.4430,0.3787,0.3996,0.4353,0.3970,0.4158,0.4220,0.4433,0.4057,0.4096,0.4268,0.5230
17,Operating Income,4153825155,47543406602,-6412238686,112521743,9723396334,21840950129,-8107796750,5157842316,6119218816,872938627,1847489000,22019678000,5179867000,3504631000,4032120000,10076332000,10835657000,6193576000,6568321000,5679717000,4883545000,21931227000,51686286000
18,Operating Income ratio,0.1210,0.4112,-0.0918,0.0015,0.1018,0.1688,-0.0806,0.0461,0.0540,0.0090,0.0202,0.1741,0.0444,0.0303,0.0326,0.0720,0.0748,0.0419,0.0440,0.0376,0.0330,0.1240,0.2426
19,Total Other Income Expenses (Gains),7376025927,3145893775,214930101,7247722011,4947368802,9953914083,13728106330,31423934934,13552182152,-22880097865,-174489000,3363943000,4200484000,4498328000,10308352000,3495971000,2832941000,-1472490000,1103389000,-3561797000,-76949000,611523000,10117118000
20,Income Before Tax,11529851082,50689300378,-6197308585,7360243754,14670765136,31794864212,5620309580,36581777250,19671400968,-22007159238,1673000000,25383621000,9380351000,8002959000,14340472000,13572303000,13668598000,4721086000,7671710000,2117920000,4806596000,22542750000,61803404000
21,Income Before Tax Ratio,0.3358,0.4385,-0.0888,0.0974,0.1536,0.2457,0.0559,0.3267,0.1736,-0.2271,0.0183,0.2008,0.0804,0.0692,0.1158,0.0969,0.0944,0.0319,0.0514,0.0140,0.0324,0.1275,0.2901
22,Income Tax expense (Gain),843807459,-91059595,-3040000438,271373923,977792945,374389845,67216940,3261103798,2810014814,997864705,-651068000,1606114000,913435000,2129038000,2256834000,3125115000,1027500000,552524000,992481000,-1129877000,230346000,1691083000,6691394000
23,Net Income,10686043624,50780359973,-3157308147,7088869831,13996469669,31893849946,7044887780,32614263888,16962670447,-22341401374,3874028000,23898905000,10609695000,7819448000,12608881000,11108940000,13254071000,8621147000,9676698000,7677735000,8155097000,22860744000,55780255000
24,Net Income ratio,0.3112,0.4392,-0.0452,0.0938,0.1465,0.2465,0.0700,0.2912,0.1497,-0.2305,0.0424,0.1890,0.0909,0.0676,0.1018,0.0793,0.0915,0.0583,0.0648,0.0508,0.0550,0.1293,0.2619
25,EPS,5.20,19.69,-1.19,2.63,5.25,11.66,2.61,12.42,5.21,-8.51,1.55,9.55,4.20,3.10,5.05,4.85,5.40,3.40,3.95,2.90,4.10,12.10,22.85
26,EPS Diluted,5.20,19.69,-1.19,2.63,5.13,11.48,2.61,12.01,5.07,-8.51,1.50,9.35,4.05,2.95,4.75,4.80,5.10,3.15,3.70,2.75,3.80,11.75,22.40
27,Weighted Average Shares Outstanding,1831287507,2594347710,2692687152,2690778184,2684013243,2731267386,2683146863,2630687484,3264051411,2622197000,2539814400,2499297000,2512249800,2524963400,2501502400,2498994000,2501502200,2457891200,2441648000,2420776000,2357021600,2414593800,2443669400
28,Weighted Average Shares Outstanding Diluted,1831287507,2594347710,2692687152,2725672864,2745506082,2774544332,2724066666,2721700776,3359011076,2634078000,2557289600,2553518000,2648336000,2691233600,2662293400,2575930000,2668385800,2708176800,2697231200,2696998000,2634176800,2494633400,2491613600
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
