,https://roic.ai/company/CHNR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2108302752,1827307680,1149208480,527365930,476254499,6944616,10090980,9163835,3046359,3973512,3891427,145337603,126100291,846084000,107750000,100813000,148151000,156667000,41360000,8303000,18342000,- -,- -,- -,12969000,6867000
2,COGS,- -,1677106640,1092907200,510808130,467827413,6390700,9834359,8501588,2773180,3377485,3326282,36773010,38585433,790858000,95636000,58832000,95534000,104925000,25101000,6563000,31936000,- -,- -,- -,12752000,6854000
3,Gross Profit,- -,150201040,56301280,16557800,8427085,553916,256620,662246,273179,596027,565145,108564593,87514858,55226000,12114000,41981000,52617000,51742000,16259000,1740000,-13594000,- -,- -,- -,217000,13000
4,Gross Profit Ratio,- -,0.0822,0.0490,0.0314,0.0177,0.0798,0.0254,0.0723,0.0897,0.1500,0.1452,0.7470,0.6940,0.0653,0.1124,0.4164,0.3552,0.3303,0.3931,0.2096,-0.7411,- -,- -,- -,0.0167,0.0019
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66587000,92090000,73668000,96759000,17906000,12226000,18894000,15014000,6204000,6207000,5814000,7140000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3282000,3887000,124000,80000,31000,23000,- -,- -,2000,2000
8,"Selling, General and Administrative Exp.",- -,50620240,33118400,35599270,23857427,19403588,15223389,11158852,6399010,8021527,6733299,14168058,52552746,78712000,66587000,92090000,76950000,100646000,18030000,12306000,18925000,15037000,6204000,6207000,5816000,7142000
9,Other Expenses,- -,1659680,1655920,1655780,1092707,3844341,14776373,836086,190397,248345,258352,- -,- -,- -,- -,9031000,1545000,5033000,1450000,-173000,6000,3592000,- -,- -,- -,- -
10,Operating Expenses,- -,52279920,34774320,37255050,24950133,23247929,29999762,11994938,6589407,8269872,6991651,14168058,52552746,78712000,66587000,101121000,78495000,105679000,19480000,12133000,18931000,18629000,6204000,6207000,5816000,7142000
11,COGS and Expenses,- -,1729386560,1127681520,548063180,492777546,29638629,39834121,20496526,9362588,11647357,10317933,50941068,91138178,869570000,162223000,159953000,174029000,210604000,44581000,18696000,50867000,18629000,6204000,6207000,18568000,13996000
12,Interest Income ,- -,- -,- -,- -,- -,- -,1316215,670524,314570,16556,- -,904510,4521845,4265000,2654000,1112000,1713000,2622000,1814000,1602000,1056000,194000,39000,26000,16000,18000
13,Interest Expense (Gain),- -,19916160,- -,- -,- -,- -,- -,- -,- -,- -,209911,- -,- -,1835000,- -,6007000,32215000,43773000,360000,- -,- -,- -,14000,- -,60000,38000
14,Depreciation and Amortization,- -,1659680,1655920,1655780,1092707,3844341,7508219,844364,190397,248345,258352,3150190,3564879,18290000,16033000,12894000,15388000,19056000,27502000,9115000,1830000,2655000,1748000,67000,1253000,1041000
15,EBITDA,20824800,71366240,29806560,-51329180,-5902271,-16443859,-21059436,-59312443,-31539752,-22185442,-13369716,90825280,40389787,104554000,72611000,605520000,-4337000,-43049000,-305400000,-27194000,-32173000,-11378000,-4417000,-6151000,-4332000,25242000
16,EBITDA ratio,0.0099,0.0391,0.0259,-0.0973,-0.0124,-2.3679,-2.0870,-6.4724,-10.3533,-5.5833,-3.4357,0.6249,0.3203,0.1236,0.6739,6.0064,-0.0293,-0.2748,-7.3839,-3.2752,-1.7541,-Infinity,-Infinity,-Infinity,-0.3340,3.6758
17,Operating Income,- -,97921120,- -,20697250,- -,22694013,29743141,11332692,6316228,7682123,6426506,94396535,34962113,23486000,54473000,59140000,- -,-52985000,-2875000,-27376000,-34175000,-20548000,-6204000,-6207000,-5599000,-7129000
18,Operating Income ratio,- -,0.0536,- -,0.0392,- -,3.2679,2.9475,1.2367,2.0734,1.9333,1.6515,0.6495,0.2773,0.0278,0.5055,0.5866,- -,-0.3382,-0.0695,-3.2971,-1.8632,-Infinity,-Infinity,-Infinity,-0.4317,-1.0382
19,Total Other Income Expenses (Gains),- -,-48130720,6623680,-43878170,10339322,-42982213,-327447732,-71489499,-23087760,-30107632,-20264485,5832530,1862795,60943000,-117750000,523360000,-26203000,-44637000,3732000,992000,172000,-2488000,25000,31000,-46000,31292000
20,Income Before Tax,- -,49790400,28150640,- -,- -,-20288200,-297704591,-60156807,- -,-22425508,-13837979,100229065,36824908,84429000,-63277000,582500000,-52081000,-97622000,857000,-26384000,-34003000,-23036000,-6179000,-6176000,-5645000,24163000
21,Income Before Tax Ratio,- -,0.0272,0.0245,- -,- -,-2.9214,-29.5021,-6.5646,- -,-5.6438,-3.5560,0.6896,0.2920,0.0998,-0.5873,5.7780,-0.3515,-0.6231,0.0207,-3.1776,-1.8538,-Infinity,-Infinity,-Infinity,-0.4353,3.5187
22,Income Tax expense (Gain),- -,14107280,9935520,- -,- -,2885323,1581113,49668,- -,8278,32294,15150543,12060687,8402000,2438000,12224000,14035000,-16175000,2142000,6839000,1504000,- -,- -,- -,- -,-1416000
23,Net Income,20824800,35683120,18215120,-52984960,-6994978,-23173522,-30148767,-60206476,-31730149,-22442065,-13870273,72524548,24764221,76027000,54140000,574395000,-65975000,-89703000,-335404000,-43148000,-35507000,-23036000,-29996000,-6176000,-5645000,25579000
24,Net Income ratio,0.0099,0.0195,0.0159,-0.1005,-0.0147,-3.3369,-2.9877,-6.5700,-10.4158,-5.6479,-3.5643,0.4990,0.1964,0.0899,0.5025,5.6976,-0.4453,-0.5726,-8.1094,-5.1967,-1.9358,-Infinity,-Infinity,-Infinity,-0.4353,3.7249
25,EPS,129.95,95.48,3.05,-8.79,-11.80,-32.38,-35.99,-71.90,-32.95,-18.79,-11.11,6.35,1.86,3.94,2.58,25.59,-2.79,-3.60,-13.46,-1.73,-1.43,-0.92,-1.20,-0.25,-0.23,0.90
26,EPS Diluted,129.95,95.48,3.04,-8.79,-11.80,-32.38,-35.99,-71.90,-32.95,-18.79,-11.11,5.25,1.43,3.41,2.48,25.25,-2.79,-3.60,-13.46,-1.73,-1.43,-0.92,-1.20,-0.25,-0.23,0.90
27,Weighted Average Shares Outstanding,123077,150000,605263,625000,592932,715660,837781,837371,963102,1194124,1247939,11402372,13290471,19276019,21004238,22443416,23613238,24910916,24918574,24910916,24910916,24910916,24910916,24910916,24910916,28308653
28,Weighted Average Shares Outstanding Diluted,123077,150000,605263,625000,592932,715660,837781,837371,963102,1194124,11732298,13798731,17347024,22278600,21817907,22751864,23613238,24910916,24918574,24910916,24910916,24910916,24910916,24910916,24910916,28308653
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/793628/0000950144-97-008211-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793628/000111650208000877/cnri20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000094344009000378/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000094344010000374/china_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000094344011000340/chnr20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000094344012000399/chnr20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335013000092/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335014000459/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335015000381/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335016001949/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335017000769/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335018000439/chnr_20f.htm,https://www.sec.gov/Archives/edgar/data/793628/000155335019000453/chnr_20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,131114720,124194000,129150840,38128836,37492659,7632390,4081093,10471860,12036430,1299834,136947493,484217228,120888000,186582000,126685000,136587000,210944000,76591000,48263000,32840000,19228000,18878000,6793000,3444000,2450000
32,Short-Term Investments,- -,- -,- -,- -,57019415,62303126,5744988,1183765,596027,57947,4262808,- -,- -,- -,- -,- -,- -,23650000,3758000,- -,- -,- -,- -,- -,- -,138674000
33,Cash and Short-Term Investments,- -,131114720,124194000,129150840,95148252,99795785,13377377,5264859,11067887,12094377,5562642,136947493,484217228,120888000,186582000,126685000,136587000,234594000,80349000,48263000,32840000,19228000,18878000,6793000,3444000,141124000
34,Net Receivables,- -,53109760,11591440,103486250,144733951,11797580,21655457,10413825,1961922,1051325,734689,1107245,15515990,172613000,239828000,30545000,53268000,81184000,5574000,614000,488000,6127000,10473000,616000,3975000,22000
35,Inventory,- -,55599280,62097000,10762570,8112518,1884967,612578,645690,- -,- -,- -,5232123,4638726,66245000,4187000,11454000,11787000,18403000,4727000,13511000,3923000,10557000,- -,- -,- -,- -
36,Other Current Assets,- -,445624080,83623960,- -,-0,14658100,-0,190396,2086094,-0,- -,- -,-0,29486000,51167000,8230000,54091000,13074000,2906561000,136000,136000,330000,60000,59000,49000,45000
37,Total Current Assets,- -,685447840,281506400,243399660,247994721,128136433,35645412,16514770,15115902,13145702,6297330,143286860,504371944,389232000,481764000,176914000,255733000,347255000,2997211000,62524000,37387000,36242000,29411000,7468000,7468000,141191000
38,PP&E,- -,6638720,7451640,7451010,11398916,13285712,7276432,6465180,1266557,1125828,888085,37420203,37811094,242463000,198456000,1823992000,2053173000,2349914000,21488000,13632000,10296000,54523000,337000,275000,830000,1237000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,831571,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,829840,827960,827890,- -,7854030,- -,- -,6291394,1597683,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,829840,827960,827890,- -,7854030,- -,- -,6291394,1597683,831571,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141951000,12856000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1695000,2825000,6916000,1536000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,12447600,148204840,119216160,117614961,184131533,114320285,66108747,43990089,31001672,24712984,- -,40535889,39290000,- -,36227000,106437000,150175000,4329000,3880000,3957000,4028000,- -,- -,- -,- -
45,Total Non-Current Assets,- -,19916160,156484440,127495060,129013877,205271275,121596717,72573927,51548040,33725183,26432639,37420203,78346983,423704000,211312000,1861914000,2162435000,2507005000,27353000,17512000,14253000,58551000,337000,275000,830000,1237000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,103096080,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,705364000,437990840,370894720,377008597,333407707,157242130,89088697,66663942,46870885,32729969,180707063,582718927,812936000,693076000,2038828000,2418168000,2854260000,3024564000,80036000,51640000,94793000,29748000,7743000,8298000,142428000
48,Accounts Payable,- -,25725040,20699000,12418350,15248223,752333,248342,256620,463576,513245,435969,1232005,993491,7361000,17851000,82897000,117352000,104199000,944000,1462000,921000,2736000,215000,100000,3896000,100000
49,Short-Term Debt,- -,292103680,- -,- -,- -,18543778,- -,- -,149007,182119,169544,- -,- -,9977000,- -,100000000,225000000,443900000,- -,- -,- -,- -,- -,- -,803000,745000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11341000,2198000,22034000,23923000,24143000,20725000,20214000,22288000,22627000,16792000,16788000,16818000,10205000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15261000,339000,1306000,4207000,13431000,43000,76000,334000,23000,- -,- -,- -,- -
52,Other Current Liabilities,- -,65557360,43053920,62091750,69991166,29307933,17392246,9395621,5397354,3120863,2962975,48983895,46065834,63155000,113647000,144258000,238487000,536349000,2567157000,36289000,58022000,73537000,45038000,29441000,31153000,30070000
