,https://roic.ai/company/MACK,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,2148000,20305000,34215000,48921000,47786000,102756000,89258000,144273000,- -,- -,- -,- -,- -
2,COGS,37658000,58278000,100630000,- -,- -,- -,46000,6912000,- -,- -,- -,- -,- -
3,Gross Profit,-35510000,-37973000,-66415000,-76937000,-99353000,102756000,89212000,137361000,- -,- -,- -,- -,- -
4,Gross Profit Ratio,-16.5317,-1.8701,-1.9411,-1.5727,-2.0791,1.0000,0.9995,0.9521,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,125858000,147139000,138495000,160988000,160917000,67314000,49974000,11100000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,15805000,21187000,30517000,57795000,80729000,28452000,15601000,16169000,5012000,2616000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,15805000,21187000,30517000,57795000,80729000,28452000,15601000,16169000,5012000,2616000
9,Other Expenses,12178000,11381000,14454000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,12178000,11381000,14454000,141663000,168326000,169012000,218783000,241646000,95766000,65575000,27269000,5012000,2616000
11,COGS and Expenses,49836000,69659000,115084000,141663000,168326000,169012000,218829000,248558000,95766000,65575000,27269000,5012000,- -
12,Interest Income ,81000,74000,56000,184000,166000,114000,99000,276000,895000,1299000,777000,50000,20000
13,Interest Expense (Gain),4909000,3726000,13000,553000,10938000,18230000,19232000,43645000,34650000,956000,1528000,- -,- -
14,Depreciation and Amortization,2755000,4379000,5326000,3664000,2589000,3223000,4288000,6249000,5221000,4074000,2228000,- -,- -
15,EBITDA,-44811000,-41999000,-73884000,-87060000,-117398000,-61838000,-124437000,-115070000,-90545000,-61501000,-25041000,-5153000,-2472000
16,EBITDA ratio,-20.8617,-2.0684,-2.1594,-1.7796,-2.4567,-0.6018,-1.3941,-0.7976,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-47688000,-49176000,-80869000,-92742000,-120540000,-66256000,-129571000,-110141000,-95766000,-65575000,-22359000,-2873000,-2472000
18,Operating Income ratio,-22.2011,-2.4219,-2.3636,-1.8958,-2.5225,-0.6448,-1.4516,-0.7634,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-4787000,-983000,1193000,988000,-10145000,-17303000,-18216000,-43377000,-22637000,-2887000,-381000,-141000,20000
20,Income Before Tax,-52475000,-50159000,-79676000,-91754000,-130685000,-83559000,-147787000,-153518000,-118403000,-68462000,-22740000,-3014000,-2452000
21,Income Before Tax Ratio,-24.4297,-2.4703,-2.3287,-1.8756,-2.7348,-0.8132,-1.6557,-1.0641,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),-3402000,- -,- -,- -,- -,- -,- -,-13224000,-42399000,-7695000,-1473000,14000,-3000
23,Net Income,-49073000,-50104000,-79223000,-91277000,-130925000,-83291000,-147957000,-151740000,472028000,-40506000,-17332000,-3028000,-2449000
24,Net Income ratio,-22.8459,-2.4676,-2.3154,-1.8658,-2.7398,-0.8106,-1.6576,-1.0518,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-43.26,-44.17,-76.70,-12.80,-13.20,-8.00,-13.30,-12.10,35.67,-3.03,-1.30,-0.23,-0.18
26,EPS Diluted,-43.26,-44.17,-76.70,-12.80,-13.20,-8.00,-13.30,-12.10,35.67,-3.03,-1.30,-0.23,-0.18
27,Weighted Average Shares Outstanding,1134300,1134300,1134300,7283100,9891900,10441000,11135600,12533400,13232000,13343000,13353000,13380000,13410000
28,Weighted Average Shares Outstanding Diluted,1134300,1134300,1134300,7283100,9891900,10441000,11135600,12533400,13232000,13343000,13353000,13380000,13410000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1274792/000104746912003683/0001047469-12-003683-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000104746913003118/0001047469-13-003118-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000119312514082294/0001193125-14-082294-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000119312515069143/0001193125-15-069143-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000119312516480919/0001193125-16-480919-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459017003026/0001564590-17-003026-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459018005246/0001564590-18-005246-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459019006385/0001564590-19-006385-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459020010531/0001564590-20-010531-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459021012087/0001564590-21-012087-index.htm,https://www.sec.gov/Archives/edgar/data/1274792/000156459022009320/0001564590-22-009320-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,58387000,30713000,50454000,37714000,65086000,35688000,185606000,21524000,93441000,20079000,16580000,14038000,14203000
32,Short-Term Investments,- -,- -,- -,72238000,90116000,88340000,- -,- -,- -,51199000,- -,- -,- -
33,Cash and Short-Term Investments,58387000,30713000,50454000,109952000,155202000,124028000,185606000,21524000,93441000,71278000,16580000,14038000,14203000
34,Net Receivables,1770000,3745000,7426000,9267000,5857000,3313000,6483000,17469000,100000,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,3717000,14554000,- -,- -,- -,- -,- -
36,Other Current Assets,1354000,1830000,7709000,9082000,5585000,4755000,5588000,3888000,1505000,4824000,2112000,2506000,480000
37,Total Current Assets,61511000,36288000,65589000,128301000,166644000,132096000,201394000,57435000,95046000,76102000,18692000,16544000,14683000
38,PP&E,6491000,7458000,6206000,6297000,13364000,14502000,21915000,15765000,6467000,2269000,- -,- -,- -
39,Goodwill,3605000,3605000,3605000,3605000,3605000,3605000,3605000,3605000,- -,- -,- -,- -,- -
40,Intangible Assets,10135000,9815000,9495000,9175000,8045000,7725000,7355000,3977000,- -,- -,- -,- -,- -
41,Intangible Assets,13740000,13420000,13100000,12780000,11650000,11330000,10960000,7582000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,10551000,7428000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,414000,411000,404000,1596000,759000,728000,611000,701000,5262000,2744000,1390000,232000,66000
45,Total Non-Current Assets,20645000,21289000,19710000,20673000,25773000,26560000,33486000,24048000,22280000,12441000,1390000,232000,66000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,82156000,57577000,85299000,148974000,192417000,158656000,234880000,81483000,117326000,88543000,20082000,16776000,14749000
48,Accounts Payable,2270000,1440000,4656000,283000,1889000,2510000,5049000,3384000,2887000,1034000,271000,123000,- -
49,Short-Term Debt,- -,- -,- -,2373000,8248000,13346000,- -,- -,- -,- -,- -,13346000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,5470000,6916000,7837000,10201000,9336000,59275000,50137000,36226000,- -,- -,- -,- -,- -
52,Other Current Liabilities,76354000,7969000,13658000,25663000,38261000,36011000,48560000,48612000,16890000,13761000,2499000,-12699000,562000
53,Total Current Liabilities,84094000,16325000,26151000,38520000,57734000,111142000,103746000,88222000,19777000,14795000,2770000,770000,562000
54,Long-Term Debt,- -,- -,- -,37482000,103427000,106806000,257655000,216861000,- -,14873000,- -,- -,- -
55,Deferred Revenue,56287000,67422000,78056000,6323000,66139000,35682000,51197000,25673000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,810000,1267000,755000,507000,496000,1045000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,132537000,191957000,269741000,72411000,8075000,6670000,5165000,1847000,1265000,56000,- -,- -,- -
58,Total Non-Current Liabilities,188824000,260189000,349064000,116971000,178148000,149654000,315062000,244381000,1265000,14929000,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,1355000,491000,48000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,272918000,276514000,375215000,155491000,235882000,260796000,418808000,332603000,21042000,29724000,2770000,770000,562000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,17364000,111000,118000,958000,1025000,1067000,1159000,1302000,1334000,1334000,1334000,1334000,1334000
64,Retained Earnings,-221512000,-271616000,-350839000,-442116000,-572245000,-655170000,-802232000,-954799000,-482771000,-523277000,-540609000,-543637000,-546092000
