,https://roic.ai/company/MGTI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,3813,79,9200,514152,225086,82000,276000,538000,- -,- -,89000,354000,228000,540000,536000,409000,396000,1056000,104000,313000,3134000,2030000,450000,1440000,883000
2,COGS,- -,- -,- -,- -,-253733,- -,- -,- -,- -,- -,- -,35000,116000,3000,116000,104000,265000,559000,610000,5000,209000,1502000,4191000,510000,1728000,906000
3,Gross Profit,- -,- -,- -,- -,767885,225086,82000,276000,538000,- -,- -,54000,238000,225000,424000,432000,144000,-163000,446000,99000,104000,1632000,-2161000,-60000,-288000,-23000
4,Gross Profit Ratio,- -,- -,- -,- -,1.4935,1.0000,1.0000,1.0000,1.0000,- -,- -,0.6067,0.6723,0.9868,0.7852,0.8060,0.3521,-0.4116,0.4223,0.9519,0.3323,0.5207,-1.0645,-0.1333,-0.2000,-0.0260
5,Research and Development Exp.,- -,- -,- -,- -,2020024,1342934,1239000,2498000,2972000,2363000,2870000,2670000,3665000,1998000,1576000,1144000,83000,73000,188000,- -,297000,346000,47000,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9115000,5507000,- -,17676000,22353000,12816000,7377000,2584000,1764000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161000,380000,- -,198000,238000,55000,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9276000,5887000,- -,17874000,22591000,12871000,7377000,2584000,1764000
9,Other Expenses,214851,130974,28548,6809,7523391,45032153,17567000,10374000,13331000,- -,- -,19307000,26066000,15195000,10181000,7150000,4251000,- -,- -,2821000,- -,- -,- -,- -,1727000,906000
10,Operating Expenses,214851,130974,28548,6809,9543415,46375087,18806000,12872000,16303000,- -,- -,21977000,29731000,17193000,11757000,8294000,4334000,9349000,6075000,2821000,18171000,22937000,12918000,7377000,4311000,2670000
11,COGS and Expenses,214851,130974,28548,6809,9289682,46375087,18806000,12872000,16303000,11663000,15712000,22012000,29847000,17196000,11873000,8398000,4599000,9908000,6685000,2826000,18380000,24439000,17109000,8461000,6039000,3576000
12,Interest Income ,- -,- -,- -,- -,138393,191030,3000,12000,130000,67000,300000,2755000,1842000,397000,76000,28000,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,5605000,1229000,340000
14,Depreciation and Amortization,- -,- -,- -,- -,1513605,20252040,4735000,631000,779000,237000,278000,367000,568000,470000,138000,122000,342000,399000,704000,241000,209000,1111000,3291000,170000,1102000,675000
15,EBITDA,-214851,-2486773,-28469,4162,-7200474,-25592847,-12980000,-9465000,-14251000,-11426000,-15434000,-13433000,-19433000,-25907000,-9849000,-4625000,-3509000,-9803000,-4626000,-4540000,-24314000,-49322000,-20555000,-3006000,-1556000,-524000
16,EBITDA ratio,-Infinity,-652.1828,-360.3671,0.4524,-14.0046,-113.7025,-158.2927,-34.2935,-26.4888,-Infinity,-Infinity,-150.9326,-54.8955,-113.6272,-18.2389,-8.6287,-8.5795,-24.7551,-4.3807,-43.6538,-77.6805,-15.7377,-10.1256,-6.6800,-1.0806,-0.5934
