,https://roic.ai/company/CP,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3716800000,3516500000,3496400000,3655100000,3698600000,3665600000,3660700000,3902900000,4391600000,4583200000,4707600000,4931600000,4303200000,4981500000,5177000000,5695000000,6133000000,6620000000,6712000000,6232000000,6554000000,7316000000,7792000000,7710000000,7995000000
2,COGS,- -,- -,- -,- -,2530253626,1334659274,1151442563,1445583551,1630190706,2188633430,2232481887,2077400000,1639000000,1944800000,2294000000,3488000000,3409000000,3300000000,3032000000,2749000000,2705000000,3413000000,3475000000,3349000000,3571000000
3,Gross Profit,- -,- -,- -,- -,1168346374,2330940726,2509257437,2457316449,2761409294,2394566570,2475118113,2854200000,2664200000,3036700000,2883000000,2207000000,2724000000,3320000000,3680000000,3483000000,3849000000,3903000000,4317000000,4361000000,4424000000
4,Gross Profit Ratio,- -,- -,- -,- -,0.3159,0.6359,0.6855,0.6296,0.6288,0.5225,0.5258,0.5788,0.6191,0.6096,0.5569,0.3875,0.4442,0.5015,0.5483,0.5589,0.5873,0.5335,0.5540,0.5656,0.5533
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1305500000,1275200000,1431000000,1426000000,639000000,614000000,593000000,564000000,509000000,517000000,532000000,556000000,553000000,553000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153000000,159000000,167000000,184000000,180000000,197000000,221000000,222000000,209000000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1305500000,1275200000,1431000000,1426000000,792000000,773000000,760000000,748000000,689000000,714000000,753000000,778000000,762000000,553000000
9,Other Expenses,2914700000,2780500000,3234700000,2809900000,2840283325,2809100000,2919282605,3114505654,3390153695,3454600000,3543400000,491300000,488900000,489600000,490000000,118000000,78000000,222000000,312000000,254000000,285000000,287000000,287000000,182000000,629000000
