,https://roic.ai/company/INST,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,112617000,160975000,209544000,258473000,- -,405361000
2,COGS,33002000,46562000,61843000,82826000,- -,169865000
3,Gross Profit,79615000,114413000,147701000,175647000,- -,235496000
4,Gross Profit Ratio,0.7070,0.7108,0.7049,0.6796,- -,0.5810
5,Research and Development Exp.,35964000,48293000,59391000,83526000,- -,63771000
6,General and Administrative Exp.,21458000,26170000,35602000,56471000,- -,54911000
7,Selling and Marketing Exp.,69991000,83716000,97481000,121643000,- -,162544000
8,"Selling, General and Administrative Exp.",91449000,109886000,133083000,178114000,- -,217455000
9,Other Expenses,9000,36000,- -,- -,- -,- -
10,Operating Expenses,127422000,158215000,192474000,261640000,- -,281226000
11,COGS and Expenses,164255000,209582000,254317000,344466000,- -,451091000
12,Interest Income ,- -,- -,2413000,1795000,- -,29000
13,Interest Expense (Gain),87000,55000,68000,16000,- -,50360000
14,Depreciation and Amortization,4386000,6759000,11535000,19977000,- -,137716000
15,EBITDA,-43562000,-36661000,-31523000,-64446000,- -,65678000
16,EBITDA ratio,-0.3868,-0.2277,-0.1504,-0.2493,- -,0.1620
17,Operating Income,-47807000,-43802000,-44773000,-85993000,- -,-46948000
18,Operating Income ratio,-0.4245,-0.2721,-0.2137,-0.3327,- -,-0.1158
19,Total Other Income Expenses (Gains),-78000,563000,1647000,1554000,- -,-75450000
20,Income Before Tax,-47885000,-43239000,-43126000,-84439000,- -,-122398000
21,Income Before Tax Ratio,-0.4252,-0.2686,-0.2058,-0.3267,- -,-0.3019
22,Income Tax expense (Gain),167000,-391000,339000,-3620000,- -,-33719000
23,Net Income,-48202000,-43084000,-43465000,-80819000,- -,-88679000
24,Net Income ratio,-0.4280,-0.2676,-0.2074,-0.3127,- -,-0.2188
25,EPS,-1.73,-1.47,-0.31,-0.58,- -,-0.63
26,EPS Diluted,-1.73,-1.47,-0.31,-0.58,- -,-0.63
27,Weighted Average Shares Outstanding,27838000,29401000,138500000,138500000,- -,138500000
28,Weighted Average Shares Outstanding Diluted,27838000,29401000,138500000,138500000,- -,138500000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1355754/000156459017001381/0001564590-17-001381-index.html,https://www.sec.gov/Archives/edgar/data/1355754/000156459018002204/0001564590-18-002204-index.html,- -,https://www.sec.gov/Archives/edgar/data/1355754/000156459020007826/0001564590-20-007826-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1841804/000095017022001776/0000950170-22-001776-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,44539000,35693000,94320000,101236000,146212000,164928000
32,Short-Term Investments,23895000,5697000,58630000,15584000,- -,- -
33,Cash and Short-Term Investments,68434000,41390000,152950000,116820000,146212000,164928000
34,Net Receivables,18072000,34312000,35514000,38029000,47315000,51607000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,6370000,20997000,24163000,28276000,79813000,30277000
37,Total Current Assets,92876000,96699000,212627000,183125000,273340000,246812000
38,PP&E,14733000,23926000,27388000,36099000,35816000,24376000
39,Goodwill,989000,12354000,12354000,69614000,1172395000,1194221000
40,Intangible Assets,760000,9048000,6262000,61004000,757726000,634337000
41,Intangible Assets,1749000,21402000,18616000,130618000,1930121000,1828558000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,6477000
44,Other Non-Current Assets,1978000,3984000,15366000,17658000,29354000,27559000
45,Total Non-Current Assets,18460000,49312000,61370000,184375000,1995291000,1886970000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,111336000,146011000,273997000,367500000,2268631000,2133782000
48,Accounts Payable,5374000,2892000,3581000,14619000,13302000,18324000
49,Short-Term Debt,- -,- -,- -,6554000,12155000,9429000
50,Tax Payable,1091000,2267000,4027000,- -,- -,- -
51,Deferred Revenue,72747000,99086000,117298000,145045000,192864000,240936000
52,Other Current Liabilities,11678000,15325000,11138000,11142000,35472000,28408000
53,Total Current Liabilities,89799000,117303000,132017000,177360000,253793000,297097000
54,Long-Term Debt,- -,- -,- -,- -,820925000,514178000
55,Deferred Revenue,3144000,3950000,10150000,2710000,12015000,14740000
56,Deferred Tax Liabilities,1847000,5027000,3372000,- -,58601000,29851000
57,Other Non-Current Liabilities,8404000,10365000,10170000,41873000,35313000,3531000
58,Total Non-Current Liabilities,13395000,19342000,23692000,44583000,926854000,562300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,48347000,36707000,30344000
61,Total Liabilities,101372000,129679000,145559000,221943000,1180647000,859397000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,3000,3000,3000,3000,1262000,1407000
64,Retained Earnings,-196469000,-223957000,-267422000,-348241000,-177981000,-266660000
65,Other Comprehensive Income/Loss,-9320000,-14929000,-22388000,-31810000,-1960000,- -
66,Other Total Stockholders Equity,215750000,265827000,418245000,525605000,1266663000,1539638000
67,Total Stockholders Equity,9964000,26944000,128438000,145557000,1087984000,1274385000
68,Total Liabilities And Stockholders Equity,111336000,156623000,273997000,367500000,2268631000,2133782000
69,Minority Interest,- -,-10612000,- -,- -,- -,- -
70,Total Liabilities & Equity,111336000,146011000,273997000,367500000,2268631000,2133782000
