,https://roic.ai/company/EQX,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1069000,15468000,30159000,281697000,842507000,1082286000
2,COGS,- -,- -,- -,- -,- -,- -,- -,2000,3500,4000,2296000,27970000,22202000,198327000,619580000,866970000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,-2000,-3500,-4000,-1227000,-12502000,7957000,83370000,222927000,215316000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-1.1478,-0.8082,0.2638,0.2960,0.2646,0.1989
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,54437,67987,76892,153937,774600,1937200,1097000,1137000,10435000,16384000,19492000,39700000,52590000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,54437,67987,76892,153937,774600,1937200,1151000,1137000,10435000,16384000,19492000,39700000,52590000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,694600,1679900,4188000,1033000,8276000,12232000,8754000,11840000,16253000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,1469200,3617100,5339000,2170000,18711000,28616000,28246000,51540000,68843000
11,COGS and Expenses,- -,9033,47914,54437,312400,87936,225510,1471200,3620600,5343000,4466000,46681000,50818000,226573000,671120000,935813000
12,Interest Income ,- -,- -,- -,3028,2280,634,52,9400,23400,31000,- -,771000,4436000,1950000,1819000,2816000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,4000,9400,6000,409000,7172000,6698000,17537000,39751000,41551000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,2000,3500,4000,146000,894000,10636000,484000,- -,198134000
15,EBITDA,- -,-9033,-47914,-54437,-312400,-87936,-225510,-1459800,-3593700,-5263000,-1849000,-8354000,-30177000,6799000,81282000,773264000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.7297,-0.5401,-1.0006,0.0241,0.0965,0.7145
17,Operating Income,- -,-9033,-47914,- -,- -,- -,- -,-1471200,- -,- -,-3397000,-31213000,-33942000,55124000,171387000,146473000
18,Operating Income ratio,- -,-Infinity,-Infinity,- -,- -,- -,- -,-Infinity,- -,- -,-3.1777,-2.0179,-1.1254,0.1957,0.2034,0.1353
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,2280,-7604,311,-4257800,-306600,107000,686000,14092000,12560000,-68310000,-129856000,387106000
20,Income Before Tax,- -,- -,- -,- -,-310121,-95540,- -,-5729000,-3927200,-5236000,-2711000,-17121000,-21382000,-13186000,41531000,533579000
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-2.5360,-1.1069,-0.7090,-0.0468,0.0493,0.4930
22,Income Tax expense (Gain),- -,- -,- -,- -,-49048,- -,- -,- -,-85200,85000,- -,308000,2335000,7138000,20811000,-23266000
23,Net Income,- -,-9033,-43788,-51409,-261072,-95540,-225148,-5729000,-3842000,-5321000,-2404000,-16728000,-49846000,-18360000,20720000,556845000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.2488,-1.0815,-1.6528,-0.0652,0.0246,0.5145
25,EPS,- -,-0.28,-0.63,-0.77,-2.53,-0.66,-1.29,-0.06,-1.61,-2.58,-0.03,-0.55,-0.55,-0.16,0.10,1.95
26,EPS Diluted,- -,-0.28,-0.63,-0.77,-2.53,-0.66,-1.29,-0.06,-1.61,-2.58,-0.03,-0.55,-0.55,-0.16,0.09,1.69
27,Weighted Average Shares Outstanding,- -,37829,58600,68868,115496,155886,157842,88146162,2203414,2221445,88146162,31252645,92341128,112001484,212487729,284932357
28,Weighted Average Shares Outstanding Diluted,- -,37829,58600,68868,115496,155886,157842,88146162,2203414,2221445,88146162,31252645,92341128,112001484,218411971,333734701
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,105753,225002,111368,262953,195637,54825,8159000,5373800,974000,40631000,67958000,60822000,67716000,344926000,305498000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,797000,3327000,1782000,988000,- -,240530000
33,Cash and Short-Term Investments,- -,105753,225002,111368,262953,195637,54825,8159000,5373800,974000,41428000,71285000,62604000,68704000,344926000,546028000
34,Net Receivables,- -,- -,315,653,17366,2251,281,34500,62300,38000,3394000,11248000,20579000,27390000,55872000,50260000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1193000,3158000,49671000,46262000,208290000,201622000
36,Other Current Assets,- -,- -,- -,-0,-0,0,-0,- -,- -,- -,- -,578000,3466000,6300000,36936000,365321000
37,Total Current Assets,- -,105753,225317,112022,280319,197889,55105,8193500,5436100,1012000,46015000,86269000,136320000,148656000,646024000,1163231000
38,PP&E,- -,- -,- -,- -,105068,177080,237650,445000,587200,456000,21210000,345304000,537871000,511694000,1857154000,2497919000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22581000,22581000,- -,- -,- -,- -
