,https://roic.ai/company/RCI,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2250245476,2693482411,2482938194,2695353824,2839164087,3107783565,3504247151,3912655205,4323045326,4847363133,5608249340,7482153739,8838000000,10123150263,11335000000,11731000000,12186000000,12428000000,12486000000,12706000000,12850000000,13414000000,13702000000,14143000000,15096000000,15073000000,13916000000,14655000000
2,COGS,1520269322,1940278157,1780183637,1860042888,1984055728,2213975694,2586522196,2960135307,3181430595,505951307,797856971,1296148389,956000000,961366571,1303000000,1380000000,1520000000,7787000000,7729000000,7797000000,7868000000,8437000000,8671000000,8825000000,9113000000,8861000000,8059000000,8768000000
3,Gross Profit,729976154,753204254,702754557,835310936,855108359,893807871,917724955,952519898,1141614731,4341411826,4810392369,6186005350,7882000000,9161783692,10032000000,10351000000,10666000000,4641000000,4757000000,4909000000,4982000000,4977000000,5031000000,5318000000,5983000000,6212000000,5857000000,5887000000
4,Gross Profit Ratio,0.3244,0.2796,0.2830,0.3099,0.3012,0.2876,0.2619,0.2434,0.2641,0.8956,0.8577,0.8268,0.8918,0.9050,0.8850,0.8824,0.8753,0.3734,0.3810,0.3864,0.3877,0.3710,0.3672,0.3760,0.3963,0.4121,0.4209,0.4017
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4569000000,4681000000,4847000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1334000000,1207000000,1227000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5903000000,5888000000,6074000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,411137607,452822471,473756338,533809864,569659443,607494213,730778344,994431710,974977967,3932778565,4168802496,5520447726,6573000000,7628364286,1760000000,1760000000,1645000000,1743000000,1819000000,1898000000,2144000000,2277000000,2276000000,2142000000,2211000000,2488000000,2618000000,2585000000
