,https://roic.ai/company/NTES,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,15618162,65053426,28305371,220890027,542229487,903597827,1612363481,2164359470,2213286764,3084584149,3756947133,5507669000,7290652000,8200956000,9196175000,11712834000,22802895000,38178844000,54102019000,67156453000,59241145000,73667133000,87606026000
2,COGS,11118894,32180334,60069225,71660954,85477685,183803395,275236973,381298181,415453046,559605362,952229078,1798841000,2372288000,2578067000,2478516000,3261544000,9399260000,16515032000,28189326000,38752957000,27685845000,34683731000,40635225000
3,Gross Profit,4499269,32873092,-31763854,149229072,456751802,719794432,1337126508,1783061289,1797833718,2524978787,2804718055,3708828000,4918364000,5622889000,6717659000,8451290000,13403635000,21663812000,25912693000,28403496000,31555300000,38983402000,46970801000
4,Gross Profit Ratio,0.2881,0.5053,-1.1222,0.6756,0.8424,0.7966,0.8293,0.8238,0.8123,0.8186,0.7465,0.6734,0.6746,0.6856,0.7305,0.7215,0.5878,0.5674,0.4790,0.4229,0.5327,0.5292,0.5362
5,Research and Development Exp.,5734185,12663590,11171451,13805155,19124174,34362806,90170092,153162158,180734713,207023649,230439880,317929000,465490000,718315000,921618000,1323498000,2158888000,3046979000,4371428000,7792550000,8413224000,10369382000,14075991000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,85077870,117942605,179879602,176178740,181841322,212533368,189621000,280227000,286223000,349832000,467669000,1014395000,1506154000,2429858000,3191537000,3130298000,3371827000,4263549000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,152842334,152192422,170142691,235318304,221551138,338308601,656976000,849205000,906707000,1093612000,1894998000,2958229000,4481815000,6957596000,9526470000,6221127000,10703788000,12214191000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,237920204,270135027,350022293,411497044,403392460,550841969,846597000,1129432000,1192930000,1443444000,2362667000,3972624000,5987969000,9387454000,12718007000,9351425000,14075615000,16477740000
9,Other Expenses,52022004,179440866,186718303,131405745,110640803,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,57756189,192104456,197889754,145210901,129764976,272283010,360305119,503184451,592231757,610416109,781281849,1164526000,1594922000,1911245000,2365062000,3686165000,6131512000,9034948000,13758882000,20510557000,17764649000,24444997000,30553731000
11,COGS and Expenses,68875083,224284790,257958979,216871855,215242662,456086405,635542092,884482632,1007684803,1170021471,1733510927,2963367000,3967210000,4489312000,4843578000,6947709000,15530772000,25549980000,41948208000,59263514000,45450494000,59128728000,71188956000
12,Interest Income ,- -,27825059,- -,- -,11275660,22333511,58070148,94364852,112599994,144805368,128168329,141001000,258053000,423634000,506181000,601502000,596930000,541969000,667323000,587518000,821774000,1598618000,1519714000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,3877129,344859,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,975265,8641806,17337892,21792211,20944142,26452040,40904586,78370029,99110799,90962041,143579975,232171000,293239000,233509000,158363000,174462000,182450000,327515000,801804000,2083501000,2613782000,3457782000,3275727000
15,EBITDA,-50918752,-134002004,-215301702,35694742,365007110,500326570,1068196636,1453633156,1365886230,1988323269,2307877118,2812389000,3920259000,4562603000,5132876000,5593820000,8190966000,14034533000,13672106000,10702589000,26766024000,18562385000,24260838000
16,EBITDA ratio,-3.2602,-2.0599,-7.6064,0.1616,0.6732,0.5537,0.6625,0.6716,0.6171,0.6446,0.6143,0.5106,0.5377,0.5564,0.5582,0.4776,0.3592,0.3676,0.2527,0.1594,0.4518,0.2520,0.2769
17,Operating Income,-53256920,-167873170,-231928797,4018172,326837819,447511422,976821389,1279876838,1205601961,1914562678,2023436206,2544302000,3323442000,3711644000,4352597000,4765125000,7272123000,12628864000,12153811000,7892939000,13790651000,14538405000,16417070000
18,Operating Income ratio,-3.4099,-2.5805,-8.1938,0.0182,0.6028,0.4953,0.6058,0.5913,0.5447,0.6207,0.5386,0.4620,0.4558,0.4526,0.4733,0.4068,0.3189,0.3308,0.2246,0.1175,0.2328,0.1974,0.1874
19,Total Other Income Expenses (Gains),1362903,25229360,-14091718,9884359,17225150,22485979,50125802,94986243,61099106,-17226333,127203837,32169000,292287000,566568000,623224000,693315000,838185000,1266497000,857689000,1051159000,2592682000,833679000,4687389000
20,Income Before Tax,-51894017,-142643810,- -,13902530,344062969,469997401,1026947191,1374863081,1266701067,1897336345,2150640043,2576471000,3615729000,4278212000,4975821000,5458440000,8110308000,13895361000,13011500000,8944098000,16383333000,15372084000,21104459000
21,Income Before Tax Ratio,-3.3227,-2.1927,- -,0.0629,0.6345,0.5201,0.6369,0.6352,0.5723,0.6151,0.5724,0.4678,0.4959,0.5217,0.5411,0.4660,0.3557,0.3640,0.2405,0.1332,0.2766,0.2087,0.2409
22,Income Tax expense (Gain),71324,- -,- -,-2395329,21133678,28576719,94957022,132485543,2689309,300673321,313861139,344446000,392756000,691642000,530603000,662735000,1273408000,2102498000,2162363000,2466681000,2914726000,3041849000,4128269000
23,Net Income,-51965341,-142643810,-232639594,16297859,322929290,441420682,931990169,1242777584,1264086122,1596687907,1850436004,2235772000,3234264000,3637452000,4443910000,4756623000,6735108000,11604520000,10707939000,6152407000,21237516000,12062754000,16856842000
24,Net Income ratio,-3.3272,-2.1927,-8.2189,0.0738,0.5956,0.4885,0.5780,0.5742,0.5711,0.5176,0.4925,0.4059,0.4436,0.4435,0.4832,0.4061,0.2954,0.3040,0.1979,0.0916,0.3585,0.1637,0.1924
25,EPS,-0.03,-0.07,-0.10,0.01,0.13,0.17,0.36,1.90,2.05,2.55,2.90,2.85,4.95,5.55,6.85,7.30,10.25,17.70,16.25,9.50,32.95,18.25,25.50
26,EPS Diluted,-0.03,-0.07,-0.10,0.01,0.13,0.16,0.33,1.80,1.90,2.45,2.85,2.85,4.95,5.55,6.80,7.25,10.20,17.55,16.15,9.45,32.65,18.00,25.50
27,Weighted Average Shares Outstanding,1760344480,1997973760,2410735520,2441116080,2497806362,2526273425,2580547608,646366402,617290282,623423461,643287549,645050000,653110000,656532600,649574800,652890000,656876400,656345800,658062400,647064800,644094600,661089600,661089600
28,Weighted Average Shares Outstanding Diluted,1760344480,1997973760,2410735520,2502270320,2641049199,2793144350,2852329615,699681022,661507676,646842865,648034131,649796600,655340800,657666000,651259400,655409800,661042600,661421800,663095600,650937800,649994400,669951800,661089600
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1110646/000119312505131680/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312506138671/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312507142483/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312508140745/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312509141163/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000119312510149321/d20f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465911035900/a11-14725_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465912028598/a12-6054_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465913031064/a12-28368_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465914029684/a13-25245_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465915030142/a15-4743_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465916113375/a16-3849_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465917025196/a17-1327_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465918025392/a18-5396_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465919023833/a18-41432_120f.htm,https://www.sec.gov/Archives/edgar/data/1110646/000110465920052796/ntes-20191231x20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,117799164,707704991,479694297,559939836,1356307113,2123891537,1685744081,1206476526,2482820821,793407922,1041290312,1285137000,2214618000,1590769000,1458298000,2021453000,6071487000,5439499000,2764140000,5389198000,3246373000,9117219000,14498157000
32,Short-Term Investments,- -,- -,45529440,- -,332151729,165532000,- -,2729086722,- -,- -,5975378114,- -,993606000,14172200000,17526651000,20555126000,19606790000,30943214000,40346032000,44575062000,68799670000,84352353000,83036394000
33,Cash and Short-Term Investments,117799164,707704991,525223737,559939836,1688458842,2289423537,1685744081,3935563248,2482820821,793407922,7016668426,1285137000,3208224000,15762969000,18984949000,22576579000,25678277000,36382713000,43110172000,49964260000,72046043000,93469572000,97534551000
34,Net Receivables,7650486,1083575,- -,- -,- -,59619601,78860122,146689829,175245370,268389428,225872599,305567000,335845000,452166000,648689000,1235368000,2907295000,4571596000,4068143000,4819543000,4714686000,6625521000,5507988000
35,Inventory,- -,- -,- -,- -,- -,1232163,1193953,2036301,1201133,627376,- -,- -,- -,- -,- -,- -,817765000,1578130000,5474929000,5017823000,650557000,621207000,964733000
