,https://roic.ai/company/GPL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,29703,1920,57,295,20000,20000,6230000,14460000,21030000,27820000,40970000,58470000,61170000,52390000,38386619,42110861,61881000,63746000,59434000,198653000,260805000,185678000
2,COGS,- -,- -,- -,- -,- -,- -,6280000,13190000,17000000,14700000,22830000,31250000,41950000,51760000,42734844,38840449,39859000,46057000,51249000,191808000,176938000,186560000
3,Gross Profit,29703,1920,57,295,- -,- -,-50000,1270000,4030000,13120000,18140000,27220000,19220000,630000,-4348225,3270412,22022000,17689000,8185000,6845000,83867000,-882000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,- -,- -,-0.0080,0.0878,0.1916,0.4716,0.4428,0.4655,0.3142,0.0120,-0.1133,0.0777,0.3559,0.2775,0.1377,0.0345,0.3216,-0.0048
5,Research and Development Exp.,- -,- -,- -,- -,- -,1930000,3500000,6340000,5930000,1390000,6900000,- -,2380000,2240000,3125838,4620974,6085000,9466000,13045000,14228000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,940000,2080000,8000000,5410000,7100000,7170000,6530000,9110000,9880000,7400000,4898017,4564045,5715000,7804000,6286000,17089000,12480000,14206000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,940000,2080000,8000000,5410000,7100000,7170000,6530000,9110000,9880000,7400000,4898017,4564045,5715000,7804000,6286000,17089000,12480000,14206000
9,Other Expenses,140492,170184,433588,216579,78441,-1832966,-307766,4640324,1913978,4179171,456778,-191293,299935,-354427,1590569,2536619,140000,867000,1008000,14465000,14434000,18211000
10,Operating Expenses,140492,170184,433588,216579,1018441,2177034,11192234,16390324,14943978,12739171,13886778,8918707,12559935,9285573,9614424,11721638,11940000,18137000,20339000,45782000,26914000,32417000
11,COGS and Expenses,140492,170184,433588,216579,940000,4350000,19030000,28310000,34310000,26690000,36510000,40540000,54460000,73390000,59266003,49900375,53478000,63403000,70691000,275791000,203852000,218977000
12,Interest Income ,2283,1920,57,295,21649,23464,314275,209928,197970,56303,115981,426053,444297,314622,194683,209701,225000,808000,1518000,726000,347000,248000
13,Interest Expense (Gain),- -,- -,- -,4187,- -,307397,712282,1045720,949217,1116225,933851,271303,6031,49776,49963,123226,99000,171000,20000,5752000,3981000,2604000
14,Depreciation and Amortization,4418,1661,1319,1519,2262,10831,1219774,3638966,3520977,3140000,2340000,4610000,8936200,12535101,14541805,13132616,5576000,3954000,3573000,35185000,446000,31001000
15,EBITDA,-166712,-190137,-431192,-205386,-907738,-4311772,-11267944,-11275314,-9529806,4086225,6403851,18531303,18652231,-3155123,-7243224,7891797,3066000,6881000,-5818000,-49341000,8552000,-8597000
16,EBITDA ratio,-5.6126,-99.0491,-7627.3034,-695.4021,-45.3869,-215.5886,-1.8087,-0.7798,-0.4532,0.1469,0.1563,0.3169,0.3049,-0.0602,-0.1887,0.1874,0.0495,0.1079,-0.0979,-0.2484,0.0328,-0.0463
17,Operating Income,171130,191798,433532,216284,996792,4539727,12448957,15006464,11641153,1287014,4587266,17920000,6774022,9004762,25484555,7614813,10082000,343000,-11257000,-77138000,56953000,-33299000
18,Operating Income ratio,5.7613,99.9146,7668.6854,732.2976,49.8396,226.9864,1.9982,1.0378,0.5535,0.0463,0.1120,0.3065,0.1107,0.1719,0.6639,0.1808,0.1629,0.0054,-0.1894,-0.3883,0.2184,-0.1793
19,Total Other Income Expenses (Gains),-93263,-47067,1021,9378,-1906792,-9169727,-25648957,-30966464,-25641153,-1457014,-1447266,-4280000,2935978,-24744762,-47319547,-12978858,-12691000,2413000,1846000,-13140000,-52828000,-8903000
20,Income Before Tax,- -,- -,- -,- -,-910000,-4630000,-13200000,-15960000,-14000000,-170000,3140000,13640000,9710000,-15740000,-21834992,-5364045,-2609000,2756000,-9411000,-90278000,4125000,-42202000
21,Income Before Tax Ratio,- -,- -,- -,- -,-45.5000,-231.5000,-2.1188,-1.1037,-0.6657,-0.0061,0.0766,0.2333,0.1587,-0.3004,-0.5688,-0.1274,-0.0422,0.0432,-0.1583,-0.4545,0.0158,-0.2273
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-310000,100000,2400000,-610000,590000,-1690000,2010000,4200000,-3380000,1464465,-2996,1509000,1466000,652000,744000,3791000,39000
23,Net Income,-171130,-191798,-432511,-211092,-910000,-4320000,-13300000,-18360000,-13390000,-760000,4820000,11640000,5510000,-12360000,-23299457,-5361049,-4118000,1290000,-10063000,-91022000,334000,-42241000
24,Net Income ratio,-5.7613,-99.9146,-7650.6292,-714.7206,-45.5000,-216.0000,-2.1348,-1.2697,-0.6367,-0.0273,0.1176,0.1991,0.0901,-0.2359,-0.6070,-0.1273,-0.0665,0.0202,-0.1693,-0.4582,0.0013,-0.2275
25,EPS,-0.27,-0.25,-0.32,-0.12,-0.07,-0.19,-0.21,-0.27,-0.15,-0.01,0.04,0.09,0.04,-0.08,-0.21,-0.05,-0.03,0.01,-0.06,-0.33,0.00,-0.13
26,EPS Diluted,-0.27,-0.25,-0.32,-0.12,-0.07,-0.19,-0.21,-0.27,-0.15,-0.01,0.04,0.08,0.04,-0.08,-0.21,-0.05,-0.03,0.01,-0.06,-0.33,0.00,-0.13
27,Weighted Average Shares Outstanding,784697,1104697,1380211,1748248,13443920,23986543,59720424,72227455,81321733,90210438,114422226,131072380,137653513,138151127,139149673,140856000,154217000,167966000,168888000,273380000,337834000,337834000
28,Weighted Average Shares Outstanding Diluted,784697,1104697,1442697,1748248,15551677,23986543,59720424,72227455,81321733,90210438,118932620,135401113,138709786,138151127,139149673,140856000,154217000,171307000,168888000,273380000,344196000,337834000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1300050/000108503706001336/form20f874421v1.htm,https://www.sec.gov/Archives/edgar/data/1300050/000106299307001730/form20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1300050/000106299309000912/0001062993-09-000912-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000106299310000932/0001062993-10-000932-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000106299311001059/form20f.htm,https://www.sec.gov/Archives/edgar/data/1300050/000106299312000872/0001062993-12-000872-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000106299313001181/0001062993-13-001181-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000119907314000073/exh99_2.htm,https://www.sec.gov/Archives/edgar/data/1300050/000127956915000620/0001279569-15-000620-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000127956916003054/0001279569-16-003054-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000127956917000345/0001279569-17-000345-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000106299318001420/0001062993-18-001420-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000127956919000649/0001279569-19-000649-index.html,https://www.sec.gov/Archives/edgar/data/1300050/000110465920040795/0001104659-20-040795-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,2352,707722,100000,2700000,7900000,5400000,500000,12700000,14000000,38700000,20900000,20500000,12681205,10250936,41642000,36797000,24524000,36970000,63396000,47692000
32,Short-Term Investments,- -,- -,- -,- -,- -,1900000,- -,- -,- -,- -,200000,100000,5200000,- -,2823,- -,15020000,20091000,26057000,- -,1000,- -
33,Cash and Short-Term Investments,- -,- -,2352,707722,100000,4600000,7900000,5400000,500000,12700000,14200000,38800000,26100000,20500000,12684028,10250936,56662000,56888000,50581000,36970000,63397000,47692000
34,Net Receivables,- -,- -,1449,46228,200000,900000,3500000,6300000,2700000,5600000,9900000,14200000,18400000,14200000,7669560,7217228,10178000,14780000,13935000,21756000,15342000,14437000
35,Inventory,- -,- -,- -,- -,- -,- -,500000,800000,800000,1400000,2600000,4500000,7000000,6800000,6301080,4898876,5744000,5294000,4828000,35120000,33743000,25112000
36,Other Current Assets,- -,- -,8808,8687,100000,100000,800000,500000,300000,1400000,1400000,1600000,2000000,600000,526502,636705,529000,4847000,7627000,11495000,7000000,4718000
37,Total Current Assets,- -,- -,12609,762637,400000,5600000,12700000,13000000,4300000,21100000,28100000,59100000,53500000,42100000,27181170,23003745,73113000,81809000,76971000,105341000,119482000,91959000
38,PP&E,- -,- -,4700,4187,2700000,11000000,14900000,18200000,13200000,14200000,17600000,41200000,63200000,51300000,23185122,15312360,16208000,30599000,28456000,149469000,136893000,146471000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,700000,600000,- -,63670,22000,- -,- -,- -,12178000,12792000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,700000,600000,- -,63670,22000,- -,- -,- -,12178000,12792000
42,Investments,- -,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,300000,- -,- -,2400000,1600000,1200000,- -,1800000,5800000,2200000,2885172,2295131,2134000,1930000,2053000,5365000,- -,- -
44,Other Non-Current Assets,- -,- -,4351,5282,-300000,-100000,- -,-2400000,-1500000,-1200000,- -,-1800000,-5500000,-1900000,-2576752,-2058427,-2036000,7542000,5296000,10567000,11867000,12821000
45,Total Non-Current Assets,- -,- -,9051,9469,4200000,10900000,14900000,18200000,13300000,14200000,17600000,41900000,64200000,52200000,23493542,15612734,16328000,40071000,35805000,165401000,160938000,172084000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,21660,772106,4600000,16500000,27600000,31200000,17600000,35300000,45700000,101000000,117700000,94300000,50674712,38616479,89441000,121880000,112776000,270742000,280420000,264043000
48,Accounts Payable,- -,- -,31000,67831,- -,- -,- -,- -,- -,- -,- -,- -,3100000,2100000,- -,- -,- -,- -,6259000,27311000,27478000,17137000
49,Short-Term Debt,- -,- -,- -,- -,31322,4168323,1014768,89493,358667,881248,4533275,127326,- -,- -,- -,- -,- -,- -,- -,43565000,36229000,47995000
50,Tax Payable,- -,- -,- -,- -,- -,- -,109364,- -,- -,- -,- -,- -,1640481,1867070,634874,- -,- -,1025000,240000,499000,3306000,3250000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,175774,161532,168678,231677,885232,2210507,2941333,3018752,4766725,6272674,5500000,4000000,3956525,3919850,6553000,15844000,8861000,21650000,24379000,26624000
53,Total Current Liabilities,- -,- -,206774,229363,200000,4400000,1900000,2300000,3300000,3900000,9300000,6400000,8600000,6100000,3956525,3919850,6553000,15844000,15120000,92526000,88086000,91756000
54,Long-Term Debt,- -,- -,- -,- -,- -,600000,1100000,4000000,4200000,3400000,200000,- -,- -,- -,- -,- -,- -,- -,- -,17114000,2465000,9105000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4682000,4536000
57,Other Non-Current Liabilities,- -,- -,- -,- -,300000,- -,100000,3600000,2400000,2500000,600000,3900000,8200000,4500000,5269250,5028465,5600000,24895000,25000000,60603000,73484000,70655000
58,Total Non-Current Liabilities,- -,- -,- -,- -,300000,600000,1200000,7600000,6600000,5900000,800000,3900000,8200000,4500000,5269250,5028465,5600000,24895000,25000000,77717000,80631000,84296000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,375339,824558,496920,127326,- -,- -,- -,- -,- -,- -,- -,17986000,11221000,8157000
61,Total Liabilities,- -,- -,206774,229363,500000,5000000,3100000,9900000,9900000,9800000,10100000,10300000,16800000,10600000,9225775,8948315,12153000,40739000,40120000,170243000,168717000,176052000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,5900000,18500000,39800000,57200000,47600000,72200000,83700000,119200000,123400000,115800000,87640624,72110861,128485000,130201000,130912000,252186000,268872000,291561000
64,Retained Earnings,- -,- -,-917012,-1324367,-2400000,-8500000,-21400000,-44800000,-48400000,-57900000,-56100000,-34800000,-30200000,-40200000,-53459665,-40629963,-54226000,-52072000,-61252000,-148532000,-168773000,-211014000
65,Other Comprehensive Income/Loss,- -,- -,-17277,201867,584523,42974,1800000,6003,2149883,-21749,-3057511,-18600000,7625423,8012998,8871009,8025568,18115000,18962000,19829000,17420000,11604000,7444000
66,Other Total Stockholders Equity,- -,- -,749175,1889604,-33031,1479695,4293678,8998085,6286007,11369834,11004823,24783741,-280607,-195922,7538973,-2253909,-15086000,-15950000,-16833000,-20575000,- -,- -
67,Total Stockholders Equity,- -,- -,-185115,542743,4051492,11522669,24493678,21404089,7635891,25648085,35547312,90583741,100544817,83417076,50590941,37252556,77288000,81141000,72656000,100499000,111703000,87991000
68,Total Liabilities And Stockholders Equity,- -,- -,21660,772106,4551492,16522669,27593678,31304089,17535891,35448085,45647312,100883741,117344817,94017076,59816716,46200871,89441000,121880000,112776000,270742000,280420000,264043000
